id,Yr,Era,SSB,SSB_nofishing
1979_20p3,1979,TIME,16235.5,58666
1979_20p3,1980,TIME,16812.7,59440
1979_20p3,1981,TIME,20005.1,60820
1979_20p3,1982,TIME,17719.4,60452
1979_20p3,1983,TIME,15464.7,57535
1979_20p3,1984,TIME,15198.6,53540
1979_20p3,1985,TIME,14938.2,50447
1979_20p3,1986,TIME,13567.4,47088
1979_20p3,1987,TIME,12410.7,43586
1979_20p3,1988,TIME,10750.2,40814
1979_20p3,1989,TIME,9656.4,40689
1979_20p3,1990,TIME,10419,44116
1979_20p3,1991,TIME,11838.9,45777
1979_20p3,1992,TIME,11927.4,44130
1979_20p3,1993,TIME,9779.2,41002
1979_20p3,1994,TIME,8386.2,40283
1979_20p3,1995,TIME,8014.9,42583
1979_20p3,1996,TIME,9007.8,45158
1979_20p3,1997,TIME,10994.6,47826
1979_20p3,1998,TIME,13117.4,52810
1979_20p3,1999,TIME,13491.5,57776
1979_20p3,2000,TIME,11669.3,57807
1979_20p3,2001,TIME,9274.8,54126
1979_20p3,2002,TIME,7162,49885
1979_20p3,2003,TIME,6784.2,49285
1979_20p3,2004,TIME,7225.2,52520
1979_20p3,2005,TIME,8373.8,55037
1979_20p3,2006,TIME,8545.1,53925
1979_20p3,2007,TIME,8732.8,50697
1979_20p3,2008,TIME,9121,48594
1979_20p3,2009,TIME,8928.2,47158
1979_20p3,2010,TIME,7570.6,44591
1979_20p3,2011,TIME,6643.5,42428
1979_20p3,2012,TIME,5274.1,40744
1979_20p3,2013,TIME,4720.8,39461.4
1979_20p3,2014,TIME,5148.8,38993.3
1979_20p3,2015,TIME,4823.5,39851.2
1979_20p3,2016,TIME,4766.9,40271
1979_20p3,2017,TIME,5074.4,39428.9
1979_20p3,2018,TIME,5502.4,38461.7
1979_20p3,2019,TIME,5802.9,38589.5
1979_20p3,2020,TIME,6589.7,39092.8
1979_20p3,2021,TIME,7597.2,40328.4
1979_20p3,2022,TIME,10152.8,43183
