id,type,yr,Value,StdDev
1979_20p3,ssb,1979,16235.5,16.2355
1979_20p3,ssb,1980,16812.7,16.8127
1979_20p3,ssb,1981,20005.1,20.0051
1979_20p3,ssb,1982,17719.4,17.7194
1979_20p3,ssb,1983,15464.7,15.4647
1979_20p3,ssb,1984,15198.6,15.1986
1979_20p3,ssb,1985,14938.2,14.9382
1979_20p3,ssb,1986,13567.4,13.5674
1979_20p3,ssb,1987,12410.7,12.4107
1979_20p3,ssb,1988,10750.2,10.7502
1979_20p3,ssb,1989,9656.4,9.6564
1979_20p3,ssb,1990,10419,10.419
1979_20p3,ssb,1991,11838.9,11.8389
1979_20p3,ssb,1992,11927.4,11.9274
1979_20p3,ssb,1993,9779.2,9.7792
1979_20p3,ssb,1994,8386.2,8.3862
1979_20p3,ssb,1995,8014.9,8.0149
1979_20p3,ssb,1996,9007.8,9.0078
1979_20p3,ssb,1997,10994.6,10.9946
1979_20p3,ssb,1998,13117.4,13.1174
1979_20p3,ssb,1999,13491.5,13.4915
1979_20p3,ssb,2000,11669.3,11.6693
1979_20p3,ssb,2001,9274.8,9.2748
1979_20p3,ssb,2002,7162,7.162
1979_20p3,ssb,2003,6784.2,6.7842
1979_20p3,ssb,2004,7225.2,7.2252
1979_20p3,ssb,2005,8373.8,8.3738
1979_20p3,ssb,2006,8545.1,8.5451
1979_20p3,ssb,2007,8732.8,8.7328
1979_20p3,ssb,2008,9121,9.121
1979_20p3,ssb,2009,8928.2,8.9282
1979_20p3,ssb,2010,7570.6,7.5706
1979_20p3,ssb,2011,6643.5,6.6435
1979_20p3,ssb,2012,5274.1,5.2741
1979_20p3,ssb,2013,4720.8,4.7208
1979_20p3,ssb,2014,5148.8,5.1488
1979_20p3,ssb,2015,4823.5,4.8235
1979_20p3,ssb,2016,4766.9,4.7669
1979_20p3,ssb,2017,5074.4,5.0744
1979_20p3,ssb,2018,5502.4,5.5024
1979_20p3,ssb,2019,5802.9,5.8029
1979_20p3,ssb,2020,6589.7,6.5897
1979_20p3,ssb,2021,7597.2,7.5972
1979_20p3,ssb,2022,10152.8,10.1528
