id,type,yr,Value,StdDev
01-mls-base-1979,f,1979,0.09141,0.00532837
01-mls-base-1979,f,1980,0.0701683,0.00356834
01-mls-base-1979,f,1981,0.148834,0.00699296
01-mls-base-1979,f,1982,0.188364,0.00831283
01-mls-base-1979,f,1983,0.123491,0.00510231
01-mls-base-1979,f,1984,0.166565,0.00677157
01-mls-base-1979,f,1985,0.23774,0.00947986
01-mls-base-1979,f,1986,0.233339,0.00995864
01-mls-base-1979,f,1987,0.235019,0.00983387
01-mls-base-1979,f,1988,0.203027,0.0112409
01-mls-base-1979,f,1989,0.180956,0.00985818
01-mls-base-1979,f,1990,0.153741,0.00800287
01-mls-base-1979,f,1991,0.127498,0.00668285
01-mls-base-1979,f,1992,0.101154,0.00488627
01-mls-base-1979,f,1993,0.105393,0.00557177
01-mls-base-1979,f,1994,0.152367,0.0074884
01-mls-base-1979,f,1995,0.119009,0.00568062
01-mls-base-1979,f,1996,0.0932359,0.0040409
01-mls-base-1979,f,1997,0.0433687,0.00144883
01-mls-base-1979,f,1998,0.0572422,0.00171498
01-mls-base-1979,f,1999,0.0672568,0.00183859
01-mls-base-1979,f,2000,0.0837616,0.00218765
01-mls-base-1979,f,2001,0.104638,0.00267228
01-mls-base-1979,f,2002,0.148335,0.00384827
01-mls-base-1979,f,2003,0.288484,0.00792479
01-mls-base-1979,f,2004,0.275091,0.00745166
01-mls-base-1979,f,2005,0.201177,0.00584189
01-mls-base-1979,f,2006,0.154703,0.00448802
01-mls-base-1979,f,2007,0.14153,0.00409719
01-mls-base-1979,f,2008,0.203046,0.00579013
01-mls-base-1979,f,2009,0.200917,0.00570732
01-mls-base-1979,f,2010,0.220211,0.00639301
01-mls-base-1979,f,2011,0.261076,0.00781706
01-mls-base-1979,f,2012,0.249758,0.00768726
01-mls-base-1979,f,2013,0.139863,0.00410383
01-mls-base-1979,f,2014,0.155709,0.00462069
01-mls-base-1979,f,2015,0.155994,0.00475623
01-mls-base-1979,f,2016,0.137579,0.00424971
01-mls-base-1979,f,2017,0.144511,0.00456662
01-mls-base-1979,f,2018,0.203292,0.00670938
01-mls-base-1979,f,2019,0.21634,0.0077267
01-mls-base-1979,f,2020,0.216681,0.00830454
01-mls-base-1979,f,2021,0.266599,0.011367
01-mls-base-1979,f,2022,0.327116,0.0161309
