Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01-mls-base-1979
Catch_like,2.61486e-05,9.85033e-07,3.02726e-06,1.44136e-06,2.01973e-07,1.23407e-06,1.35011e-06,4.91831e-06,3.63797e-06,1.2408e-06,6.91343e-07,9.85033e-07,4.13508e-06,1.01185e-06,1.28845e-06,0,01-mls-base-1979
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01-mls-base-1979
Init_equ_like,44.3151,0,44.3151,0,0,0,0,0,0,0,0,0,0,0,0,0,01-mls-base-1979
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,01-mls-base-1979
Surv_like,131.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.205,01-mls-base-1979
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,01-mls-base-1979
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01-mls-base-1979
Length_lambda,,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,01-mls-base-1979
Length_like,14032.1,148.495,389.519,159.664,0,114.8,1484.75,801.426,11.464,0,225.282,3629.18,6239.94,33.3206,700.298,93.9308,01-mls-base-1979
Length_N_use,,25,16,23,0,17,42,44,1,0,20,84,113,2,50,23,01-mls-base-1979
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01-mls-base-1979
SizeFreq_lambda:_1,,1,1,1,,,1,1,,1,1,,,,,1,01-mls-base-1979
SizeFreq_like:_1,19930.4,13.549,1393.29,419.579,,,14408.9,2213.74,,628.094,770.273,,,,,83.025,01-mls-base-1979
