id,type,yr,Value,StdDev
02-mls-ss3-1979,ssb,1979,39500.8,0
02-mls-ss3-1979,ssb,1980,44823.3,0
02-mls-ss3-1979,ssb,1981,48641.8,0
02-mls-ss3-1979,ssb,1982,49269.8,0
02-mls-ss3-1979,ssb,1983,46624.6,0
02-mls-ss3-1979,ssb,1984,41968,0
02-mls-ss3-1979,ssb,1985,40341.6,0
02-mls-ss3-1979,ssb,1986,38614.7,0
02-mls-ss3-1979,ssb,1987,35805.9,0
02-mls-ss3-1979,ssb,1988,31971.4,0
02-mls-ss3-1979,ssb,1989,29943,0
02-mls-ss3-1979,ssb,1990,32551.9,0
02-mls-ss3-1979,ssb,1991,34700.4,0
02-mls-ss3-1979,ssb,1992,33720.1,0
02-mls-ss3-1979,ssb,1993,32910.3,0
02-mls-ss3-1979,ssb,1994,33394,0
02-mls-ss3-1979,ssb,1995,33767.5,0
02-mls-ss3-1979,ssb,1996,34505.1,0
02-mls-ss3-1979,ssb,1997,33918.8,0
02-mls-ss3-1979,ssb,1998,35865.5,0
02-mls-ss3-1979,ssb,1999,41509.1,0
02-mls-ss3-1979,ssb,2000,44485.9,0
02-mls-ss3-1979,ssb,2001,45238.7,0
02-mls-ss3-1979,ssb,2002,42126.4,0
02-mls-ss3-1979,ssb,2003,37705.2,0
02-mls-ss3-1979,ssb,2004,34894.6,0
02-mls-ss3-1979,ssb,2005,34346.4,0
02-mls-ss3-1979,ssb,2006,35771.6,0
02-mls-ss3-1979,ssb,2007,36429.3,0
02-mls-ss3-1979,ssb,2008,35784.3,0
02-mls-ss3-1979,ssb,2009,33845.6,0
02-mls-ss3-1979,ssb,2010,32078.7,0
02-mls-ss3-1979,ssb,2011,29773.7,0
02-mls-ss3-1979,ssb,2012,27213.6,0
02-mls-ss3-1979,ssb,2013,25356.2,0
02-mls-ss3-1979,ssb,2014,25087,0
02-mls-ss3-1979,ssb,2015,25666,0
02-mls-ss3-1979,ssb,2016,26445.1,0
02-mls-ss3-1979,ssb,2017,27660.5,0
02-mls-ss3-1979,ssb,2018,28701,0
02-mls-ss3-1979,ssb,2019,29667.3,0
02-mls-ss3-1979,ssb,2020,29782.7,0
02-mls-ss3-1979,ssb,2021,30394.1,0
02-mls-ss3-1979,ssb,2022,35134.7,0
