id,Yr,Era,SSB,SSB_nofishing
03-chg-selex-1979,1977,VIRG,22530.7,22530.7
03-chg-selex-1979,1978,INIT,14063,22530.7
03-chg-selex-1979,1979,TIME,13489.5,21662.5
03-chg-selex-1979,1980,TIME,14077,21896.8
03-chg-selex-1979,1981,TIME,15341.1,22624.7
03-chg-selex-1979,1982,TIME,15772,23765.7
03-chg-selex-1979,1983,TIME,15375.2,24161.5
03-chg-selex-1979,1984,TIME,15246.9,23482.6
03-chg-selex-1979,1985,TIME,15407.3,23238.3
03-chg-selex-1979,1986,TIME,14942.3,22473.4
03-chg-selex-1979,1987,TIME,14671.1,21752.7
03-chg-selex-1979,1988,TIME,14007.5,20671.7
03-chg-selex-1979,1989,TIME,14361.8,21083.3
03-chg-selex-1979,1990,TIME,15408.9,22979.9
03-chg-selex-1979,1991,TIME,16072,23729.2
03-chg-selex-1979,1992,TIME,16172.8,23423.6
03-chg-selex-1979,1993,TIME,16300.6,22993
03-chg-selex-1979,1994,TIME,16640.5,23261.3
03-chg-selex-1979,1995,TIME,16292,23698.1
03-chg-selex-1979,1996,TIME,16211.8,23928
03-chg-selex-1979,1997,TIME,15799,23484.9
03-chg-selex-1979,1998,TIME,16801.1,24411.3
03-chg-selex-1979,1999,TIME,19453.2,28044.4
03-chg-selex-1979,2000,TIME,20620.9,30098.1
03-chg-selex-1979,2001,TIME,20945,30615.5
03-chg-selex-1979,2002,TIME,19319.6,28915.3
03-chg-selex-1979,2003,TIME,17102,26419.5
03-chg-selex-1979,2004,TIME,15453.9,25062.7
03-chg-selex-1979,2005,TIME,15131.2,24702
03-chg-selex-1979,2006,TIME,16081.4,25229.6
03-chg-selex-1979,2007,TIME,16577.9,25205.7
03-chg-selex-1979,2008,TIME,16473.3,24469.3
03-chg-selex-1979,2009,TIME,15604,23343.9
03-chg-selex-1979,2010,TIME,14692.1,22204.4
03-chg-selex-1979,2011,TIME,13470.5,20793.5
03-chg-selex-1979,2012,TIME,11998.8,19299.8
03-chg-selex-1979,2013,TIME,10873,18089.9
03-chg-selex-1979,2014,TIME,10773.9,17538.4
03-chg-selex-1979,2015,TIME,10909.3,17724.5
03-chg-selex-1979,2016,TIME,11178.3,18033.2
03-chg-selex-1979,2017,TIME,11809.9,18368.6
03-chg-selex-1979,2018,TIME,12406.9,18617.6
03-chg-selex-1979,2019,TIME,12963.1,19051.1
03-chg-selex-1979,2020,TIME,13171.6,19122.4
03-chg-selex-1979,2021,TIME,13626.1,19378.9
03-chg-selex-1979,2022,TIME,16249.7,22033.5
03-chg-selex-1979,2023,FORE,18848.7,24644.6
