id,Yr,Era,SSB,SSB_nofishing
05-exclude-bad-comp,1950,VIRG,11264.2,11264.2
05-exclude-bad-comp,1951,INIT,11264.2,11264.2
05-exclude-bad-comp,1952,TIME,11712,11712
05-exclude-bad-comp,1953,TIME,11795.7,11846.2
05-exclude-bad-comp,1954,TIME,10852.6,12074.8
05-exclude-bad-comp,1955,TIME,4892.1,12368.7
05-exclude-bad-comp,1956,TIME,4189.32,12565
05-exclude-bad-comp,1957,TIME,4121.81,12593.3
05-exclude-bad-comp,1958,TIME,4159.3,12544.4
05-exclude-bad-comp,1959,TIME,3285.23,12537.8
05-exclude-bad-comp,1960,TIME,3192.96,12602.7
05-exclude-bad-comp,1961,TIME,3132.71,12722.9
05-exclude-bad-comp,1962,TIME,2133.31,12823.1
05-exclude-bad-comp,1963,TIME,1878.85,12935.7
05-exclude-bad-comp,1964,TIME,1447.68,12932.5
05-exclude-bad-comp,1965,TIME,1840.92,12652.5
05-exclude-bad-comp,1966,TIME,1788.35,12308.5
05-exclude-bad-comp,1967,TIME,1519.95,12001.7
05-exclude-bad-comp,1968,TIME,1994.86,11735.5
05-exclude-bad-comp,1969,TIME,2476.11,11505
05-exclude-bad-comp,1970,TIME,2963.68,11334.3
05-exclude-bad-comp,1971,TIME,2293.88,11243.6
05-exclude-bad-comp,1972,TIME,1585.71,11127.4
05-exclude-bad-comp,1973,TIME,1361.64,10963.5
05-exclude-bad-comp,1974,TIME,1259.27,10893.7
05-exclude-bad-comp,1975,TIME,1291.32,10865.3
05-exclude-bad-comp,1976,TIME,1500.45,10924.6
05-exclude-bad-comp,1977,TIME,1586.68,10859.6
05-exclude-bad-comp,1978,TIME,2083.24,10675.5
05-exclude-bad-comp,1979,TIME,1894.9,10697.9
05-exclude-bad-comp,1980,TIME,1800.26,10786.4
05-exclude-bad-comp,1981,TIME,2432.35,11173.1
05-exclude-bad-comp,1982,TIME,2116.12,11740.1
05-exclude-bad-comp,1983,TIME,1642.86,11940.4
05-exclude-bad-comp,1984,TIME,1781.76,11493.1
05-exclude-bad-comp,1985,TIME,1814.75,11188.3
05-exclude-bad-comp,1986,TIME,1605.93,10704.6
05-exclude-bad-comp,1987,TIME,1599.65,10210.7
05-exclude-bad-comp,1988,TIME,1445.71,9606.71
05-exclude-bad-comp,1989,TIME,1337.76,9530.93
05-exclude-bad-comp,1990,TIME,1150.05,10308.2
05-exclude-bad-comp,1991,TIME,1200.57,10703.1
05-exclude-bad-comp,1992,TIME,1422.46,10764.5
05-exclude-bad-comp,1993,TIME,1803.37,10833.1
05-exclude-bad-comp,1994,TIME,2061.76,11196.5
05-exclude-bad-comp,1995,TIME,1751.36,11680.1
05-exclude-bad-comp,1996,TIME,1980.62,12119.6
05-exclude-bad-comp,1997,TIME,2103.62,12183.9
05-exclude-bad-comp,1998,TIME,2499.66,12523
05-exclude-bad-comp,1999,TIME,2967.88,14121.6
05-exclude-bad-comp,2000,TIME,3003.08,14933
05-exclude-bad-comp,2001,TIME,3260.76,15233
05-exclude-bad-comp,2002,TIME,3186.43,14799.5
05-exclude-bad-comp,2003,TIME,2659.89,13746.9
05-exclude-bad-comp,2004,TIME,1896.23,13087.9
05-exclude-bad-comp,2005,TIME,1513.15,12508.7
05-exclude-bad-comp,2006,TIME,1625.41,12183.1
05-exclude-bad-comp,2007,TIME,1963.5,12187.3
05-exclude-bad-comp,2008,TIME,2014.45,11818
05-exclude-bad-comp,2009,TIME,2028.74,11592.9
05-exclude-bad-comp,2010,TIME,2304.14,11620.5
05-exclude-bad-comp,2011,TIME,2157.78,11281.2
05-exclude-bad-comp,2012,TIME,1711.21,10674.3
05-exclude-bad-comp,2013,TIME,1297.81,9999.98
05-exclude-bad-comp,2014,TIME,1388.15,9560.53
05-exclude-bad-comp,2015,TIME,1150.77,9392.54
05-exclude-bad-comp,2016,TIME,1011.75,9355.84
05-exclude-bad-comp,2017,TIME,1064.93,9252.12
05-exclude-bad-comp,2018,TIME,1148.29,9172.6
05-exclude-bad-comp,2019,TIME,1156.01,9237.74
05-exclude-bad-comp,2020,TIME,1005.65,9058.23
05-exclude-bad-comp,2021,TIME,910.886,8768.36
05-exclude-bad-comp,2022,TIME,1184.29,9256.38
05-exclude-bad-comp,2023,FORE,1609.53,10096
