id,Label,Value,Parm_StDev,Phase,Min,Max,Init,Status,Afterbound
05-exclude-bad-comp,SR_LN(R0),4.79748,0,1,2,15,4.79748,OK,OK
05-exclude-bad-comp,Size_DblN_peak_F01_LL.JP.1(1),178.31,0,2,45,325,178.31,OK,OK
05-exclude-bad-comp,Size_DblN_ascend_se_F01_LL.JP.1(1),7.43209,0,4,-10,10,7.43209,OK,OK
05-exclude-bad-comp,Size_DblN_descend_se_F01_LL.JP.1(1),-5.49197,0,5,-10,10,-5.49197,OK,OK
05-exclude-bad-comp,Size_DblN_end_logit_F01_LL.JP.1(1),-0.0431183,0,3,-999,9,-0.0431183,HI,OK
05-exclude-bad-comp,Size_DblN_peak_F02_LL.JP.2(2),198.563,0,2,45,325,198.563,OK,OK
05-exclude-bad-comp,Size_DblN_top_logit_F02_LL.JP.2(2),0.0706817,0,3,-10,10,0.0706817,OK,OK
05-exclude-bad-comp,Size_DblN_ascend_se_F02_LL.JP.2(2),5.8685,0,4,-10,10,5.8685,OK,OK
05-exclude-bad-comp,Size_DblN_descend_se_F02_LL.JP.2(2),0.000813922,0,5,-10,10,0.000813922,OK,OK
05-exclude-bad-comp,Size_DblN_peak_F03_LL.JP.3(3),200.338,0,2,45,325,200.338,OK,OK
05-exclude-bad-comp,Size_DblN_ascend_se_F03_LL.JP.3(3),6.25725,0,4,-10,10,6.25725,OK,OK
05-exclude-bad-comp,Size_DblN_descend_se_F03_LL.JP.3(3),-5.53879,0,5,-10,10,-5.53879,OK,OK
05-exclude-bad-comp,Size_DblN_end_logit_F03_LL.JP.3(3),3.43128,0,3,-999,9,3.43128,HI,OK
05-exclude-bad-comp,Size_DblN_peak_F04_LL.JP.4(4),182.412,0,2,45,325,182.412,OK,OK
05-exclude-bad-comp,Size_DblN_ascend_se_F04_LL.JP.4(4),7.00771,0,4,-10,10,7.00771,OK,OK
05-exclude-bad-comp,Size_DblN_descend_se_F04_LL.JP.4(4),4.25623,0,5,-10,10,4.25623,OK,OK
05-exclude-bad-comp,Size_DblN_end_logit_F04_LL.JP.4(4),0.327842,0,3,-999,9,0.327842,HI,OK
05-exclude-bad-comp,Size_DblN_peak_F06_LL.AU.2(6),186.278,0,2,45,325,186.278,OK,OK
05-exclude-bad-comp,Size_DblN_ascend_se_F06_LL.AU.2(6),5.76093,0,4,-10,10,5.76093,OK,OK
05-exclude-bad-comp,Size_DblN_descend_se_F06_LL.AU.2(6),5.23558,0,5,-10,10,5.23558,OK,OK
05-exclude-bad-comp,Size_DblN_end_logit_F06_LL.AU.2(6),-0.674127,0,3,-999,9,-0.674127,HI,OK
05-exclude-bad-comp,Size_DblN_peak_F07_LL.AU.3(7),191.589,0,2,45,325,191.589,OK,OK
05-exclude-bad-comp,Size_DblN_ascend_se_F07_LL.AU.3(7),6.00368,0,4,-10,10,6.00368,OK,OK
05-exclude-bad-comp,Size_DblN_descend_se_F07_LL.AU.3(7),4.67705,0,5,-10,10,4.67705,OK,OK
05-exclude-bad-comp,Size_DblN_end_logit_F07_LL.AU.3(7),-0.224375,0,3,-999,9,-0.224375,HI,OK
05-exclude-bad-comp,Size_DblN_peak_F09.REC.AU.3(9),197.674,0,2,45,325,197.674,OK,OK
05-exclude-bad-comp,Size_DblN_top_logit_F09.REC.AU.3(9),-1.01939,0,3,-10,10,-1.01939,OK,OK
05-exclude-bad-comp,Size_DblN_ascend_se_F09.REC.AU.3(9),5.62969,0,4,-10,10,5.62969,OK,OK
05-exclude-bad-comp,Size_DblN_descend_se_F09.REC.AU.3(9),-3.19565,0,5,-10,10,-3.19565,OK,OK
05-exclude-bad-comp,Size_inflection_F10_REC.NZ.3(10),209.547,0,2,45,325,209.547,OK,OK
05-exclude-bad-comp,Size_95%width_F10_REC.NZ.3(10),24.4351,0,3,0,500,24.4351,OK,OK
05-exclude-bad-comp,Size_DblN_peak_S01_INDEX.1-4(15),250.429,0,2,45,325,250.429,OK,OK
05-exclude-bad-comp,Size_DblN_top_logit_S01_INDEX.1-4(15),0.000442121,0,3,-10,10,0.000442121,OK,OK
05-exclude-bad-comp,Size_DblN_ascend_se_S01_INDEX.1-4(15),8.15634,0,4,-10,10,8.15634,OK,OK
05-exclude-bad-comp,Size_DblN_descend_se_S01_INDEX.1-4(15),5.50977e-06,0,5,-10,10,5.50977e-06,OK,OK
