id,Yr,Era,SSB,SSB_nofishing
06-exclude-more-comp,1950,VIRG,11260.8,11260.8
06-exclude-more-comp,1951,INIT,11260.8,11260.8
06-exclude-more-comp,1952,TIME,11726.9,11726.9
06-exclude-more-comp,1953,TIME,11812.5,11863.1
06-exclude-more-comp,1954,TIME,10875.1,12097.2
06-exclude-more-comp,1955,TIME,4918.99,12398.3
06-exclude-more-comp,1956,TIME,4217.96,12597.1
06-exclude-more-comp,1957,TIME,4149.89,12623.1
06-exclude-more-comp,1958,TIME,4183.57,12569.2
06-exclude-more-comp,1959,TIME,3308.04,12559.2
06-exclude-more-comp,1960,TIME,3211.26,12621.2
06-exclude-more-comp,1961,TIME,3144.77,12734.3
06-exclude-more-comp,1962,TIME,2142.44,12827.4
06-exclude-more-comp,1963,TIME,1877.59,12930.2
06-exclude-more-comp,1964,TIME,1442.4,12918
06-exclude-more-comp,1965,TIME,1845.28,12648.7
06-exclude-more-comp,1966,TIME,1802.92,12322.9
06-exclude-more-comp,1967,TIME,1541.76,12030.8
06-exclude-more-comp,1968,TIME,2026.7,11773.1
06-exclude-more-comp,1969,TIME,2516.07,11545.4
06-exclude-more-comp,1970,TIME,3012.41,11377.2
06-exclude-more-comp,1971,TIME,2348.68,11290.2
06-exclude-more-comp,1972,TIME,1637.08,11177
06-exclude-more-comp,1973,TIME,1415.91,11014.7
06-exclude-more-comp,1974,TIME,1320.12,10943.7
06-exclude-more-comp,1975,TIME,1366.76,10916.1
06-exclude-more-comp,1976,TIME,1588.39,10970
06-exclude-more-comp,1977,TIME,1691.46,10899.5
06-exclude-more-comp,1978,TIME,2209.83,10722.7
06-exclude-more-comp,1979,TIME,1985.89,10694.3
06-exclude-more-comp,1980,TIME,1852.18,10722.1
06-exclude-more-comp,1981,TIME,2475.34,11081.4
06-exclude-more-comp,1982,TIME,2142.5,11631.6
06-exclude-more-comp,1983,TIME,1665.13,11842.7
06-exclude-more-comp,1984,TIME,1807.13,11420.9
06-exclude-more-comp,1985,TIME,1843.94,11139.6
06-exclude-more-comp,1986,TIME,1646.03,10683.1
06-exclude-more-comp,1987,TIME,1647.92,10210.4
06-exclude-more-comp,1988,TIME,1514.49,9635.33
06-exclude-more-comp,1989,TIME,1439.68,9611.96
06-exclude-more-comp,1990,TIME,1262.65,10408.8
06-exclude-more-comp,1991,TIME,1384.42,10859.8
06-exclude-more-comp,1992,TIME,1617.96,10903.2
06-exclude-more-comp,1993,TIME,1980.54,10862.8
06-exclude-more-comp,1994,TIME,2240.17,11147.3
06-exclude-more-comp,1995,TIME,1917.75,11601.4
06-exclude-more-comp,1996,TIME,2116.01,12005.7
06-exclude-more-comp,1997,TIME,2244.6,12068.8
06-exclude-more-comp,1998,TIME,2677.56,12463.6
06-exclude-more-comp,1999,TIME,3159.97,14094
06-exclude-more-comp,2000,TIME,3207.84,14920.9
06-exclude-more-comp,2001,TIME,3465.26,15237.2
06-exclude-more-comp,2002,TIME,3363.76,14792.8
06-exclude-more-comp,2003,TIME,2805.8,13727
06-exclude-more-comp,2004,TIME,2002.98,13055.6
06-exclude-more-comp,2005,TIME,1610.72,12480.1
06-exclude-more-comp,2006,TIME,1731.38,12170.6
06-exclude-more-comp,2007,TIME,2084.79,12180.8
06-exclude-more-comp,2008,TIME,2141.02,11810
06-exclude-more-comp,2009,TIME,2159.29,11591.7
06-exclude-more-comp,2010,TIME,2439.77,11622.4
06-exclude-more-comp,2011,TIME,2286.9,11277.9
06-exclude-more-comp,2012,TIME,1830.14,10670.7
06-exclude-more-comp,2013,TIME,1406.49,10000.3
06-exclude-more-comp,2014,TIME,1496.74,9562.15
06-exclude-more-comp,2015,TIME,1255.16,9376.91
06-exclude-more-comp,2016,TIME,1115.46,9326.43
06-exclude-more-comp,2017,TIME,1173.99,9212.89
06-exclude-more-comp,2018,TIME,1264.85,9115.38
06-exclude-more-comp,2019,TIME,1276.36,9161.73
06-exclude-more-comp,2020,TIME,1126.35,8971.25
06-exclude-more-comp,2021,TIME,1044.22,8694.48
06-exclude-more-comp,2022,TIME,1364.1,9214.04
06-exclude-more-comp,2023,FORE,1866.27,10090.6
