id,Label,Value,Parm_StDev,Phase,Min,Max,Init,Status,Afterbound
06-exclude-more-comp,SR_LN(R0),4.79719,0,1,2,15,4.79719,OK,OK
06-exclude-more-comp,Size_DblN_peak_F01_LL.JP.1(1),182.507,0,2,45,325,182.507,OK,OK
06-exclude-more-comp,Size_DblN_ascend_se_F01_LL.JP.1(1),7.61174,0,4,-10,10,7.61174,OK,OK
06-exclude-more-comp,Size_DblN_descend_se_F01_LL.JP.1(1),-9.917,0,5,-10,10,-9.917,LO,OK
06-exclude-more-comp,Size_DblN_end_logit_F01_LL.JP.1(1),-0.260011,0,3,-999,9,-0.260011,HI,OK
06-exclude-more-comp,Size_DblN_peak_F02_LL.JP.2(2),197.208,0,2,45,325,197.208,OK,OK
06-exclude-more-comp,Size_DblN_top_logit_F02_LL.JP.2(2),-0.0090215,0,3,-10,10,-0.0090215,OK,OK
06-exclude-more-comp,Size_DblN_ascend_se_F02_LL.JP.2(2),5.70571,0,4,-10,10,5.70571,OK,OK
06-exclude-more-comp,Size_DblN_descend_se_F02_LL.JP.2(2),-0.000103452,0,5,-10,10,-0.000103452,OK,OK
06-exclude-more-comp,Size_DblN_peak_F03_LL.JP.3(3),200.285,0,2,45,325,200.285,OK,OK
06-exclude-more-comp,Size_DblN_ascend_se_F03_LL.JP.3(3),6.26548,0,4,-10,10,6.26548,OK,OK
06-exclude-more-comp,Size_DblN_descend_se_F03_LL.JP.3(3),-5.0873,0,5,-10,10,-5.0873,OK,OK
06-exclude-more-comp,Size_DblN_end_logit_F03_LL.JP.3(3),2.78872,0,3,-999,9,2.78872,HI,OK
06-exclude-more-comp,Size_DblN_peak_F04_LL.JP.4(4),182.118,0,2,45,325,182.118,OK,OK
06-exclude-more-comp,Size_DblN_ascend_se_F04_LL.JP.4(4),7.00285,0,4,-10,10,7.00285,OK,OK
06-exclude-more-comp,Size_DblN_descend_se_F04_LL.JP.4(4),4.39114,0,5,-10,10,4.39114,OK,OK
06-exclude-more-comp,Size_DblN_end_logit_F04_LL.JP.4(4),0.189193,0,3,-999,9,0.189193,HI,OK
06-exclude-more-comp,Size_DblN_peak_F06_LL.AU.2(6),186.048,0,2,45,325,186.048,OK,OK
06-exclude-more-comp,Size_DblN_ascend_se_F06_LL.AU.2(6),5.75267,0,4,-10,10,5.75267,OK,OK
06-exclude-more-comp,Size_DblN_descend_se_F06_LL.AU.2(6),5.25629,0,5,-10,10,5.25629,OK,OK
06-exclude-more-comp,Size_DblN_end_logit_F06_LL.AU.2(6),-0.783757,0,3,-999,9,-0.783757,HI,OK
06-exclude-more-comp,Size_DblN_peak_F07_LL.AU.3(7),191.228,0,2,45,325,191.228,OK,OK
06-exclude-more-comp,Size_DblN_ascend_se_F07_LL.AU.3(7),5.99575,0,4,-10,10,5.99575,OK,OK
06-exclude-more-comp,Size_DblN_descend_se_F07_LL.AU.3(7),4.74882,0,5,-10,10,4.74882,OK,OK
06-exclude-more-comp,Size_DblN_end_logit_F07_LL.AU.3(7),-0.355519,0,3,-999,9,-0.355519,HI,OK
06-exclude-more-comp,Size_DblN_peak_F09.REC.AU.3(9),197.077,0,2,45,325,197.077,OK,OK
06-exclude-more-comp,Size_DblN_top_logit_F09.REC.AU.3(9),-1.00266,0,3,-10,10,-1.00266,OK,OK
06-exclude-more-comp,Size_DblN_ascend_se_F09.REC.AU.3(9),5.60407,0,4,-10,10,5.60407,OK,OK
06-exclude-more-comp,Size_DblN_descend_se_F09.REC.AU.3(9),-3.22608,0,5,-10,10,-3.22608,OK,OK
06-exclude-more-comp,Size_inflection_F10_REC.NZ.3(10),209.138,0,2,45,325,209.138,OK,OK
06-exclude-more-comp,Size_95%width_F10_REC.NZ.3(10),24.5038,0,3,0,500,24.5038,OK,OK
06-exclude-more-comp,Size_DblN_peak_S01_INDEX.1-4(15),236.988,0,2,45,325,236.988,OK,OK
06-exclude-more-comp,Size_DblN_top_logit_S01_INDEX.1-4(15),-7.48896e-06,0,3,-10,10,-7.48896e-06,OK,OK
06-exclude-more-comp,Size_DblN_ascend_se_S01_INDEX.1-4(15),7.74152,0,4,-10,10,7.74152,OK,OK
06-exclude-more-comp,Size_DblN_descend_se_S01_INDEX.1-4(15),-9.63699e-08,0,5,-10,10,-9.63699e-08,OK,OK
