"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SSB_Virgin" "SSB_Virgin" 11260.8 116.124 NA NA
"SSB_Initial" "SSB_Initial" 11260.8 116.124 NA NA
"SSB_1952" "SSB_1952" 11726.9 881.096 NA NA
"SSB_1953" "SSB_1953" 11812.5 866.539 NA NA
"SSB_1954" "SSB_1954" 10875.1 873.252 NA NA
"SSB_1955" "SSB_1955" 4918.99 855.717 NA NA
"SSB_1956" "SSB_1956" 4217.96 790.876 NA NA
"SSB_1957" "SSB_1957" 4149.89 767.869 NA NA
"SSB_1958" "SSB_1958" 4183.57 750.521 NA NA
"SSB_1959" "SSB_1959" 3308.04 687.833 NA NA
"SSB_1960" "SSB_1960" 3211.26 647.257 NA NA
"SSB_1961" "SSB_1961" 3144.77 608.53 NA NA
"SSB_1962" "SSB_1962" 2142.44 490.892 NA NA
"SSB_1963" "SSB_1963" 1877.59 338.821 NA NA
"SSB_1964" "SSB_1964" 1442.4 149.989 NA NA
"SSB_1965" "SSB_1965" 1845.28 307.948 NA NA
"SSB_1966" "SSB_1966" 1802.92 408.586 NA NA
"SSB_1967" "SSB_1967" 1541.76 455.612 NA NA
"SSB_1968" "SSB_1968" 2026.7 528.181 NA NA
"SSB_1969" "SSB_1969" 2516.07 610.183 NA NA
"SSB_1970" "SSB_1970" 3012.41 638.508 NA NA
"SSB_1971" "SSB_1971" 2348.68 558.655 NA NA
"SSB_1972" "SSB_1972" 1637.08 452.013 NA NA
"SSB_1973" "SSB_1973" 1415.91 389.359 NA NA
"SSB_1974" "SSB_1974" 1320.12 374.919 NA NA
"SSB_1975" "SSB_1975" 1366.76 403.872 NA NA
"SSB_1976" "SSB_1976" 1588.39 426.915 NA NA
"SSB_1977" "SSB_1977" 1691.46 444.709 NA NA
"SSB_1978" "SSB_1978" 2209.83 464.587 NA NA
"SSB_1979" "SSB_1979" 1985.89 401.517 NA NA
"SSB_1980" "SSB_1980" 1852.18 365.826 NA NA
"SSB_1981" "SSB_1981" 2475.34 364.139 NA NA
"SSB_1982" "SSB_1982" 2142.5 330.395 NA NA
