id,type,yr,Value,StdDev
06-exclude-more-comp,ssb,1952,11726.9,881.096
06-exclude-more-comp,ssb,1953,11812.5,866.539
06-exclude-more-comp,ssb,1954,10875.1,873.252
06-exclude-more-comp,ssb,1955,4918.99,855.717
06-exclude-more-comp,ssb,1956,4217.96,790.876
06-exclude-more-comp,ssb,1957,4149.89,767.869
06-exclude-more-comp,ssb,1958,4183.57,750.521
06-exclude-more-comp,ssb,1959,3308.04,687.833
06-exclude-more-comp,ssb,1960,3211.26,647.257
06-exclude-more-comp,ssb,1961,3144.77,608.53
06-exclude-more-comp,ssb,1962,2142.44,490.892
06-exclude-more-comp,ssb,1963,1877.59,338.821
06-exclude-more-comp,ssb,1964,1442.4,149.989
06-exclude-more-comp,ssb,1965,1845.28,307.948
06-exclude-more-comp,ssb,1966,1802.92,408.586
06-exclude-more-comp,ssb,1967,1541.76,455.612
06-exclude-more-comp,ssb,1968,2026.7,528.181
06-exclude-more-comp,ssb,1969,2516.07,610.183
06-exclude-more-comp,ssb,1970,3012.41,638.508
06-exclude-more-comp,ssb,1971,2348.68,558.655
06-exclude-more-comp,ssb,1972,1637.08,452.013
06-exclude-more-comp,ssb,1973,1415.91,389.359
06-exclude-more-comp,ssb,1974,1320.12,374.919
06-exclude-more-comp,ssb,1975,1366.76,403.872
06-exclude-more-comp,ssb,1976,1588.39,426.915
06-exclude-more-comp,ssb,1977,1691.46,444.709
06-exclude-more-comp,ssb,1978,2209.83,464.587
06-exclude-more-comp,ssb,1979,1985.89,401.517
06-exclude-more-comp,ssb,1980,1852.18,365.826
06-exclude-more-comp,ssb,1981,2475.34,364.139
06-exclude-more-comp,ssb,1982,2142.5,330.395
06-exclude-more-comp,ssb,1983,1665.13,302.648
06-exclude-more-comp,ssb,1984,1807.13,315.9
06-exclude-more-comp,ssb,1985,1843.94,315.178
06-exclude-more-comp,ssb,1986,1646.03,314.006
06-exclude-more-comp,ssb,1987,1647.92,304.699
06-exclude-more-comp,ssb,1988,1514.49,323.478
06-exclude-more-comp,ssb,1989,1439.68,360.158
06-exclude-more-comp,ssb,1990,1262.65,315.015
06-exclude-more-comp,ssb,1991,1384.42,367.436
06-exclude-more-comp,ssb,1992,1617.96,417.458
06-exclude-more-comp,ssb,1993,1980.54,474.2
06-exclude-more-comp,ssb,1994,2240.17,534.969
06-exclude-more-comp,ssb,1995,1917.75,507.428
06-exclude-more-comp,ssb,1996,2116.01,485.836
06-exclude-more-comp,ssb,1997,2244.6,485.033
06-exclude-more-comp,ssb,1998,2677.56,542.254
06-exclude-more-comp,ssb,1999,3159.97,582.034
06-exclude-more-comp,ssb,2000,3207.84,628.762
06-exclude-more-comp,ssb,2001,3465.26,633.392
06-exclude-more-comp,ssb,2002,3363.76,565.664
06-exclude-more-comp,ssb,2003,2805.8,470.256
06-exclude-more-comp,ssb,2004,2002.98,405.569
06-exclude-more-comp,ssb,2005,1610.72,382.387
06-exclude-more-comp,ssb,2006,1731.38,425.431
06-exclude-more-comp,ssb,2007,2084.79,474.698
06-exclude-more-comp,ssb,2008,2141.02,512.731
06-exclude-more-comp,ssb,2009,2159.29,508.663
06-exclude-more-comp,ssb,2010,2439.77,493.827
06-exclude-more-comp,ssb,2011,2286.9,451.329
06-exclude-more-comp,ssb,2012,1830.14,384.053
06-exclude-more-comp,ssb,2013,1406.49,337.746
06-exclude-more-comp,ssb,2014,1496.74,296.199
06-exclude-more-comp,ssb,2015,1255.16,270.575
06-exclude-more-comp,ssb,2016,1115.46,260.985
06-exclude-more-comp,ssb,2017,1173.99,277.232
06-exclude-more-comp,ssb,2018,1264.85,302.19
06-exclude-more-comp,ssb,2019,1276.36,313.532
06-exclude-more-comp,ssb,2020,1126.35,322.077
06-exclude-more-comp,ssb,2021,1044.22,358.724
06-exclude-more-comp,ssb,2022,1364.1,525.567
