id,sex,age,m,len,len_sd,wt,mat,mat_fec,sr
08-relax-growth,1,0,0.707867,59.9,8.985,1.39813,1.91299e-10,0,
08-relax-growth,1,1,0.4718,145.443,21.8165,33.5911,0.0652765,4.74452,
08-relax-growth,1,2,0.4007,182.555,27.3832,75.8469,0.518663,53.6317,
08-relax-growth,1,3,0.3766,198.655,29.7982,102.679,0.712302,88.3216,
08-relax-growth,1,4,0.3669,205.64,30.8459,116.216,0.776298,104.769,
08-relax-growth,1,5,0.3629,208.67,31.3005,122.47,0.800244,112.15,
08-relax-growth,1,6,0.3612,209.984,31.4977,125.257,0.809946,115.4,
08-relax-growth,1,7,0.3605,210.555,31.5832,126.48,0.81403,116.819,
08-relax-growth,1,8,0.3602,210.802,31.6203,127.014,0.815778,117.436,
08-relax-growth,1,9,0.36,210.909,31.6364,127.246,0.816532,117.704,
08-relax-growth,1,10,0.36,210.967,31.6451,127.371,0.816937,117.848,
08-relax-growth,1,0.25,0.64885,88.369,13.2554,5.63285,3.36566e-07,0,
08-relax-growth,1,1.25,0.454025,157.794,23.6691,44.986,0.177846,4.74452,
08-relax-growth,1,2.25,0.394675,187.913,28.1869,84.1322,0.58961,53.6317,
08-relax-growth,1,3.25,0.374175,200.979,30.1469,107.051,0.734993,88.3216,
08-relax-growth,1,4.25,0.3659,206.648,30.9972,118.271,0.784516,104.769,
08-relax-growth,1,5.25,0.362475,209.107,31.3661,123.392,0.803518,112.15,
08-relax-growth,1,6.25,0.361025,210.174,31.5261,125.663,0.811313,115.4,
08-relax-growth,1,7.25,0.360425,210.637,31.5956,126.658,0.814613,116.819,
08-relax-growth,1,8.25,0.36015,210.838,31.6257,127.091,0.816029,117.436,
08-relax-growth,1,9.25,0.36,210.925,31.6387,127.279,0.81664,117.704,
08-relax-growth,1,10.25,0.36,210.972,31.6458,127.38,0.816969,117.848,
08-relax-growth,1,0.5,0.589834,111.474,16.7211,12.9487,0.000190101,0,
08-relax-growth,1,1.5,0.43625,167.818,25.1727,56.096,0.308384,4.74452,
08-relax-growth,1,2.5,0.38865,192.261,28.8392,91.3206,0.642705,53.6317,
08-relax-growth,1,3.5,0.37175,202.866,30.4299,110.695,0.752381,88.3216,
08-relax-growth,1,4.5,0.3649,207.466,31.12,119.958,0.791002,104.769,
08-relax-growth,1,5.5,0.36205,209.462,31.4194,124.145,0.806142,112.15,
08-relax-growth,1,6.5,0.36085,210.328,31.5492,125.994,0.812417,115.4,
08-relax-growth,1,7.5,0.36035,210.704,31.6056,126.802,0.815085,116.819,
08-relax-growth,1,8.5,0.3601,210.867,31.63,127.153,0.816233,117.436,
08-relax-growth,1,9.5,0.36,210.938,31.6406,127.306,0.816728,117.704,
08-relax-growth,1,10.5,0.36,210.976,31.6463,127.389,0.816995,117.848,
08-relax-growth,1,0.75,0.530817,130.225,19.5338,22.6052,0.00931584,0,
08-relax-growth,1,1.75,0.418475,175.953,26.3929,66.4671,0.425346,4.74452,
08-relax-growth,1,2.75,0.382625,195.791,29.3686,97.4719,0.682416,53.6317,
08-relax-growth,1,3.75,0.369325,204.397,30.6596,113.719,0.765823,88.3216,
08-relax-growth,1,4.75,0.3639,208.131,31.2196,121.34,0.796147,104.769,
08-relax-growth,1,5.75,0.361625,209.751,31.4626,124.758,0.80825,112.15,
08-relax-growth,1,6.75,0.360675,210.453,31.568,126.262,0.813309,115.4,
08-relax-growth,1,7.75,0.360275,210.758,31.6137,126.919,0.815468,116.819,
08-relax-growth,1,8.75,0.36005,210.89,31.6336,127.204,0.816398,117.436,
08-relax-growth,1,9.75,0.36,210.948,31.6422,127.328,0.8168,117.704,
08-relax-growth,1,10.75,0.36,210.979,31.6468,127.395,0.817016,117.848,
