id,Fleet,Time,Obs,Exp,sel_bio,sel_num,F,Like,Mult
08-relax-growth,1,1952.37,0.002,0.00199999,0.196083,0.00199999,4.79118e-05,2.87256e-08,1
08-relax-growth,1,1952.62,0.002,0.00199999,0.193982,0.00199999,4.76145e-05,2.82479e-08,1
08-relax-growth,1,1953.12,0.068,0.0679998,6.62505,0.0679998,0.0016196,2.88582e-08,1
08-relax-growth,1,1953.37,0.014,0.014,1.37922,0.014,0.000340871,2.9915e-08,1
08-relax-growth,1,1953.62,0.023,0.0229999,2.23741,0.0229999,0.000556383,6.90204e-08,1
08-relax-growth,1,1953.87,0.024,0.0239966,2.29959,0.0239966,0.000593377,8.49097e-05,1
08-relax-growth,1,1954.12,0.175,0.174999,16.8508,0.174999,0.00454179,5.44533e-08,1
08-relax-growth,1,1954.37,0.328,0.327999,31.9079,0.327999,0.00870425,3.66734e-08,1
08-relax-growth,1,1954.62,0.257,0.256996,24.5078,0.256996,0.00708979,9.56175e-07,1
08-relax-growth,1,1954.87,0.34,0.341263,30.4064,0.341263,0.0125363,0.0568101,1
08-relax-growth,1,1955.12,0.216,0.215999,18.2021,0.215999,0.0101013,1.54639e-07,1
08-relax-growth,1,1955.37,0.228,0.227999,19.4762,0.227999,0.0104867,1.14596e-07,1
08-relax-growth,1,1955.62,0.184,0.183999,15.2989,0.183999,0.00833842,3.43168e-08,1
08-relax-growth,1,1955.87,0.412,0.412032,32.832,0.412032,0.0201246,2.46139e-05,1
08-relax-growth,1,1956.12,0.14,0.139999,11.1827,0.139999,0.00723897,1.66834e-07,1
08-relax-growth,1,1956.37,0.201,0.200999,16.4816,0.200999,0.0101028,1.41445e-07,1
08-relax-growth,1,1956.62,0.112,0.111999,9.03446,0.111999,0.00540332,1.46981e-07,1
08-relax-growth,1,1956.87,0.255,0.255015,19.9746,0.255015,0.0129208,1.42223e-05,1
08-relax-growth,1,1957.12,0.125,0.124999,9.89015,0.124999,0.00665717,1.509e-07,1
08-relax-growth,1,1957.37,0.098,0.0979994,7.99146,0.0979994,0.005062,1.58579e-07,1
08-relax-growth,1,1957.62,0.234,0.233998,18.8657,0.233998,0.0114751,2.7332e-07,1
08-relax-growth,1,1957.87,0.645,0.645047,50.7784,0.645047,0.0329256,2.18526e-05,1
08-relax-growth,1,1958.12,0.27,0.269998,21.4846,0.269998,0.0145599,1.44696e-07,1
08-relax-growth,1,1958.37,0.241,0.240999,19.739,0.240999,0.0126669,1.43506e-07,1
08-relax-growth,1,1958.62,0.61,0.609998,49.059,0.609998,0.0313595,6.41839e-08,1
08-relax-growth,1,1958.87,1.446,1.44664,110.578,1.44664,0.0851495,0.000819328,1
08-relax-growth,1,1959.12,0.22,0.219998,16.6486,0.219998,0.0144822,2.21223e-07,1
08-relax-growth,1,1959.37,0.264,0.263998,20.5974,0.263998,0.0167594,2.81703e-07,1
08-relax-growth,1,1959.62,0.534,0.53401,40.5146,0.53401,0.0333252,1.3857e-06,1
08-relax-growth,1,1959.87,0.9,0.900062,65.3594,0.900062,0.0595133,1.9636e-05,1
08-relax-growth,1,1960.12,0.211,0.210998,15.5857,0.210998,0.0142699,2.44198e-07,1
08-relax-growth,1,1960.37,0.495,0.494996,37.7626,0.494996,0.0319136,2.39971e-07,1
08-relax-growth,1,1960.62,0.654,0.654039,47.9851,0.654039,0.0417435,1.49916e-05,1
08-relax-growth,1,1960.87,0.978,0.978038,68.1017,0.978038,0.0651842,6.29643e-06,1
08-relax-growth,1,1961.12,0.589,0.588996,42.0374,0.588996,0.0392681,2.17446e-07,1
08-relax-growth,1,1961.37,0.423,0.422997,31.6815,0.422997,0.0269057,2.476e-07,1
08-relax-growth,1,1961.62,7.602,7.60292,557.445,7.60292,0.522564,6.0332e-05,1
08-relax-growth,1,1961.87,0.933,0.933973,63.2216,0.933973,0.0812641,0.00449274,1
08-relax-growth,1,1962.12,1.645,1.64498,111,1.64498,0.158751,4.66992e-07,1
08-relax-growth,1,1962.37,0.47,0.469995,33.2266,0.469995,0.0431798,4.8357e-07,1
08-relax-growth,1,1962.62,1.061,1.06103,72.8476,1.06103,0.0966698,3.22886e-06,1
08-relax-growth,1,1962.87,1.322,1.32357,83.5371,1.32357,0.142563,0.00580053,1
08-relax-growth,1,1963.12,1.526,1.52598,96.5247,1.52598,0.179081,6.44826e-07,1
08-relax-growth,1,1963.37,0.767,0.766991,51.1688,0.766991,0.0874001,5.33523e-07,1
08-relax-growth,1,1963.62,1.105,1.10499,71.6741,1.10499,0.121738,3.52806e-07,1
08-relax-growth,1,1963.87,1.758,1.76346,104.336,1.76346,0.233332,0.0396751,1
08-relax-growth,1,1964.12,0.843,0.842986,49.6572,0.842986,0.125344,1.09449e-06,1
08-relax-growth,1,1964.37,0.588,0.587991,37.5918,0.587991,0.0824657,9.19082e-07,1
08-relax-growth,1,1964.62,0.4,0.399998,25.7715,0.399998,0.0541126,9.09152e-08,1
08-relax-growth,1,1964.87,0.468,0.468018,29.9685,0.468018,0.06504,5.81402e-06,1
08-relax-growth,1,1965.12,2.134,2.13397,143.239,2.13397,0.305706,9.3854e-07,1
08-relax-growth,1,1965.37,1.537,1.53698,106.23,1.53698,0.218425,8.42223e-07,1
08-relax-growth,1,1965.62,0.718,0.718031,46.0869,0.718031,0.0991991,7.81768e-06,1
08-relax-growth,1,1965.87,0.641,0.641048,38.1832,0.641048,0.0892646,2.28762e-05,1
08-relax-growth,1,1966.12,0.623,0.622991,38.5461,0.622991,0.0856678,9.20881e-07,1
08-relax-growth,1,1966.37,1.634,1.63398,106.331,1.63398,0.218347,7.28413e-07,1
08-relax-growth,1,1966.62,0.55,0.55011,33.9304,0.55011,0.0751558,0.000166569,1
08-relax-growth,1,1966.87,0.582,0.582148,33.5447,0.582148,0.0835909,0.000265467,1
08-relax-growth,1,1967.12,0.637,0.63699,38.6543,0.63699,0.0902354,9.56073e-07,1
08-relax-growth,1,1967.37,0.479,0.478993,31.5652,0.478993,0.0659224,8.04584e-07,1
08-relax-growth,1,1967.62,0.625,0.625002,41.7202,0.625002,0.0878307,5.64385e-08,1
08-relax-growth,1,1967.87,0.399,0.398995,26.7552,0.398995,0.0579573,7.31122e-07,1
08-relax-growth,1,1968.12,1.094,1.09398,77.03,1.09398,0.16289,1.04279e-06,1
08-relax-growth,1,1968.37,0.608,0.607991,42.9314,0.607991,0.089451,8.80432e-07,1
08-relax-growth,1,1968.62,0.194,0.193998,12.4341,0.193998,0.0251172,4.3384e-07,1
08-relax-growth,1,1968.87,0.265,0.264997,16.3587,0.264997,0.0294331,6.43139e-07,1
08-relax-growth,1,1969.12,0.721,0.720993,46.903,0.720993,0.0752193,4.36451e-07,1
08-relax-growth,1,1969.37,0.366,0.365996,25.2408,0.365996,0.0370248,4.87928e-07,1
08-relax-growth,1,1969.62,0.151,0.150998,10.5651,0.150998,0.0142561,4.53135e-07,1
08-relax-growth,1,1969.87,0.531,0.530995,37.7279,0.530995,0.0484822,3.59775e-07,1
08-relax-growth,1,1970.12,1.161,1.16099,86.1069,1.16099,0.109017,3.94376e-07,1
08-relax-growth,1,1970.37,0.53,0.529995,39.8303,0.529995,0.0499021,3.99595e-07,1
08-relax-growth,1,1970.62,0.988,0.988002,68.8593,0.988002,0.0894055,2.21975e-08,1
08-relax-growth,1,1970.87,1.946,1.94628,123.345,1.94628,0.185163,8.26598e-05,1
08-relax-growth,1,1971.12,9.127,9.12692,572.394,9.12692,1.01358,2.80867e-07,1
08-relax-growth,1,1971.37,0.616,0.615992,39.9666,0.615992,0.0734095,6.34213e-07,1
08-relax-growth,1,1971.62,0.314,0.314002,19.8768,0.314002,0.0351643,1.47898e-07,1
08-relax-growth,1,1971.87,0.503,0.503035,30.963,0.503035,0.0561431,1.9474e-05,1
08-relax-growth,1,1972.12,1.186,1.18599,75.1702,1.18599,0.144616,4.38589e-07,1
08-relax-growth,1,1972.37,0.299,0.298996,19.747,0.298996,0.0380691,7.20011e-07,1
08-relax-growth,1,1972.62,0.641,0.640993,41.9159,0.640993,0.0764094,5.63271e-07,1
08-relax-growth,1,1972.87,0.166,0.166056,10.5476,0.166056,0.0206394,0.000468513,1
08-relax-growth,1,1973.12,0.316,0.315996,20.3485,0.315996,0.0443365,6.67594e-07,1
08-relax-growth,1,1973.37,0.432,0.431994,29.0052,0.431994,0.0636443,9.2096e-07,1
08-relax-growth,1,1973.62,0.379,0.378995,25.3246,0.378995,0.0530096,8.18037e-07,1
08-relax-growth,1,1973.87,0.384,0.384232,24.9355,0.384232,0.0575107,0.00151235,1
08-relax-growth,1,1974.12,0.855,0.854989,55.1502,0.854989,0.153934,7.41922e-07,1
08-relax-growth,1,1974.37,0.888,0.887983,56.9158,0.887983,0.168754,1.48462e-06,1
08-relax-growth,1,1974.62,1.437,1.43699,84.2124,1.43699,0.242959,9.49323e-08,1
08-relax-growth,1,1974.87,0.419,0.419019,23.2916,0.419019,0.065092,8.4468e-06,1
08-relax-growth,1,1975.12,0.502,0.501993,29.442,0.501993,0.0789326,7.22476e-07,1
08-relax-growth,1,1975.37,0.64,0.63999,40.4344,0.63999,0.103367,1.08489e-06,1
08-relax-growth,1,1975.62,1.018,1.01798,65.5266,1.01798,0.158425,1.01454e-06,1
08-relax-growth,1,1975.87,0.391,0.391004,25.3318,0.391004,0.0631945,4.71931e-07,1
08-relax-growth,1,1976.12,0.666,0.66599,44.2483,0.66599,0.125357,8.94555e-07,1
08-relax-growth,1,1976.37,0.667,0.666987,43.8757,0.666987,0.129682,1.64736e-06,1
08-relax-growth,1,1976.62,1.149,1.14898,68.3911,1.14898,0.194386,9.30996e-07,1
08-relax-growth,1,1976.87,0.676,0.67599,38.6822,0.67599,0.100942,8.71374e-07,1
08-relax-growth,1,1977.12,0.48,0.479993,29.4752,0.479993,0.0680476,8.14301e-07,1
08-relax-growth,1,1977.37,0.417,0.416994,27.6552,0.416994,0.0577241,8.62204e-07,1
08-relax-growth,1,1977.62,0.88,0.879988,60.1263,0.879988,0.115702,7.60954e-07,1
08-relax-growth,1,1977.87,0.434,0.433994,30.4401,0.433994,0.0561301,7.04748e-07,1
08-relax-growth,1,1978.12,0.652,0.651991,47.7623,0.651991,0.0906205,7.35391e-07,1
08-relax-growth,1,1978.37,0.324,0.323995,23.6476,0.323995,0.0467845,8.87174e-07,1
08-relax-growth,1,1978.62,0.611,0.610992,40.1123,0.610992,0.0826135,6.30305e-07,1
08-relax-growth,1,1978.87,0.851,0.850991,51.2031,0.850991,0.114286,4.867e-07,1
08-relax-growth,1,1979.12,0.671,0.670991,41.4818,0.670991,0.0932951,7.23212e-07,1
08-relax-growth,1,1979.37,0.343,0.342995,22.3305,0.342995,0.0481225,7.70093e-07,1
08-relax-growth,1,1979.62,0.366,0.365995,23.4066,0.365995,0.050011,6.64893e-07,1
08-relax-growth,1,1979.87,1.246,1.24599,78.0686,1.24599,0.174086,5.01371e-07,1
08-relax-growth,1,1980.12,1.124,1.12398,73.2475,1.12398,0.16512,8.49779e-07,1
08-relax-growth,1,1980.37,0.65,0.64999,43.7986,0.64999,0.0929604,9.01841e-07,1
08-relax-growth,1,1980.62,1.268,1.26798,81.8108,1.26798,0.162825,6.56741e-07,1
08-relax-growth,1,1980.87,1.017,1.01699,63.7932,1.01699,0.122475,4.62974e-07,1
08-relax-growth,1,1981.12,1.141,1.14099,73.9422,1.14099,0.142803,5.37542e-07,1
08-relax-growth,1,1981.37,0.67,0.669992,44.0803,0.669992,0.0864358,6.44148e-07,1
08-relax-growth,1,1981.62,0.374,0.373996,22.5621,0.373996,0.0459986,5.29164e-07,1
08-relax-growth,1,1981.87,1.013,1.013,56.564,1.013,0.124576,2.90367e-08,1
08-relax-growth,1,1982.12,0.389,0.388996,22.5824,0.388996,0.0511248,4.73887e-07,1
08-relax-growth,1,1982.37,0.296,0.295996,18.5762,0.295996,0.0415709,7.34783e-07,1
08-relax-growth,1,1982.62,0.513,0.512993,32.5393,0.512993,0.077377,6.76699e-07,1
08-relax-growth,1,1982.87,0.204,0.204006,12.5422,0.204006,0.0357604,3.7725e-06,1
08-relax-growth,1,1983.12,0.219,0.218996,13.6672,0.218996,0.0447281,1.15631e-06,1
08-relax-growth,1,1983.37,0.071,0.0709985,4.5035,0.0709985,0.0149135,1.75286e-06,1
08-relax-growth,1,1983.62,0.156,0.155997,9.21553,0.155997,0.0292494,1.1599e-06,1
08-relax-growth,1,1983.87,0.768,0.767988,43.8111,0.767988,0.132471,9.26769e-07,1
08-relax-growth,1,1984.12,0.877,0.876986,52.9187,0.876986,0.153869,9.85294e-07,1
08-relax-growth,1,1984.37,0.654,0.653989,41.3623,0.653989,0.120003,1.19403e-06,1
08-relax-growth,1,1984.62,0.263,0.262996,15.7647,0.262996,0.0491787,9.86549e-07,1
08-relax-growth,1,1984.87,0.66,0.659989,38.2721,0.659989,0.11947,1.1457e-06,1
08-relax-growth,1,1985.12,0.397,0.396993,24.6126,0.396993,0.0707222,1.19793e-06,1
08-relax-growth,1,1985.37,0.316,0.315994,20.6195,0.315994,0.0572419,1.2563e-06,1
08-relax-growth,1,1985.62,0.431,0.430994,26.7463,0.430994,0.0812729,9.11304e-07,1
08-relax-growth,1,1985.87,0.537,0.536991,31.6616,0.536991,0.104788,1.25393e-06,1
08-relax-growth,1,1986.12,0.364,0.363993,22.5424,0.363993,0.0737353,1.41713e-06,1
08-relax-growth,1,1986.37,0.377,0.376993,24.1272,0.376993,0.0773804,1.59893e-06,1
08-relax-growth,1,1986.62,0.386,0.385993,23.1325,0.385993,0.0746074,1.17902e-06,1
08-relax-growth,1,1986.87,0.714,0.713988,41.2983,0.713988,0.130661,1.14368e-06,1
08-relax-growth,1,1987.12,0.197,0.196997,12.1226,0.196997,0.0357859,1.21988e-06,1
08-relax-growth,1,1987.37,0.056,0.055999,3.63256,0.055999,0.0101274,1.31725e-06,1
08-relax-growth,1,1987.62,0.602,0.601991,37.7152,0.601991,0.106724,1.02375e-06,1
08-relax-growth,1,1987.87,0.605,0.60499,37.0061,0.60499,0.106034,1.1042e-06,1
