Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,08-relax-growth
Catch_like,1.69639,0.11065,0.00158565,0.155826,0.136595,0.0034075,0.00164399,0.00175899,0.00134481,0.000967598,0.00174749,0.00232031,0.00701793,0.0028737,0.000762598,1.26789,0,08-relax-growth
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,08-relax-growth
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08-relax-growth
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,08-relax-growth
Surv_like,-28.1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.1062,08-relax-growth
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,08-relax-growth
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08-relax-growth
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,08-relax-growth
Length_like,113.733,0,0,11.0984,0,5.96355,0,0,0,0,26.4407,45.1793,0,0,25.0511,0,0,08-relax-growth
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,08-relax-growth
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08-relax-growth
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,08-relax-growth
SizeFreq_like:_1,885.735,,140.736,34.7993,,,350.769,187.04,,59.7208,105.545,,,,,,7.12482,08-relax-growth
