id,factor,fleet,value
10-CAAL,4,1,0.1
10-CAAL,7,1,0.1
10-CAAL,4,2,0.0833333
10-CAAL,7,2,0.1
10-CAAL,4,3,0.1
10-CAAL,7,3,0.1
10-CAAL,4,4,0.1
10-CAAL,7,4,0.1
10-CAAL,4,5,0.1
10-CAAL,7,5,0.1
10-CAAL,4,6,0.0555556
10-CAAL,7,6,0.1
10-CAAL,4,7,0.1
10-CAAL,7,7,0.1
10-CAAL,4,8,0.1
10-CAAL,7,8,0.1
10-CAAL,4,9,0.1
10-CAAL,7,9,0.0833333
10-CAAL,4,10,0.1
10-CAAL,7,10,0.0434783
10-CAAL,4,11,0.0625
10-CAAL,7,11,0.1
10-CAAL,4,12,0.0294118
10-CAAL,7,12,0.1
10-CAAL,4,13,0.1
10-CAAL,7,13,0.1
10-CAAL,4,14,0.1
10-CAAL,7,14,0.1
10-CAAL,4,15,0.0666667
10-CAAL,7,15,0.0666667
10-CAAL,1,16,0.190777
10-CAAL,4,16,0.1
10-CAAL,7,16,0.1
