id,sex,age,m,len,len_sd,wt,mat,mat_fec,sr
11-CAAL-no-ageerr,1,0,0.707867,67.3034,13.4607,2.28076,5.85004e-09,0,
11-CAAL-no-ageerr,1,1,0.4718,152.19,17.0968,37.8686,0.067094,4.5508,
11-CAAL-no-ageerr,1,2,0.4007,187.476,14.2292,77.5413,0.645824,56.4159,
11-CAAL-no-ageerr,1,3,0.3766,202.143,12.2806,100.621,0.915345,94.5392,
11-CAAL-no-ageerr,1,4,0.3669,208.24,11.3399,111.558,0.967817,109.013,
11-CAAL-no-ageerr,1,5,0.3629,210.774,10.9263,116.352,0.980102,114.704,
11-CAAL-no-ageerr,1,6,0.3612,211.828,10.7504,118.389,0.983928,117.03,
11-CAAL-no-ageerr,1,7,0.3605,212.266,10.6767,119.244,0.985327,117.992,
11-CAAL-no-ageerr,1,8,0.3602,212.448,10.6459,119.6,0.985878,118.391,
11-CAAL-no-ageerr,1,9,0.36,212.523,10.6331,119.749,0.986101,118.556,
11-CAAL-no-ageerr,1,10,0.36,212.562,10.6281,119.825,0.986208,118.641,
11-CAAL-no-ageerr,1,0.25,0.64885,95.9295,16.35,7.76948,8.56662e-06,0,
11-CAAL-no-ageerr,1,1.25,0.454025,164.089,16.4171,49.0268,0.180174,4.5508,
11-CAAL-no-ageerr,1,2.25,0.394675,192.422,13.6218,84.8379,0.75485,56.4159,
11-CAAL-no-ageerr,1,3.25,0.374175,204.199,11.972,104.217,0.937104,94.5392,
11-CAAL-no-ageerr,1,4.25,0.3659,209.095,11.2019,113.158,0.97249,109.013,
11-CAAL-no-ageerr,1,5.25,0.362475,211.13,10.8672,117.036,0.981468,114.704,
11-CAAL-no-ageerr,1,6.25,0.361025,211.975,10.7256,118.677,0.984412,117.03,
11-CAAL-no-ageerr,1,7.25,0.360425,212.327,10.6663,119.364,0.985515,117.992,
11-CAAL-no-ageerr,1,8.25,0.36015,212.473,10.6416,119.651,0.985953,118.391,
11-CAAL-no-ageerr,1,9.25,0.36,212.534,10.6313,119.77,0.986133,118.556,
11-CAAL-no-ageerr,1,10.25,0.36,212.565,10.6282,119.831,0.986215,118.641,
11-CAAL-no-ageerr,1,0.5,0.589834,118.915,17.445,16.2552,0.000936415,0,
11-CAAL-no-ageerr,1,1.5,0.43625,173.644,15.6597,59.55,0.33734,4.5508,
11-CAAL-no-ageerr,1,2.5,0.38865,196.393,13.0974,91.049,0.831138,56.4159,
11-CAAL-no-ageerr,1,3.5,0.37175,205.85,11.7178,107.172,0.951485,94.5392,
11-CAAL-no-ageerr,1,4.5,0.3649,209.781,11.09,114.455,0.97584,109.013,
11-CAAL-no-ageerr,1,5.5,0.36205,211.415,10.8196,117.588,0.982508,114.704,
11-CAAL-no-ageerr,1,6.5,0.36085,212.094,10.7056,118.908,0.984791,117.03,
11-CAAL-no-ageerr,1,7.5,0.36035,212.376,10.658,119.461,0.985664,117.992,
11-CAAL-no-ageerr,1,8.5,0.3601,212.494,10.6381,119.691,0.986014,118.391,
11-CAAL-no-ageerr,1,9.5,0.36,212.542,10.6298,119.786,0.986157,118.556,
11-CAAL-no-ageerr,1,10.5,0.36,212.567,10.6284,119.836,0.98622,118.641,
11-CAAL-no-ageerr,1,0.75,0.530817,137.371,17.5343,26.6561,0.013685,0,
11-CAAL-no-ageerr,1,1.75,0.418475,181.316,14.9151,69.1043,0.502544,4.5508,
11-CAAL-no-ageerr,1,2.75,0.382625,199.582,12.6528,96.2716,0.882047,56.4159,
11-CAAL-no-ageerr,1,3.75,0.369325,207.176,11.5097,109.589,0.961164,94.5392,
11-CAAL-no-ageerr,1,4.75,0.3639,210.332,10.9994,115.505,0.978286,109.013,
11-CAAL-no-ageerr,1,5.75,0.361625,211.644,10.7813,118.032,0.983308,114.704,
11-CAAL-no-ageerr,1,6.75,0.360675,212.189,10.6896,119.094,0.98509,117.03,
11-CAAL-no-ageerr,1,7.75,0.360275,212.416,10.6513,119.538,0.985783,117.992,
11-CAAL-no-ageerr,1,8.75,0.36005,212.51,10.6353,119.723,0.986063,118.391,
11-CAAL-no-ageerr,1,9.75,0.36,212.549,10.6287,119.8,0.986177,118.556,
11-CAAL-no-ageerr,1,10.75,0.36,212.569,10.6285,119.84,0.986224,118.641,
