id,Fleet,Fleet_name,Yr.S,Used,Kind,Sex,Exp_Mean
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,1991.125,yes,LEN,1,188.164023406294
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,1991.25,yes,LEN,1,189.43536461168
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,1991.375,yes,LEN,1,189.710994024909
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,1992.25,yes,LEN,1,191.337609
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,1992.375,yes,LEN,1,190.588154762343
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,1993.125,yes,LEN,1,188.461382538496
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,1993.25,yes,LEN,1,190.490738270279
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,1993.375,yes,LEN,1,190.15114019971
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,1994.125,yes,LEN,1,188.636980909042
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,1994.25,yes,LEN,1,189.105736450602
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,1994.375,yes,LEN,1,192.9276246579
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,1995.375,yes,LEN,1,188.615882276824
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,1996.25,yes,LEN,1,189.195667597834
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,1996.375,yes,LEN,1,189.275155965833
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,2011.375,yes,LEN,1,196.402549798725
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,2012.25,yes,LEN,1,190.103526547201
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,2014.125,yes,LEN,1,189.81780251822
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,2014.375,yes,LEN,1,189.892271752155
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,2015.25,yes,LEN,1,189.575635084873
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,2016.125,yes,LEN,1,188.242633751601
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,2016.25,yes,LEN,1,191.065084106508
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,2016.375,yes,LEN,1,191.278860616342
13-CAAL-noAgeerr-OGsd,3,F03_LL.JP.3,2020.375,yes,LEN,1,191.755394106473
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2006.375,yes,LEN,1,173.2752583463
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2007.25,yes,LEN,1,181.80450001917
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2007.375,yes,LEN,1,172.98286635803
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2008.375,yes,LEN,1,177.037122833411
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2009.125,yes,LEN,1,169.975634843178
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2010.25,yes,LEN,1,174.276588857019
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2010.375,yes,LEN,1,174.857125014288
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2011.375,yes,LEN,1,175.675199805768
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2014.375,yes,LEN,1,172.435212012958
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2017.375,yes,LEN,1,169.568409870523
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2018.375,yes,LEN,1,173.067125775184
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2019.375,yes,LEN,1,173.062510962502
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2020.375,yes,LEN,1,169.972187454728
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2020.5,yes,LEN,1,166.413491286856
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2021.25,yes,LEN,1,168.259927704188
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2021.375,yes,LEN,1,170.947062845823
13-CAAL-noAgeerr-OGsd,5,F05_LL.TW.4,2022.25,yes,LEN,1,172.857157142853
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,1985.125,yes,LEN,1,202.069114137797
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,1986.125,yes,LEN,1,202.130479704384
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,1987.125,yes,LEN,1,202.792955945902
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,1988.125,yes,LEN,1,202.880667483127
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,1989.125,yes,LEN,1,200.452004157642
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,1991.125,yes,LEN,1,199.610579029296
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,1992.125,yes,LEN,1,201.302032302032
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,1993.125,yes,LEN,1,202.213901064709
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,1994.125,yes,LEN,1,201.898650865811
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,2004.125,yes,LEN,1,200.912477
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,2006.125,yes,LEN,1,200.516281106512
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,2007.125,yes,LEN,1,200.86842178158
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,2008.125,yes,LEN,1,201.648523670295
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,2012.125,yes,LEN,1,202.687644575234
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,2013.125,yes,LEN,1,202.055865644693
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,2014.125,yes,LEN,1,200.813634381775
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,2015.125,yes,LEN,1,201.570656471197
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,2016.125,yes,LEN,1,200.560288989453
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,2017.125,yes,LEN,1,200.893423446712
13-CAAL-noAgeerr-OGsd,10,F10_REC.NZ.3,2018.125,yes,LEN,1,201.047376399628
13-CAAL-noAgeerr-OGsd,11,F11_LL.ALL.1,1998.375,yes,LEN,1,163.195523196254
13-CAAL-noAgeerr-OGsd,11,F11_LL.ALL.1,1999.125,yes,LEN,1,161.672292855084
13-CAAL-noAgeerr-OGsd,11,F11_LL.ALL.1,1999.25,yes,LEN,1,161.310929494815
