id,Fleet,Fleet_name,Yr.S,Used,Kind,Sex,Exp_Mean
14-CAAL-target-earlyF,2,F02_LL.JP.2,1980.25,yes,SIZE,1,88.5306636380639
14-CAAL-target-earlyF,2,F02_LL.JP.2,1980.375,yes,SIZE,1,88.8455290378455
14-CAAL-target-earlyF,2,F02_LL.JP.2,1980.5,yes,SIZE,1,88.9261026606341
14-CAAL-target-earlyF,2,F02_LL.JP.2,1981.375,yes,SIZE,1,89.2991743584031
14-CAAL-target-earlyF,2,F02_LL.JP.2,1981.5,yes,SIZE,1,88.9468615930528
14-CAAL-target-earlyF,2,F02_LL.JP.2,1982.125,yes,SIZE,1,88.0858026856413
14-CAAL-target-earlyF,2,F02_LL.JP.2,1982.25,yes,SIZE,1,87.793185263435
14-CAAL-target-earlyF,2,F02_LL.JP.2,1982.375,yes,SIZE,1,87.9323971159736
14-CAAL-target-earlyF,2,F02_LL.JP.2,1982.5,yes,SIZE,1,87.5898157102093
14-CAAL-target-earlyF,2,F02_LL.JP.2,1983.375,yes,SIZE,1,87.8473006741172
14-CAAL-target-earlyF,2,F02_LL.JP.2,1983.5,yes,SIZE,1,87.9561291514219
14-CAAL-target-earlyF,2,F02_LL.JP.2,1984.125,yes,SIZE,1,87.8254239460017
14-CAAL-target-earlyF,2,F02_LL.JP.2,1984.375,yes,SIZE,1,88.1012418635386
14-CAAL-target-earlyF,2,F02_LL.JP.2,1984.5,yes,SIZE,1,88.2185139911518
14-CAAL-target-earlyF,2,F02_LL.JP.2,1985.375,yes,SIZE,1,89.4952238145893
14-CAAL-target-earlyF,2,F02_LL.JP.2,1985.5,yes,SIZE,1,89.3183151136582
14-CAAL-target-earlyF,2,F02_LL.JP.2,1986.375,yes,SIZE,1,89.637929462138
14-CAAL-target-earlyF,2,F02_LL.JP.2,1986.5,yes,SIZE,1,89.7747167587196
14-CAAL-target-earlyF,2,F02_LL.JP.2,1987.25,yes,SIZE,1,90.3568078053239
14-CAAL-target-earlyF,2,F02_LL.JP.2,1987.375,yes,SIZE,1,90.4325535703166
14-CAAL-target-earlyF,2,F02_LL.JP.2,1988.125,yes,SIZE,1,89.3896907011608
14-CAAL-target-earlyF,2,F02_LL.JP.2,1988.375,yes,SIZE,1,87.601790164935
14-CAAL-target-earlyF,2,F02_LL.JP.2,1988.5,yes,SIZE,1,86.1389347685898
14-CAAL-target-earlyF,2,F02_LL.JP.2,1989.25,yes,SIZE,1,84.6674130624266
14-CAAL-target-earlyF,2,F02_LL.JP.2,1989.375,yes,SIZE,1,84.2708187855661
14-CAAL-target-earlyF,2,F02_LL.JP.2,1990.375,yes,SIZE,1,85.8637721435943
14-CAAL-target-earlyF,2,F02_LL.JP.2,1990.5,yes,SIZE,1,86.071428978143
14-CAAL-target-earlyF,2,F02_LL.JP.2,1991.125,yes,SIZE,1,86.2350788206796
14-CAAL-target-earlyF,2,F02_LL.JP.2,1994.25,yes,SIZE,1,87.2125868705957
