id,type,yr,Value,StdDev
14-CAAL-target-earlyF,f,1952,0.0160427,0.00222499
14-CAAL-target-earlyF,f,1953,0.191516,0.01648
14-CAAL-target-earlyF,f,1954,1.28872,0.287113
14-CAAL-target-earlyF,f,1955,0.826672,0.178831
14-CAAL-target-earlyF,f,1956,0.684188,0.147466
14-CAAL-target-earlyF,f,1957,0.62455,0.142633
14-CAAL-target-earlyF,f,1958,1.08984,0.244561
14-CAAL-target-earlyF,f,1959,0.977903,0.228429
14-CAAL-target-earlyF,f,1960,1.0438,0.246595
14-CAAL-target-earlyF,f,1961,1.75552,0.4323
14-CAAL-target-earlyF,f,1962,1.68693,0.435934
14-CAAL-target-earlyF,f,1963,1.98895,0.525125
14-CAAL-target-earlyF,f,1964,1.09478,0.291355
14-CAAL-target-earlyF,f,1965,1.25212,0.316897
14-CAAL-target-earlyF,f,1966,1.63962,0.480001
14-CAAL-target-earlyF,f,1967,0.855729,0.229648
14-CAAL-target-earlyF,f,1968,0.647957,0.157477
14-CAAL-target-earlyF,f,1969,0.601373,0.137823
14-CAAL-target-earlyF,f,1970,1.36119,0.297664
14-CAAL-target-earlyF,f,1971,1.95062,0.482583
14-CAAL-target-earlyF,f,1972,2.11697,0.567152
14-CAAL-target-earlyF,f,1973,2.07969,0.559464
14-CAAL-target-earlyF,f,1974,1.81228,0.501988
14-CAAL-target-earlyF,f,1975,1.33611,0.330211
14-CAAL-target-earlyF,f,1976,1.24391,0.300513
14-CAAL-target-earlyF,f,1977,0.631072,0.129201
14-CAAL-target-earlyF,f,1978,1.15802,0.192677
14-CAAL-target-earlyF,f,1979,1.24561,0.234184
14-CAAL-target-earlyF,f,1980,0.849506,0.146628
14-CAAL-target-earlyF,f,1981,1.57283,0.240718
14-CAAL-target-earlyF,f,1982,2.0317,0.36907
14-CAAL-target-earlyF,f,1983,1.33679,0.264572
14-CAAL-target-earlyF,f,1984,1.3811,0.253065
14-CAAL-target-earlyF,f,1985,1.32489,0.234676
14-CAAL-target-earlyF,f,1986,1.23934,0.220284
14-CAAL-target-earlyF,f,1987,1.21373,0.23295
14-CAAL-target-earlyF,f,1988,1.59127,0.335216
14-CAAL-target-earlyF,f,1989,2.47974,0.530875
14-CAAL-target-earlyF,f,1990,1.72718,0.36754
14-CAAL-target-earlyF,f,1991,1.32225,0.27965
14-CAAL-target-earlyF,f,1992,0.965394,0.186878
14-CAAL-target-earlyF,f,1993,1.20441,0.257456
14-CAAL-target-earlyF,f,1994,1.95472,0.412244
14-CAAL-target-earlyF,f,1995,1.82,0.40944
14-CAAL-target-earlyF,f,1996,1.56242,0.313246
14-CAAL-target-earlyF,f,1997,1.38178,0.257158
14-CAAL-target-earlyF,f,1998,1.90016,0.329948
14-CAAL-target-earlyF,f,1999,1.63513,0.277739
14-CAAL-target-earlyF,f,2000,1.31403,0.224475
14-CAAL-target-earlyF,f,2001,1.13488,0.164348
14-CAAL-target-earlyF,f,2002,1.21066,0.159395
14-CAAL-target-earlyF,f,2003,1.87158,0.26357
14-CAAL-target-earlyF,f,2004,1.85744,0.293845
14-CAAL-target-earlyF,f,2005,1.71196,0.309555
14-CAAL-target-earlyF,f,2006,1.42444,0.258692
14-CAAL-target-earlyF,f,2007,1.26653,0.229198
14-CAAL-target-earlyF,f,2008,1.45453,0.267346
14-CAAL-target-earlyF,f,2009,1.26783,0.211952
14-CAAL-target-earlyF,f,2010,1.2853,0.200107
14-CAAL-target-earlyF,f,2011,1.59612,0.243166
14-CAAL-target-earlyF,f,2012,1.79061,0.283556
14-CAAL-target-earlyF,f,2013,1.43222,0.235393
14-CAAL-target-earlyF,f,2014,1.75239,0.242238
14-CAAL-target-earlyF,f,2015,1.93591,0.30895
14-CAAL-target-earlyF,f,2016,1.7893,0.336588
14-CAAL-target-earlyF,f,2017,1.41751,0.247754
14-CAAL-target-earlyF,f,2018,1.5731,0.263373
14-CAAL-target-earlyF,f,2019,1.55526,0.285066
14-CAAL-target-earlyF,f,2020,1.48857,0.320991
14-CAAL-target-earlyF,f,2021,1.60485,0.434398
14-CAAL-target-earlyF,f,2022,1.06895,0.320003
