"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SSB_Virgin" "SSB_Virgin" 11362.6 514.132 NA NA
"SSB_Initial" "SSB_Initial" 11362.6 514.132 NA NA
"SSB_1952" "SSB_1952" 11701.8 962.037 NA NA
"SSB_1953" "SSB_1953" 11803.2 953.063 NA NA
"SSB_1954" "SSB_1954" 10764.6 925.792 NA NA
"SSB_1955" "SSB_1955" 5474.31 1018.17 NA NA
"SSB_1956" "SSB_1956" 4554.27 889.16 NA NA
"SSB_1957" "SSB_1957" 4401.49 814.665 NA NA
"SSB_1958" "SSB_1958" 4379.51 787.282 NA NA
"SSB_1959" "SSB_1959" 3477.9 734.252 NA NA
"SSB_1960" "SSB_1960" 3266.16 703.286 NA NA
"SSB_1961" "SSB_1961" 3149.81 678.692 NA NA
"SSB_1962" "SSB_1962" 2243.57 605.484 NA NA
"SSB_1963" "SSB_1963" 1918.1 535.194 NA NA
"SSB_1964" "SSB_1964" 1572.05 477.645 NA NA
"SSB_1965" "SSB_1965" 1976.14 523.997 NA NA
"SSB_1966" "SSB_1966" 2019.96 555.686 NA NA
"SSB_1967" "SSB_1967" 1715.23 567.707 NA NA
"SSB_1968" "SSB_1968" 2152.78 598.109 NA NA
"SSB_1969" "SSB_1969" 2670.53 642.125 NA NA
"SSB_1970" "SSB_1970" 3089.15 673.204 NA NA
"SSB_1971" "SSB_1971" 2379.29 595.904 NA NA
"SSB_1972" "SSB_1972" 1716.83 480.64 NA NA
"SSB_1973" "SSB_1973" 1527.3 409.035 NA NA
"SSB_1974" "SSB_1974" 1467.49 397.752 NA NA
"SSB_1975" "SSB_1975" 1575.46 415.007 NA NA
"SSB_1976" "SSB_1976" 1779.99 424.785 NA NA
"SSB_1977" "SSB_1977" 1862.83 431.362 NA NA
"SSB_1978" "SSB_1978" 2331.8 444.928 NA NA
"SSB_1979" "SSB_1979" 2119.79 404.611 NA NA
"SSB_1980" "SSB_1980" 2015.83 396.721 NA NA
"SSB_1981" "SSB_1981" 2561.32 388.198 NA NA
"SSB_1982" "SSB_1982" 2172.55 349.125 NA NA
"SSB_1983" "SSB_1983" 1681.46 316.315 NA NA
"SSB_1984" "SSB_1984" 1820.13 320.09 NA NA
"SSB_1985" "SSB_1985" 1829.92 316.875 NA NA
"SSB_1986" "SSB_1986" 1657.02 303.639 NA NA
"SSB_1987" "SSB_1987" 1574.26 282.101 NA NA
"SSB_1988" "SSB_1988" 1453.77 299.781 NA NA
"SSB_1989" "SSB_1989" 1447.29 316.963 NA NA
"SSB_1990" "SSB_1990" 1343.13 296.016 NA NA
"SSB_1991" "SSB_1991" 1402.02 305.689 NA NA
"SSB_1992" "SSB_1992" 1533.41 331.112 NA NA
"SSB_1993" "SSB_1993" 1794.06 371.825 NA NA
"SSB_1994" "SSB_1994" 1951.08 411.146 NA NA
"SSB_1995" "SSB_1995" 1692.33 380.953 NA NA
"SSB_1996" "SSB_1996" 1791.48 353.164 NA NA
"SSB_1997" "SSB_1997" 1873.15 352.855 NA NA
"SSB_1998" "SSB_1998" 2140.91 375.255 NA NA
"SSB_1999" "SSB_1999" 2346.83 401.538 NA NA
"SSB_2000" "SSB_2000" 2203.73 420.282 NA NA
"SSB_2001" "SSB_2001" 2451.8 439.985 NA NA
"SSB_2002" "SSB_2002" 2544.97 406.083 NA NA
"SSB_2003" "SSB_2003" 2161.73 345.965 NA NA
"SSB_2004" "SSB_2004" 1706.65 298.774 NA NA
"SSB_2005" "SSB_2005" 1356.4 273.277 NA NA
"SSB_2006" "SSB_2006" 1377.3 278.859 NA NA
"SSB_2007" "SSB_2007" 1524.35 303.328 NA NA
"SSB_2008" "SSB_2008" 1579.78 324.603 NA NA
"SSB_2009" "SSB_2009" 1561.42 328.967 NA NA
"SSB_2010" "SSB_2010" 1672.27 316.149 NA NA
"SSB_2011" "SSB_2011" 1604.48 285.886 NA NA
