Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14-CAAL-target-earlyF
Catch_like,0.803156,0.000614726,0.000497069,0.00164604,0.00105778,0.000157921,0.00020951,0.000261315,0.000206978,0.000212139,0.00213918,8.17778e-05,0.000756202,0.000359189,8.42637e-05,0.794872,0,14-CAAL-target-earlyF
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14-CAAL-target-earlyF
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14-CAAL-target-earlyF
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14-CAAL-target-earlyF
Surv_like,-28.3208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.3208,14-CAAL-target-earlyF
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,14-CAAL-target-earlyF
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14-CAAL-target-earlyF
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,14-CAAL-target-earlyF
Length_like,108.327,0,0,14.0349,0,6.39546,0,0,0,0,20.2035,40.3049,0,0,27.3877,0,0,14-CAAL-target-earlyF
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,14-CAAL-target-earlyF
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14-CAAL-target-earlyF
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,14-CAAL-target-earlyF
Age_like,0.144306,0,0,0,0,0,0,0,0,0.0499348,0.0605862,0,0.033785,0,0,0,0,14-CAAL-target-earlyF
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,14-CAAL-target-earlyF
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14-CAAL-target-earlyF
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,14-CAAL-target-earlyF
SizeFreq_like:_1,755.876,,85.6904,32.9362,,,333.35,186.671,,54.8796,54.7793,,,,,,7.56925,14-CAAL-target-earlyF
