id,Yr,SpawnBio,bias_adjusted,pred_recr
14-CAAL-target-earlyF,1942,11362.6,160.388,158.021
14-CAAL-target-earlyF,1943,11362.6,160.388,159.505
14-CAAL-target-earlyF,1944,11362.6,160.388,159.513
14-CAAL-target-earlyF,1945,11362.6,160.388,159.996
14-CAAL-target-earlyF,1946,11362.6,160.388,161.588
14-CAAL-target-earlyF,1947,11362.6,160.388,165.189
14-CAAL-target-earlyF,1948,11362.6,160.388,170.393
14-CAAL-target-earlyF,1949,11362.6,160.388,172.588
14-CAAL-target-earlyF,1950,11362.6,160.388,173.342
14-CAAL-target-earlyF,1951,11362.6,160.388,177.011
14-CAAL-target-earlyF,1952,11701.8,160.68,183.626
14-CAAL-target-earlyF,1953,11803.2,160.764,179.266
14-CAAL-target-earlyF,1954,10764.6,159.834,171.754
14-CAAL-target-earlyF,1955,5474.31,150.286,159.417
14-CAAL-target-earlyF,1956,4554.27,146.684,157.855
14-CAAL-target-earlyF,1957,4401.49,145.961,161.281
14-CAAL-target-earlyF,1958,4379.51,145.854,163.996
14-CAAL-target-earlyF,1959,3477.9,140.484,155.731
14-CAAL-target-earlyF,1960,3266.16,138.874,156.391
14-CAAL-target-earlyF,1961,3149.81,137.914,149.892
14-CAAL-target-earlyF,1962,2243.57,127.899,131.422
14-CAAL-target-earlyF,1963,1918.1,122.619,125.73
14-CAAL-target-earlyF,1964,1572.05,115.4,117.684
14-CAAL-target-earlyF,1965,1976.14,123.591,123.341
14-CAAL-target-earlyF,1966,2019.96,124.31,122.144
14-CAAL-target-earlyF,1967,1715.23,118.539,117.733
14-CAAL-target-earlyF,1968,2152.78,126.38,128.216
14-CAAL-target-earlyF,1969,2670.53,133.066,132.106
14-CAAL-target-earlyF,1970,3089.15,137.142,130.511
14-CAAL-target-earlyF,1971,2379.29,129.503,125.143
14-CAAL-target-earlyF,1972,1716.83,118.438,116.606
14-CAAL-target-earlyF,1973,1527.3,114.077,115.667
14-CAAL-target-earlyF,1974,1467.49,112.531,104.958
14-CAAL-target-earlyF,1975,1575.46,115.193,104.941
14-CAAL-target-earlyF,1976,1779.99,119.63,116.128
14-CAAL-target-earlyF,1977,1862.83,121.211,120.71
14-CAAL-target-earlyF,1978,2331.8,128.664,147.888
14-CAAL-target-earlyF,1979,2119.79,125.556,140.184
14-CAAL-target-earlyF,1980,2015.83,123.846,147.967
14-CAAL-target-earlyF,1981,2561.32,131.465,104.041
14-CAAL-target-earlyF,1982,2172.55,126.277,119.779
14-CAAL-target-earlyF,1983,1681.46,117.386,96.3408
14-CAAL-target-earlyF,1984,1820.13,120.204,97.1776
14-CAAL-target-earlyF,1985,1829.92,120.366,75.3162
14-CAAL-target-earlyF,1986,1657.02,116.771,100.151
14-CAAL-target-earlyF,1987,1574.26,114.851,163.62
14-CAAL-target-earlyF,1988,1453.77,111.814,113.693
14-CAAL-target-earlyF,1989,1447.29,111.618,98.4769
14-CAAL-target-earlyF,1990,1343.13,108.697,95.831
14-CAAL-target-earlyF,1991,1402.02,110.343,115.118
14-CAAL-target-earlyF,1992,1533.41,113.736,142.62
14-CAAL-target-earlyF,1993,1794.06,119.448,144.956
14-CAAL-target-earlyF,1994,1951.08,122.344,125.504
14-CAAL-target-earlyF,1995,1692.33,117.3,116.001
14-CAAL-target-earlyF,1996,1791.48,119.315,238.157
14-CAAL-target-earlyF,1997,1873.15,120.854,136.192
14-CAAL-target-earlyF,1998,2140.91,125.34,190.651
14-CAAL-target-earlyF,1999,2346.83,128.253,169.506
14-CAAL-target-earlyF,2000,2203.73,126.224,86.1918
14-CAAL-target-earlyF,2001,2451.8,129.548,178.536
14-CAAL-target-earlyF,2002,2544.97,130.647,112.37
14-CAAL-target-earlyF,2003,2161.73,125.514,123.659
14-CAAL-target-earlyF,2004,1706.65,117.365,119.573
14-CAAL-target-earlyF,2005,1356.4,108.71,94.1228
14-CAAL-target-earlyF,2006,1377.3,109.28,116.459
14-CAAL-target-earlyF,2007,1524.35,113.152,114.657
14-CAAL-target-earlyF,2008,1579.78,114.486,105.467
14-CAAL-target-earlyF,2009,1561.42,114.051,96.0692
14-CAAL-target-earlyF,2010,1672.27,116.575,93.6896
14-CAAL-target-earlyF,2011,1604.48,115.06,89.8519
14-CAAL-target-earlyF,2012,1308.05,107.265,82.8978
14-CAAL-target-earlyF,2013,1075.34,99.3789,98.6097
14-CAAL-target-earlyF,2014,1149.73,102.109,78.3524
14-CAAL-target-earlyF,2015,986.917,95.8309,81.3969
14-CAAL-target-earlyF,2016,883.655,91.2036,82.6287
14-CAAL-target-earlyF,2017,913.997,92.6226,80.6364
14-CAAL-target-earlyF,2018,1026.92,97.4798,66.9442
14-CAAL-target-earlyF,2019,1014.39,96.9712,92.565
14-CAAL-target-earlyF,2020,934.772,93.5648,129.786
14-CAAL-target-earlyF,2021,890.839,91.5443,98.0122
14-CAAL-target-earlyF,2022,1093.62,101.076,105.277
14-CAAL-target-earlyF,2023,1593.94,115.97,115.97
