id,Fleet,Time,Obs,Exp,sel_bio,sel_num,F,Like,Mult
16-CAAL-rm-spike,1,1952.37,0.002,0.00199999,0.144403,0.00199999,5.36511e-05,3.42862e-08,1
16-CAAL-rm-spike,1,1952.62,0.002,0.00199999,0.144332,0.00199999,5.34369e-05,3.40125e-08,1
16-CAAL-rm-spike,1,1953.12,0.068,0.0679998,4.89584,0.0679998,0.00180208,3.33609e-08,1
16-CAAL-rm-spike,1,1953.37,0.014,0.014,1.00747,0.014,0.000369599,3.33968e-08,1
16-CAAL-rm-spike,1,1953.62,0.023,0.0229999,1.6559,0.0229999,0.000604974,6.43435e-08,1
16-CAAL-rm-spike,1,1953.87,0.024,0.0239974,1.71506,0.0239974,0.000647632,4.97031e-05,1
16-CAAL-rm-spike,1,1954.12,0.175,0.174999,12.3515,0.174999,0.00482405,5.16637e-08,1
16-CAAL-rm-spike,1,1954.37,0.328,0.327999,23.1632,0.327999,0.00901483,3.71385e-08,1
16-CAAL-rm-spike,1,1954.62,0.257,0.256996,17.9751,0.256996,0.00727765,8.39912e-07,1
16-CAAL-rm-spike,1,1954.87,0.34,0.340098,22.3063,0.340098,0.0114029,0.000345379,1
16-CAAL-rm-spike,1,1955.12,0.216,0.215999,13.3144,0.215999,0.00800844,8.64254e-08,1
16-CAAL-rm-spike,1,1955.37,0.228,0.227999,14.1548,0.227999,0.00819004,6.63359e-08,1
16-CAAL-rm-spike,1,1955.62,0.184,0.183999,11.4231,0.183999,0.00661488,7.71493e-08,1
16-CAAL-rm-spike,1,1955.87,0.412,0.412004,25.0379,0.412004,0.0157904,4.60805e-07,1
16-CAAL-rm-spike,1,1956.12,0.14,0.139999,8.38577,0.139999,0.00547707,8.77093e-08,1
16-CAAL-rm-spike,1,1956.37,0.201,0.200999,12.2072,0.200999,0.00760976,7.61112e-08,1
16-CAAL-rm-spike,1,1956.62,0.112,0.111999,6.85638,0.111999,0.00420338,9.05561e-08,1
16-CAAL-rm-spike,1,1956.87,0.255,0.255002,15.415,0.255002,0.0100968,3.33948e-07,1
16-CAAL-rm-spike,1,1957.12,0.125,0.124999,7.46421,0.124999,0.00503916,8.15485e-08,1
16-CAAL-rm-spike,1,1957.37,0.098,0.0979996,5.92989,0.0979996,0.00381356,8.45679e-08,1
16-CAAL-rm-spike,1,1957.62,0.234,0.233999,14.2812,0.233999,0.00893511,1.45233e-07,1
16-CAAL-rm-spike,1,1957.87,0.645,0.645006,38.8849,0.645006,0.0257079,3.5472e-07,1
16-CAAL-rm-spike,1,1958.12,0.27,0.269999,16.0487,0.269999,0.0109288,7.84263e-08,1
16-CAAL-rm-spike,1,1958.37,0.241,0.240999,14.5024,0.240999,0.00940455,7.57973e-08,1
16-CAAL-rm-spike,1,1958.62,0.61,0.609997,36.8004,0.609997,0.0237077,7.90684e-08,1
16-CAAL-rm-spike,1,1958.87,1.446,1.44608,84.5425,1.44608,0.0615098,1.39278e-05,1
16-CAAL-rm-spike,1,1959.12,0.22,0.219999,12.5214,0.219999,0.0097147,9.73715e-08,1
16-CAAL-rm-spike,1,1959.37,0.264,0.263999,15.2487,0.263999,0.011141,1.15798e-07,1
16-CAAL-rm-spike,1,1959.62,0.534,0.533998,30.8488,0.533998,0.0225109,3.7907e-08,1
16-CAAL-rm-spike,1,1959.87,0.9,0.9,51.0958,0.9,0.039804,6.86773e-10,1
16-CAAL-rm-spike,1,1960.12,0.211,0.210999,11.928,0.210999,0.00927568,9.85289e-08,1
16-CAAL-rm-spike,1,1960.37,0.495,0.494998,28.5182,0.494998,0.0208475,9.88475e-08,1
16-CAAL-rm-spike,1,1960.62,0.654,0.654001,37.6132,0.654001,0.0280003,3.69924e-09,1
16-CAAL-rm-spike,1,1960.87,0.978,0.977997,55.1957,0.977997,0.0443219,3.2182e-08,1
16-CAAL-rm-spike,1,1961.12,0.589,0.588997,33.1393,0.588997,0.0265091,9.59326e-08,1
16-CAAL-rm-spike,1,1961.37,0.423,0.422998,24.2641,0.422998,0.018216,1.08191e-07,1
16-CAAL-rm-spike,1,1961.62,7.602,7.60204,432.953,7.60204,0.343846,1.06668e-07,1
16-CAAL-rm-spike,1,1961.87,0.933,0.933059,50.8607,0.933059,0.0479734,1.66322e-05,1
16-CAAL-rm-spike,1,1962.12,1.645,1.64499,88.0233,1.64499,0.0864334,1.3755e-07,1
16-CAAL-rm-spike,1,1962.37,0.47,0.469997,25.7403,0.469997,0.0234939,1.40445e-07,1
16-CAAL-rm-spike,1,1962.62,1.061,1.061,58.5199,1.061,0.0535095,1.75342e-08,1
16-CAAL-rm-spike,1,1962.87,1.322,1.32208,71.0636,1.32208,0.0735568,1.36571e-05,1
16-CAAL-rm-spike,1,1963.12,1.526,1.52599,81.1374,1.52599,0.0870317,1.54318e-07,1
16-CAAL-rm-spike,1,1963.37,0.767,0.766996,41.6554,0.766996,0.0424388,1.40972e-07,1
16-CAAL-rm-spike,1,1963.62,1.105,1.10499,60.5643,1.10499,0.0615592,1.36853e-07,1
16-CAAL-rm-spike,1,1963.87,1.758,1.75833,93.6146,1.75833,0.109323,0.000149689,1
16-CAAL-rm-spike,1,1964.12,0.843,0.842994,43.8062,0.842994,0.0547394,2.17684e-07,1
16-CAAL-rm-spike,1,1964.37,0.588,0.587996,31.2883,0.587996,0.0362542,1.86755e-07,1
16-CAAL-rm-spike,1,1964.62,0.4,0.399998,21.5556,0.399998,0.0242933,1.3727e-07,1
16-CAAL-rm-spike,1,1964.87,0.468,0.467998,25.2523,0.467998,0.029035,8.26691e-08,1
16-CAAL-rm-spike,1,1965.12,2.134,2.13399,115.811,2.13399,0.130908,1.76537e-07,1
16-CAAL-rm-spike,1,1965.37,1.537,1.53699,84.858,1.53699,0.0919375,1.65188e-07,1
16-CAAL-rm-spike,1,1965.62,0.718,0.717997,39.6858,0.717997,0.0435095,7.30957e-08,1
16-CAAL-rm-spike,1,1965.87,0.641,0.640999,34.9772,0.640999,0.0406682,8.89703e-09,1
16-CAAL-rm-spike,1,1966.12,0.623,0.622996,33.807,0.622996,0.039244,2.02169e-07,1
16-CAAL-rm-spike,1,1966.37,1.634,1.63399,89.5678,1.63399,0.100113,1.80539e-07,1
16-CAAL-rm-spike,1,1966.62,0.55,0.550003,29.8342,0.550003,0.0346648,1.49223e-07,1
16-CAAL-rm-spike,1,1966.87,0.582,0.582004,30.8624,0.582004,0.0386328,1.84482e-07,1
16-CAAL-rm-spike,1,1967.12,0.637,0.636995,33.6937,0.636995,0.0414873,2.07199e-07,1
16-CAAL-rm-spike,1,1967.37,0.479,0.478997,25.8523,0.478997,0.0298661,1.80691e-07,1
16-CAAL-rm-spike,1,1967.62,0.625,0.624996,33.9802,0.624996,0.0388373,1.49736e-07,1
16-CAAL-rm-spike,1,1967.87,0.399,0.398997,21.798,0.398997,0.0250117,1.94319e-07,1
16-CAAL-rm-spike,1,1968.12,1.094,1.09399,60.2678,1.09399,0.0669696,1.82342e-07,1
16-CAAL-rm-spike,1,1968.37,0.608,0.607996,33.9073,0.607996,0.0362716,1.64114e-07,1
16-CAAL-rm-spike,1,1968.62,0.194,0.193999,10.8686,0.193999,0.0114233,1.84205e-07,1
16-CAAL-rm-spike,1,1968.87,0.265,0.264998,14.9233,0.264998,0.0154157,2.07962e-07,1
16-CAAL-rm-spike,1,1969.12,0.721,0.720996,40.6233,0.720996,0.0410437,1.45231e-07,1
16-CAAL-rm-spike,1,1969.37,0.366,0.365998,20.7809,0.365998,0.0202299,1.47648e-07,1
16-CAAL-rm-spike,1,1969.62,0.151,0.150999,8.64811,0.150999,0.00810412,1.51728e-07,1
16-CAAL-rm-spike,1,1969.87,0.531,0.530997,30.5436,0.530997,0.0282641,1.70204e-07,1
16-CAAL-rm-spike,1,1970.12,1.161,1.16099,66.7065,1.16099,0.061183,1.31942e-07,1
16-CAAL-rm-spike,1,1970.37,0.53,0.529997,30.6509,0.529997,0.0274738,1.25383e-07,1
16-CAAL-rm-spike,1,1970.62,0.988,0.987996,56.9552,0.987996,0.0520902,7.56832e-08,1
16-CAAL-rm-spike,1,1970.87,1.946,1.94602,109.342,1.94602,0.11098,3.87885e-07,1
16-CAAL-rm-spike,1,1971.12,9.127,9.12695,495.614,9.12695,0.569143,1.41764e-07,1
16-CAAL-rm-spike,1,1971.37,0.616,0.615996,33.2229,0.615996,0.0392004,1.90194e-07,1
16-CAAL-rm-spike,1,1971.62,0.314,0.313999,16.9016,0.313999,0.0197639,3.8733e-08,1
16-CAAL-rm-spike,1,1971.87,0.503,0.503006,26.5951,0.503006,0.0327627,6.79135e-07,1
16-CAAL-rm-spike,1,1972.12,1.186,1.18599,61.1968,1.18599,0.0800986,1.52304e-07,1
16-CAAL-rm-spike,1,1972.37,0.299,0.298998,15.4708,0.298998,0.0199515,2.06084e-07,1
16-CAAL-rm-spike,1,1972.62,0.641,0.640996,33.6688,0.640996,0.0415718,1.84988e-07,1
16-CAAL-rm-spike,1,1972.87,0.166,0.166005,8.67746,0.166005,0.0111259,3.29378e-06,1
16-CAAL-rm-spike,1,1973.12,0.316,0.315998,16.2652,0.315998,0.0218615,1.71784e-07,1
16-CAAL-rm-spike,1,1973.37,0.432,0.431997,22.4462,0.431997,0.0293985,2.11346e-07,1
16-CAAL-rm-spike,1,1973.62,0.379,0.378997,20.0342,0.378997,0.0250048,2.01904e-07,1
16-CAAL-rm-spike,1,1973.87,0.384,0.384035,20.1386,0.384035,0.0264068,3.46798e-05,1
16-CAAL-rm-spike,1,1974.12,0.855,0.854994,43.8153,0.854994,0.0618017,1.81859e-07,1
16-CAAL-rm-spike,1,1974.37,0.888,0.887993,45.8902,0.887993,0.0634785,2.36964e-07,1
16-CAAL-rm-spike,1,1974.62,1.437,1.43699,75.4049,1.43699,0.10129,2.17855e-07,1
16-CAAL-rm-spike,1,1974.87,0.419,0.418998,22.1248,0.418998,0.030042,1.2235e-07,1
16-CAAL-rm-spike,1,1975.12,0.502,0.501996,26.4824,0.501996,0.0364705,2.06381e-07,1
16-CAAL-rm-spike,1,1975.37,0.64,0.639995,34.1482,0.639995,0.0461476,2.36842e-07,1
16-CAAL-rm-spike,1,1975.62,1.018,1.01799,55.1249,1.01799,0.0722462,2.32607e-07,1
16-CAAL-rm-spike,1,1975.87,0.391,0.390997,21.283,0.390997,0.0282904,2.20918e-07,1
16-CAAL-rm-spike,1,1976.12,0.666,0.665995,35.7914,0.665995,0.049543,2.09328e-07,1
16-CAAL-rm-spike,1,1976.37,0.667,0.666995,35.89,0.666995,0.0489594,2.5058e-07,1
16-CAAL-rm-spike,1,1976.62,1.149,1.14899,62.12,1.14899,0.0829381,2.29869e-07,1
16-CAAL-rm-spike,1,1976.87,0.676,0.675995,36.5485,0.675995,0.0490348,2.40912e-07,1
16-CAAL-rm-spike,1,1977.12,0.48,0.479996,25.9151,0.479996,0.0340222,2.23737e-07,1
16-CAAL-rm-spike,1,1977.37,0.417,0.416997,22.7147,0.416997,0.0283433,2.15033e-07,1
16-CAAL-rm-spike,1,1977.62,0.88,0.879994,48.4673,0.879994,0.0574151,1.95726e-07,1
16-CAAL-rm-spike,1,1977.87,0.434,0.433997,24.1003,0.433997,0.0276922,2.05929e-07,1
16-CAAL-rm-spike,1,1978.12,0.652,0.651996,36.0529,0.651996,0.0408737,1.77798e-07,1
16-CAAL-rm-spike,1,1978.37,0.324,0.323998,17.9371,0.323998,0.0198516,1.72003e-07,1
16-CAAL-rm-spike,1,1978.62,0.611,0.610996,33.7264,0.610996,0.0371686,1.60036e-07,1
16-CAAL-rm-spike,1,1978.87,0.851,0.850995,46.1993,0.850995,0.0538187,1.61188e-07,1
16-CAAL-rm-spike,1,1979.12,0.671,0.670996,35.6877,0.670996,0.0423993,1.68671e-07,1
16-CAAL-rm-spike,1,1979.37,0.343,0.342998,18.2432,0.342998,0.0208318,1.62884e-07,1
16-CAAL-rm-spike,1,1979.62,0.366,0.365998,19.4575,0.365998,0.0216372,1.47063e-07,1
16-CAAL-rm-spike,1,1979.87,1.246,1.24599,65.9309,1.24599,0.0737406,1.35282e-07,1
16-CAAL-rm-spike,1,1980.12,1.124,1.12399,59.3639,1.12399,0.0649807,1.42622e-07,1
16-CAAL-rm-spike,1,1980.37,0.65,0.649996,34.9043,0.649996,0.0357571,1.40661e-07,1
16-CAAL-rm-spike,1,1980.62,1.268,1.26799,69.0571,1.26799,0.0673664,1.26471e-07,1
16-CAAL-rm-spike,1,1980.87,1.017,1.01699,55.6362,1.01699,0.0537174,1.15921e-07,1
16-CAAL-rm-spike,1,1981.12,1.141,1.14099,62.3623,1.14099,0.0603639,1.14013e-07,1
16-CAAL-rm-spike,1,1981.37,0.67,0.669996,37.0329,0.669996,0.0354408,1.24679e-07,1
16-CAAL-rm-spike,1,1981.62,0.374,0.373998,20.8462,0.373998,0.020329,1.1898e-07,1
16-CAAL-rm-spike,1,1981.87,1.013,1.01299,56.2423,1.01299,0.0594407,1.25808e-07,1
16-CAAL-rm-spike,1,1982.12,0.389,0.388998,21.3866,0.388998,0.0243318,1.47196e-07,1
16-CAAL-rm-spike,1,1982.37,0.296,0.295998,16.353,0.295998,0.0189878,1.78639e-07,1
16-CAAL-rm-spike,1,1982.62,0.513,0.512997,28.2604,0.512997,0.0341038,1.68548e-07,1
16-CAAL-rm-spike,1,1982.87,0.204,0.203999,10.9809,0.203999,0.0144732,1.62497e-07,1
16-CAAL-rm-spike,1,1983.12,0.219,0.218998,11.531,0.218998,0.015921,1.97193e-07,1
16-CAAL-rm-spike,1,1983.37,0.071,0.0709995,3.76551,0.0709995,0.00504412,2.29786e-07,1
16-CAAL-rm-spike,1,1983.62,0.156,0.155999,8.38689,0.155999,0.0108694,2.04549e-07,1
16-CAAL-rm-spike,1,1983.87,0.768,0.767995,41.7278,0.767995,0.0540777,2.06072e-07,1
16-CAAL-rm-spike,1,1984.12,0.877,0.876994,47.9809,0.876994,0.0624074,2.04415e-07,1
16-CAAL-rm-spike,1,1984.37,0.654,0.653995,36.1947,0.653995,0.0469398,2.2331e-07,1
16-CAAL-rm-spike,1,1984.62,0.263,0.262998,14.5512,0.262998,0.0195271,2.12507e-07,1
16-CAAL-rm-spike,1,1984.87,0.66,0.659995,36.4397,0.659995,0.0505137,2.53055e-07,1
