id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,150,0.2619736733,0.0721895,0.1897841733,290.83714,235.0157,23.50157
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,155,0.1016467435,0.12985125,-0.0282045065,321.47324,246.6102,24.66102
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,160,0.4021734015,0.2577748,0.1443986015,342.71274,279.0613,27.90613
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,165,0.6382521629,0.4968048,0.1414473629,366.56194,285.37399,28.537399
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,170,1.1300885506,1.0367768,0.0933117505999999,386.21678,291.19186,29.119186
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,175,1.0708283504,1.5365552,-0.4657268496,394.71873,293.554,29.3554
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,180,2.0293335107,2.8752092,-0.8458756893,415.38925,306.64002,30.664002
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,185,2.6420956001,3.145842,-0.5037463999,421.97336,309.90665,30.990665
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,190,3.2405472002,3.541438,-0.3008907998,424.38198,313.42835,31.342835
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,195,2.8063412403,3.012267,-0.2059257597,424.38198,313.42835,31.342835
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,200,2.3776542108,2.754457,-0.3768027892,424.38198,313.42835,31.342835
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,205,1.6340529807,1.9694222,-0.3353692193,418.55105,307.85817,30.785817
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,120,0.0215308525,0.000430918,0.0210999345,125.4147,114.13841,11.413841
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,125,0.0374469832,0.000652087,0.0367948962,141.0275,121.59494,12.159494
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,130,0.0004986438,0.0009352,-0.0004365562,141.0275,121.59494,12.159494
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,135,0.0077949227,0.001952031,0.0058428917,141.0275,121.59494,12.159494
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,140,0.0778866021,0.005879808,0.0720067941,160.1324,127.41939,12.741939
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,145,0.1213681231,0.02170379,0.0996643331,182.28631,146.52692,14.652692
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,210,1.7057103708,1.1806008,0.5251095708,375.79915,281.00757,28.100757
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,215,1.1277379622,0.5961809,0.5315570622,337.41825,267.92269,26.792269
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,220,0.8523702404,0.2769272,0.5754430404,299.21909,229.50192,22.950192
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,225,0.229254363,0.06120868,0.168045683,210.72741,163.74584,16.374584
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,230,0.1896826004,0.0167097,0.1729729004,151.5764,134.71558,13.471558
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,235,0.1025047606,0.004439229,0.0980655316,98.7698,109.73118,10.973118
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,240,0.0590636904,0.001053196,0.0580104944,79.6649,103.90673,10.390673
16-CAAL-rm-spike,3,F03_LL.JP.3,yes,LEN,1,245,0.0074715704,0.000306352,0.0071652184,64.0521,96.4502,9.64502
