id,Fleet,Fleet_name,Time,Obs,Exp,SE,Dev,Use
16-CAAL-rm-spike,16,S01_INDEX.1-4,1979.83,1.86281,1.30484,0.333202,0.356005,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1980.83,1.31391,1.57361,0.33254,-0.180366,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1981.83,1.2559,1.46388,0.332625,-0.153239,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1982.83,1.50646,1.12717,0.326376,0.290048,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1983.83,0.922278,1.11763,0.330303,-0.192122,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1984.83,1.32673,1.09374,0.323343,0.193114,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1985.83,0.877509,1.04212,0.321945,-0.17193,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1986.83,0.855618,0.987265,0.335276,-0.143115,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1987.83,0.835362,0.913636,0.345836,-0.0895675,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1988.83,0.736157,0.873275,0.35762,-0.170807,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1989.83,1.65752,0.848906,0.320639,0.66913,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1990.83,1.13159,0.893256,0.336645,0.236506,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1991.83,1.02708,0.939541,0.345696,0.0890834,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1992.83,0.558306,1.10049,0.384414,-0.678608,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1993.83,0.81207,1.1466,0.34892,-0.34497,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1994.83,1.12053,1.04016,0.341153,0.0744227,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1995.83,1.11373,1.0525,0.358465,0.0565509,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1996.83,1.1907,1.09416,0.34189,0.0845521,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1997.83,1.31626,1.2349,0.348221,0.0638045,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1998.83,1.99334,1.40235,0.32869,,-1
16-CAAL-rm-spike,16,S01_INDEX.1-4,1999.83,1.18608,1.34447,0.36947,-0.125346,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2000.83,0.788006,1.50914,0.384061,-0.649792,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2001.83,0.727835,1.57942,0.380242,-0.774736,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2002.83,0.803887,1.40022,0.361598,-0.554923,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2003.83,1.3191,1.07748,0.345035,0.202321,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2004.83,1.26325,0.881318,0.348968,0.360025,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2005.83,1.04284,0.863711,0.364489,0.188465,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2006.83,0.740614,0.92477,0.374613,-0.222065,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2007.83,0.829133,1.00863,0.363606,-0.195964,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2008.83,1.047,0.972302,0.36146,0.0740178,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2009.83,0.645173,1.03435,0.380014,-0.472007,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2010.83,0.790723,1.00472,0.376337,-0.239517,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2011.83,0.722675,0.83736,0.38025,-0.147295,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2012.83,0.69595,0.683581,0.384556,0.0179325,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2013.83,0.717588,0.693782,0.38891,0.0337377,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2014.83,0.790042,0.639017,0.384902,0.212155,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2015.83,0.78514,0.567293,0.386274,0.324986,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2016.83,0.687733,0.561757,0.380715,0.202331,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2017.83,0.591417,0.617446,0.367136,-0.0430697,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2018.83,0.724244,0.663045,0.376776,0.0882862,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2019.83,0.794833,0.590731,0.361991,0.296772,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2020.83,0.742562,0.550864,0.372401,0.298619,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2021.83,1.23811,0.641548,0.357539,0.657457,1
16-CAAL-rm-spike,16,S01_INDEX.1-4,2022.83,0.912191,0.927525,0.383859,-0.0166702,1
