Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16-CAAL-rm-spike
Catch_like,0.797104,0.000688338,0.000458112,0.00174817,0.00106939,0.000161475,0.000210496,0.000265087,0.000210242,0.00021768,0.00215054,9.27552e-05,0.00077481,0.000375897,8.39945e-05,0.788597,0,16-CAAL-rm-spike
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16-CAAL-rm-spike
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16-CAAL-rm-spike
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16-CAAL-rm-spike
Surv_like,-27.6842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.6842,16-CAAL-rm-spike
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,16-CAAL-rm-spike
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16-CAAL-rm-spike
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,16-CAAL-rm-spike
Length_like,107.972,0,0,14.0419,0,6.38952,0,0,0,0,20.1585,39.9922,0,0,27.3899,0,0,16-CAAL-rm-spike
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,16-CAAL-rm-spike
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16-CAAL-rm-spike
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,16-CAAL-rm-spike
Age_like,0.108861,0,0,0,0,0,0,0,0,0.0344716,0.0481448,0,0.0262449,0,0,0,0,16-CAAL-rm-spike
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,16-CAAL-rm-spike
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16-CAAL-rm-spike
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,16-CAAL-rm-spike
SizeFreq_like:_1,755.946,,85.6812,32.9817,,,333.146,186.809,,54.9244,54.8406,,,,,,7.56188,16-CAAL-rm-spike
