id,Yr,SpawnBio,bias_adjusted,pred_recr
16-CAAL-rm-spike,1942,11396.3,160.855,158.338
16-CAAL-rm-spike,1943,11396.3,160.855,159.911
16-CAAL-rm-spike,1944,11396.3,160.855,159.906
16-CAAL-rm-spike,1945,11396.3,160.855,160.384
16-CAAL-rm-spike,1946,11396.3,160.855,161.99
16-CAAL-rm-spike,1947,11396.3,160.855,165.634
16-CAAL-rm-spike,1948,11396.3,160.855,170.884
16-CAAL-rm-spike,1949,11396.3,160.855,173.061
16-CAAL-rm-spike,1950,11396.3,160.855,173.784
16-CAAL-rm-spike,1951,11396.3,160.855,177.404
16-CAAL-rm-spike,1952,11731.9,161.144,183.938
16-CAAL-rm-spike,1953,11833.7,161.228,179.584
16-CAAL-rm-spike,1954,10828.8,160.33,172.129
16-CAAL-rm-spike,1955,5506.77,150.777,159.82
16-CAAL-rm-spike,1956,4577.2,147.154,158.249
16-CAAL-rm-spike,1957,4420.7,146.416,161.666
16-CAAL-rm-spike,1958,4397.22,146.302,164.379
16-CAAL-rm-spike,1959,3492.12,140.921,156.124
16-CAAL-rm-spike,1960,3279.14,139.304,156.725
16-CAAL-rm-spike,1961,3161.65,138.337,150.173
16-CAAL-rm-spike,1962,2249.4,128.26,131.672
16-CAAL-rm-spike,1963,1925.29,123.003,126.025
16-CAAL-rm-spike,1964,1577.83,115.763,117.948
16-CAAL-rm-spike,1965,1983.21,123.972,123.616
16-CAAL-rm-spike,1966,2026.14,124.675,122.405
16-CAAL-rm-spike,1967,1721.61,118.911,118.035
16-CAAL-rm-spike,1968,2159.32,126.75,128.485
16-CAAL-rm-spike,1969,2677.78,133.446,132.328
16-CAAL-rm-spike,1970,3097.45,137.534,130.689
16-CAAL-rm-spike,1971,2384.33,129.853,125.315
16-CAAL-rm-spike,1972,1718.2,118.704,116.76
16-CAAL-rm-spike,1973,1530.38,114.374,115.804
16-CAAL-rm-spike,1974,1471.21,112.842,105.057
16-CAAL-rm-spike,1975,1577.2,115.459,105.083
16-CAAL-rm-spike,1976,1777.25,119.817,116.29
16-CAAL-rm-spike,1977,1859.64,121.4,120.936
16-CAAL-rm-spike,1978,2329.69,128.916,148.293
16-CAAL-rm-spike,1979,2116.07,125.765,140.555
16-CAAL-rm-spike,1980,2012.54,124.051,148.159
16-CAAL-rm-spike,1981,2561.76,131.764,104.287
16-CAAL-rm-spike,1982,2172.98,126.555,119.875
16-CAAL-rm-spike,1983,1683.55,117.665,96.4652
16-CAAL-rm-spike,1984,1822.18,120.489,97.4011
16-CAAL-rm-spike,1985,1829.92,120.611,75.7239
16-CAAL-rm-spike,1986,1656.75,116.997,100.398
16-CAAL-rm-spike,1987,1575.69,115.108,163.728
16-CAAL-rm-spike,1988,1457.28,112.119,113.967
16-CAAL-rm-spike,1989,1446.28,111.802,98.558
16-CAAL-rm-spike,1990,1341.69,108.854,96.1072
16-CAAL-rm-spike,1991,1402.14,110.553,115.248
16-CAAL-rm-spike,1992,1533.7,113.963,142.516
16-CAAL-rm-spike,1993,1792.94,119.668,144.933
16-CAAL-rm-spike,1994,1946.66,122.52,124.736
16-CAAL-rm-spike,1995,1683.32,117.34,114.584
16-CAAL-rm-spike,1996,1778.27,119.294,235.551
16-CAAL-rm-spike,1997,1848.8,120.644,137.024
16-CAAL-rm-spike,1998,2093.55,124.868,190.754
16-CAAL-rm-spike,1999,2282.94,127.659,169.797
16-CAAL-rm-spike,2000,2150.73,125.701,86.4033
16-CAAL-rm-spike,2001,2412.71,129.338,179.168
16-CAAL-rm-spike,2002,2518.53,130.623,112.727
16-CAAL-rm-spike,2003,2141.11,125.468,123.828
16-CAAL-rm-spike,2004,1699.98,117.458,119.859
16-CAAL-rm-spike,2005,1351.61,108.773,94.299
16-CAAL-rm-spike,2006,1373.65,109.379,116.597
16-CAAL-rm-spike,2007,1521.78,113.307,115.099
16-CAAL-rm-spike,2008,1577.51,114.655,105.749
16-CAAL-rm-spike,2009,1558.74,114.208,96.2332
16-CAAL-rm-spike,2010,1668.9,116.733,93.8769
16-CAAL-rm-spike,2011,1602.44,115.238,89.9546
16-CAAL-rm-spike,2012,1306.3,107.407,83.2436
16-CAAL-rm-spike,2013,1072.57,99.44,98.312
16-CAAL-rm-spike,2014,1147.93,102.222,78.2207
16-CAAL-rm-spike,2015,980.225,95.7023,81.718
16-CAAL-rm-spike,2016,874.808,90.9192,82.31
16-CAAL-rm-spike,2017,905.561,92.3772,80.6192
16-CAAL-rm-spike,2018,1019.79,97.3514,67.0772
16-CAAL-rm-spike,2019,1002.26,96.6297,92.091
16-CAAL-rm-spike,2020,924.853,93.2646,130.328
16-CAAL-rm-spike,2021,881.882,91.2594,98.0196
16-CAAL-rm-spike,2022,1081.54,100.786,104.943
16-CAAL-rm-spike,2023,1584.99,115.986,115.986
