id,type,yr,Value,StdDev
17-CAAL-noAU-ASPM,ssb,1952,12236.5,1047.77
17-CAAL-noAU-ASPM,ssb,1953,12323.9,1038.83
17-CAAL-noAU-ASPM,ssb,1954,11269.8,1027.89
17-CAAL-noAU-ASPM,ssb,1955,5609.06,1094.67
17-CAAL-noAU-ASPM,ssb,1956,4655.22,948.83
17-CAAL-noAU-ASPM,ssb,1957,4495.97,866.231
17-CAAL-noAU-ASPM,ssb,1958,4464.12,833.107
17-CAAL-noAU-ASPM,ssb,1959,3502.53,768.592
17-CAAL-noAU-ASPM,ssb,1960,3286.34,729.125
17-CAAL-noAU-ASPM,ssb,1961,3164.02,699.75
17-CAAL-noAU-ASPM,ssb,1962,2183.28,610.267
17-CAAL-noAU-ASPM,ssb,1963,1838.34,526.585
17-CAAL-noAU-ASPM,ssb,1964,1460.11,464.36
17-CAAL-noAU-ASPM,ssb,1965,1853.72,515.876
17-CAAL-noAU-ASPM,ssb,1966,1864.18,556.387
17-CAAL-noAU-ASPM,ssb,1967,1543.71,562.049
17-CAAL-noAU-ASPM,ssb,1968,2005.63,600.051
17-CAAL-noAU-ASPM,ssb,1969,2523.57,660.967
17-CAAL-noAU-ASPM,ssb,1970,2945.95,697.964
17-CAAL-noAU-ASPM,ssb,1971,2238.12,595.241
17-CAAL-noAU-ASPM,ssb,1972,1580.67,454.499
17-CAAL-noAU-ASPM,ssb,1973,1397.41,373.925
17-CAAL-noAU-ASPM,ssb,1974,1301.83,357.278
17-CAAL-noAU-ASPM,ssb,1975,1380.02,370.905
17-CAAL-noAU-ASPM,ssb,1976,1571.42,386.118
17-CAAL-noAU-ASPM,ssb,1977,1650.83,393.378
17-CAAL-noAU-ASPM,ssb,1978,2130.12,407.344
17-CAAL-noAU-ASPM,ssb,1979,1901.07,357.729
17-CAAL-noAU-ASPM,ssb,1980,1805.03,336.792
17-CAAL-noAU-ASPM,ssb,1981,2333.08,343.222
17-CAAL-noAU-ASPM,ssb,1982,1960.69,290.464
17-CAAL-noAU-ASPM,ssb,1983,1497.03,267.698
17-CAAL-noAU-ASPM,ssb,1984,1642.87,266.05
17-CAAL-noAU-ASPM,ssb,1985,1613.81,272.374
17-CAAL-noAU-ASPM,ssb,1986,1473.55,252.365
17-CAAL-noAU-ASPM,ssb,1987,1426.93,236.475
17-CAAL-noAU-ASPM,ssb,1988,1306.61,248.035
17-CAAL-noAU-ASPM,ssb,1989,1345.56,251.064
17-CAAL-noAU-ASPM,ssb,1990,1193.16,250.31
17-CAAL-noAU-ASPM,ssb,1991,1259.63,256.242
17-CAAL-noAU-ASPM,ssb,1992,1381.23,281.947
17-CAAL-noAU-ASPM,ssb,1993,1636.57,322.626
17-CAAL-noAU-ASPM,ssb,1994,1831.23,353.982
17-CAAL-noAU-ASPM,ssb,1995,1606.26,333.135
17-CAAL-noAU-ASPM,ssb,1996,1745.4,341.498
17-CAAL-noAU-ASPM,ssb,1997,2069.5,400.112
17-CAAL-noAU-ASPM,ssb,1998,2549.38,427.259
17-CAAL-noAU-ASPM,ssb,1999,2268.22,402.072
17-CAAL-noAU-ASPM,ssb,2000,1872.45,348.634
17-CAAL-noAU-ASPM,ssb,2001,1685.93,319.021
17-CAAL-noAU-ASPM,ssb,2002,1650.43,333.785
17-CAAL-noAU-ASPM,ssb,2003,1789.77,319.252
17-CAAL-noAU-ASPM,ssb,2004,1570.99,288.367
17-CAAL-noAU-ASPM,ssb,2005,1326.4,251.622
17-CAAL-noAU-ASPM,ssb,2006,1254.37,244.803
17-CAAL-noAU-ASPM,ssb,2007,1324.88,260.204
17-CAAL-noAU-ASPM,ssb,2008,1422.11,269.869
17-CAAL-noAU-ASPM,ssb,2009,1349.84,271.223
17-CAAL-noAU-ASPM,ssb,2010,1356.33,258.964
17-CAAL-noAU-ASPM,ssb,2011,1300.58,235.273
17-CAAL-noAU-ASPM,ssb,2012,1122.8,206.498
17-CAAL-noAU-ASPM,ssb,2013,970.512,186.799
17-CAAL-noAU-ASPM,ssb,2014,1086.7,190.962
17-CAAL-noAU-ASPM,ssb,2015,934.606,174.193
17-CAAL-noAU-ASPM,ssb,2016,829.001,165.239
17-CAAL-noAU-ASPM,ssb,2017,892.214,172.014
17-CAAL-noAU-ASPM,ssb,2018,958.869,191.905
17-CAAL-noAU-ASPM,ssb,2019,940.687,194.595
17-CAAL-noAU-ASPM,ssb,2020,935.759,206.512
17-CAAL-noAU-ASPM,ssb,2021,945.532,233.227
17-CAAL-noAU-ASPM,ssb,2022,1101.27,314.621
