id,sex,age,m,len,len_sd,wt,mat,mat_fec,sr
18-CAAL-cUnc-cv40,1,0,0.707867,77.8496,9.9314,3.48244,9.3875e-09,0,
18-CAAL-cUnc-cv40,1,1,0.4718,130.47,10.3507,21.2018,0.000354364,0.0126783,
18-CAAL-cUnc-cv40,1,2,0.4007,163.587,10.6146,47.2426,0.102148,6.39767,
18-CAAL-cUnc-cv40,1,3,0.3766,184.429,10.7807,72.3453,0.591909,47.2863,
18-CAAL-cUnc-cv40,1,4,0.3669,197.547,10.8852,92.3833,0.877317,83.668,
18-CAAL-cUnc-cv40,1,5,0.3629,205.802,10.951,106.882,0.957596,103.579,
18-CAAL-cUnc-cv40,1,6,0.3612,210.998,10.9924,116.809,0.98048,115.192,
18-CAAL-cUnc-cv40,1,7,0.3605,214.268,11.0185,123.388,0.988448,122.391,
18-CAAL-cUnc-cv40,1,8,0.3602,216.326,11.0349,127.664,0.9918,126.937,
18-CAAL-cUnc-cv40,1,9,0.36,217.621,11.0452,130.409,0.993421,129.815,
18-CAAL-cUnc-cv40,1,10,0.36,218.871,11.0517,133.098,0.994703,132.612,
18-CAAL-cUnc-cv40,1,0.25,0.64885,93.369,10.0551,6.54506,2.1103e-07,0,
18-CAAL-cUnc-cv40,1,1.25,0.454025,140.237,10.4286,27.3675,0.00235893,0.0126783,
18-CAAL-cUnc-cv40,1,2.25,0.394675,169.734,10.6636,53.855,0.203468,6.39767,
18-CAAL-cUnc-cv40,1,3.25,0.374175,188.298,10.8115,77.8902,0.694911,47.2863,
18-CAAL-cUnc-cv40,1,4.25,0.3659,199.981,10.9046,96.5015,0.908191,83.668,
18-CAAL-cUnc-cv40,1,5.25,0.362475,207.334,10.9632,109.744,0.965999,103.579,
18-CAAL-cUnc-cv40,1,6.25,0.361025,211.962,11.0001,118.723,0.983233,115.192,
18-CAAL-cUnc-cv40,1,7.25,0.360425,214.875,11.0233,124.638,0.989549,122.391,
18-CAAL-cUnc-cv40,1,8.25,0.36015,216.708,11.0379,128.469,0.992313,126.937,
18-CAAL-cUnc-cv40,1,9.25,0.36,217.861,11.0471,130.923,0.993687,129.815,
18-CAAL-cUnc-cv40,1,10.25,0.36,218.975,11.0517,133.323,0.994799,132.612,
18-CAAL-cUnc-cv40,1,0.5,0.589834,107.192,10.1652,10.6113,3.37686e-06,0,
18-CAAL-cUnc-cv40,1,1.5,0.43625,148.937,10.4979,33.8691,0.0114212,0.0126783,
18-CAAL-cUnc-cv40,1,2.5,0.38865,175.209,10.7072,60.2862,0.332234,6.39767,
18-CAAL-cUnc-cv40,1,3.5,0.37175,191.744,10.839,83.0819,0.774831,47.2863,
18-CAAL-cUnc-cv40,1,4.5,0.3649,202.15,10.9219,100.28,0.930267,83.668,
18-CAAL-cUnc-cv40,1,5.5,0.36205,208.699,10.9741,112.339,0.972231,103.579,
18-CAAL-cUnc-cv40,1,6.5,0.36085,212.821,11.007,120.446,0.985385,115.192,
18-CAAL-cUnc-cv40,1,7.5,0.36035,215.415,11.0276,125.759,0.990447,122.391,
18-CAAL-cUnc-cv40,1,8.5,0.3601,217.048,11.0406,129.189,0.992745,126.937,
18-CAAL-cUnc-cv40,1,9.5,0.36,218.075,11.0488,131.382,0.993915,129.815,
18-CAAL-cUnc-cv40,1,10.5,0.36,219.067,11.0517,133.523,0.994883,132.612,
18-CAAL-cUnc-cv40,1,0.75,0.530817,119.504,10.2633,15.5542,3.98463e-05,0,
18-CAAL-cUnc-cv40,1,1.75,0.418475,156.685,10.5596,40.5416,0.0397657,0.0126783,
18-CAAL-cUnc-cv40,1,2.75,0.382625,180.086,10.7461,66.4663,0.467772,6.39767,
18-CAAL-cUnc-cv40,1,3.75,0.369325,194.813,10.8635,87.9126,0.834239,47.2863,
18-CAAL-cUnc-cv40,1,4.75,0.3639,204.082,10.9373,103.734,0.946118,83.668,
18-CAAL-cUnc-cv40,1,5.75,0.361625,209.915,10.9838,114.688,0.976913,103.579,
18-CAAL-cUnc-cv40,1,6.75,0.360675,213.586,11.0131,121.996,0.987087,115.192,
18-CAAL-cUnc-cv40,1,7.75,0.360275,215.897,11.0315,126.764,0.991187,122.391,
18-CAAL-cUnc-cv40,1,8.75,0.36005,217.351,11.0431,129.833,0.99311,126.937,
18-CAAL-cUnc-cv40,1,9.75,0.36,218.266,11.0503,131.792,0.994112,129.815,
18-CAAL-cUnc-cv40,1,10.75,0.36,219.15,11.0517,133.702,0.994957,132.612,
