id,type,yr,Value,StdDev
18-CAAL-cUnc-cv40,f,1952,0.0162273,0.00229441
18-CAAL-cUnc-cv40,f,1953,0.1792,0.0714524
18-CAAL-cUnc-cv40,f,1954,1.00191,0.342931
18-CAAL-cUnc-cv40,f,1955,0.695727,0.217022
18-CAAL-cUnc-cv40,f,1956,0.594726,0.189661
18-CAAL-cUnc-cv40,f,1957,0.550089,0.194872
18-CAAL-cUnc-cv40,f,1958,0.960518,0.319249
18-CAAL-cUnc-cv40,f,1959,0.873631,0.295115
18-CAAL-cUnc-cv40,f,1960,0.930086,0.320291
18-CAAL-cUnc-cv40,f,1961,1.48985,0.502734
18-CAAL-cUnc-cv40,f,1962,1.41896,0.481012
18-CAAL-cUnc-cv40,f,1963,1.64685,0.543846
18-CAAL-cUnc-cv40,f,1964,0.948522,0.300819
18-CAAL-cUnc-cv40,f,1965,1.1075,0.341287
18-CAAL-cUnc-cv40,f,1966,1.41544,0.484589
18-CAAL-cUnc-cv40,f,1967,0.762071,0.231924
18-CAAL-cUnc-cv40,f,1968,0.587154,0.157822
18-CAAL-cUnc-cv40,f,1969,0.550927,0.140757
18-CAAL-cUnc-cv40,f,1970,1.25654,0.326894
18-CAAL-cUnc-cv40,f,1971,1.77215,0.47769
18-CAAL-cUnc-cv40,f,1972,1.92356,0.560306
18-CAAL-cUnc-cv40,f,1973,1.93182,0.592915
18-CAAL-cUnc-cv40,f,1974,1.66094,0.485715
18-CAAL-cUnc-cv40,f,1975,1.22782,0.314569
18-CAAL-cUnc-cv40,f,1976,1.14919,0.277897
18-CAAL-cUnc-cv40,f,1977,0.591172,0.126099
18-CAAL-cUnc-cv40,f,1978,1.11293,0.196314
18-CAAL-cUnc-cv40,f,1979,1.16994,0.219116
18-CAAL-cUnc-cv40,f,1980,0.79927,0.137121
18-CAAL-cUnc-cv40,f,1981,1.49699,0.230164
18-CAAL-cUnc-cv40,f,1982,1.91065,0.348677
18-CAAL-cUnc-cv40,f,1983,1.25112,0.247646
18-CAAL-cUnc-cv40,f,1984,1.30223,0.23886
18-CAAL-cUnc-cv40,f,1985,1.2553,0.222477
18-CAAL-cUnc-cv40,f,1986,1.17751,0.210855
18-CAAL-cUnc-cv40,f,1987,1.15109,0.222706
18-CAAL-cUnc-cv40,f,1988,1.50267,0.315512
18-CAAL-cUnc-cv40,f,1989,2.32449,0.498776
18-CAAL-cUnc-cv40,f,1990,1.61452,0.346474
18-CAAL-cUnc-cv40,f,1991,1.2404,0.264645
18-CAAL-cUnc-cv40,f,1992,0.916597,0.178714
18-CAAL-cUnc-cv40,f,1993,1.14117,0.242904
18-CAAL-cUnc-cv40,f,1994,1.85251,0.389064
18-CAAL-cUnc-cv40,f,1995,1.71135,0.384183
18-CAAL-cUnc-cv40,f,1996,1.47487,0.297696
18-CAAL-cUnc-cv40,f,1997,1.30848,0.245125
18-CAAL-cUnc-cv40,f,1998,1.7927,0.314805
18-CAAL-cUnc-cv40,f,1999,1.54528,0.266251
18-CAAL-cUnc-cv40,f,2000,1.24208,0.213562
18-CAAL-cUnc-cv40,f,2001,1.08031,0.157262
18-CAAL-cUnc-cv40,f,2002,1.16603,0.15456
18-CAAL-cUnc-cv40,f,2003,1.79679,0.255669
18-CAAL-cUnc-cv40,f,2004,1.7779,0.285325
18-CAAL-cUnc-cv40,f,2005,1.62005,0.2957
18-CAAL-cUnc-cv40,f,2006,1.34846,0.247736
18-CAAL-cUnc-cv40,f,2007,1.19982,0.219436
18-CAAL-cUnc-cv40,f,2008,1.37628,0.254303
18-CAAL-cUnc-cv40,f,2009,1.20755,0.202188
18-CAAL-cUnc-cv40,f,2010,1.22966,0.192675
18-CAAL-cUnc-cv40,f,2011,1.52819,0.235651
18-CAAL-cUnc-cv40,f,2012,1.71096,0.274902
18-CAAL-cUnc-cv40,f,2013,1.35921,0.226764
18-CAAL-cUnc-cv40,f,2014,1.68302,0.240545
18-CAAL-cUnc-cv40,f,2015,1.83488,0.302628
18-CAAL-cUnc-cv40,f,2016,1.67371,0.323428
18-CAAL-cUnc-cv40,f,2017,1.338,0.240567
18-CAAL-cUnc-cv40,f,2018,1.49424,0.257139
18-CAAL-cUnc-cv40,f,2019,1.47535,0.27898
18-CAAL-cUnc-cv40,f,2020,1.41227,0.31319
18-CAAL-cUnc-cv40,f,2021,1.50239,0.41018
18-CAAL-cUnc-cv40,f,2022,1.00109,0.297576
