id,Label,values,lambdas
18-CAAL-cUnc-cv40,TOTAL,835.58,
18-CAAL-cUnc-cv40,Catch,1.3891,
18-CAAL-cUnc-cv40,Equil_catch,0,
18-CAAL-cUnc-cv40,Survey,-28.5947,
18-CAAL-cUnc-cv40,Length_comp,107.699,
18-CAAL-cUnc-cv40,Age_comp,0.107909,
18-CAAL-cUnc-cv40,SizeFreq,754.594,
18-CAAL-cUnc-cv40,Recruitment,0.337552,1
18-CAAL-cUnc-cv40,InitEQ_Regime,0,1
18-CAAL-cUnc-cv40,Forecast_Recruitment,0.02051,1
18-CAAL-cUnc-cv40,Parm_priors,0,1
18-CAAL-cUnc-cv40,Parm_softbounds,0.0275805,
18-CAAL-cUnc-cv40,Parm_devs,0,1
18-CAAL-cUnc-cv40,Crash_Pen,0,1
