Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19-CAAL-1979
Catch_like,9.52204e-06,3.38646e-07,6.18685e-07,5.84384e-07,8.46736e-08,4.08831e-07,6.31752e-07,5.34143e-07,4.14922e-07,1.91437e-07,3.92853e-06,3.38646e-07,6.51293e-07,3.68251e-07,4.27851e-07,0,19-CAAL-1979
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19-CAAL-1979
Init_equ_like,0.00692108,0,0.00692108,0,0,0,0,0,0,0,0,0,0,0,0,0,19-CAAL-1979
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19-CAAL-1979
Surv_like,-20.7767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.7767,19-CAAL-1979
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,19-CAAL-1979
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19-CAAL-1979
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,19-CAAL-1979
Length_like,108.469,0,0,14.5981,0,6.2881,0,0,0,0,21.0125,38.9854,0,0,27.585,0,19-CAAL-1979
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,19-CAAL-1979
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19-CAAL-1979
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,19-CAAL-1979
Age_like,0.112292,0,0,0,0,0,0,0,0,0.0370632,0.0520258,0,0.0232028,0,0,0,19-CAAL-1979
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,19-CAAL-1979
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19-CAAL-1979
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,1,19-CAAL-1979
SizeFreq_like:_1,723.495,,91.203,34.4079,,,337.98,185.419,,54.7548,15.0581,,,,,4.67273,19-CAAL-1979
