id,time,era,n,n_mature,n_pup_produced
19-CAAL-1979,1977,VIRG,2028.1492,466.177684720747,42455.214159832
19-CAAL-1979,1977.25,VIRG,1781.4127,425.248871689229,38740.082269274
19-CAAL-1979,1977.5,VIRG,1576.7625,388.023477492606,35358.3787655672
19-CAAL-1979,1977.75,VIRG,1405.5491,354.156111102005,32279.4033296306
19-CAAL-1979,1978,INIT,1926.4463,393.677234372221,35265.324527945
19-CAAL-1979,1978.25,INIT,1682.805,354.443904559505,31748.3031727964
19-CAAL-1979,1978.5,INIT,1480.7277,319.056975904242,28577.0652850044
19-CAAL-1979,1978.75,INIT,1311.6757,287.16836267905,25719.9637498768
19-CAAL-1979,1979,TIME,2068.4826,402.913824336234,36022.807158514
19-CAAL-1979,1979.25,TIME,1807.5406,365.044603027378,32643.9999811464
19-CAAL-1979,1979.5,TIME,1591.5798,331.125051887648,29619.8587919238
19-CAAL-1979,1979.75,TIME,1410.1195,299.299840029809,26776.8783158228
19-CAAL-1979,1980,TIME,2060.2219,412.108460630152,36868.0100319928
19-CAAL-1979,1980.25,TIME,1803.1431,373.984440262852,33465.0505067814
19-CAAL-1979,1980.5,TIME,1591.3144,340.261685068614,30456.9768431606
19-CAAL-1979,1980.75,TIME,1412.0802,308.654916213627,27634.622338112
19-CAAL-1979,1981,TIME,1964.5444,425.004096522046,38048.9634756072
19-CAAL-1979,1981.25,TIME,1719.6773,383.879928497854,34374.739328542
19-CAAL-1979,1981.5,TIME,1517.7883,348.014400492712,31172.8348383794
19-CAAL-1979,1981.75,TIME,1342.9946,312.833463643641,28025.979645419
19-CAAL-1979,1982,TIME,1944.8342,424.644508107689,38081.4500301376
19-CAAL-1979,1982.25,TIME,1697.9989,382.12524094959,34270.9213468014
19-CAAL-1979,1982.5,TIME,1496.5151,346.241211055902,31061.4928393282
19-CAAL-1979,1982.75,TIME,1323.6271,311.259954693728,27925.6498554112
19-CAAL-1979,1983,TIME,1821.3639,417.251857625811,37560.7761073292
19-CAAL-1979,1983.25,TIME,1596.2864,376.94547815667,33935.0637040058
19-CAAL-1979,1983.5,TIME,1411.9132,342.746403747934,30864.6608335646
19-CAAL-1979,1983.75,TIME,1254.6123,310.307941579044,27947.7348382854
19-CAAL-1979,1984,TIME,1742.5329,412.913187246651,37307.9039030024
19-CAAL-1979,1984.25,TIME,1527.6766,373.725146829107,33774.726029253
19-CAAL-1979,1984.5,TIME,1349.275,338.790473571551,30625.6252557218
19-CAAL-1979,1984.75,TIME,1195.9719,304.988424586774,27571.8999295614
19-CAAL-1979,1985,TIME,1701.8102,405.40099263739,36724.0213141728
19-CAAL-1979,1985.25,TIME,1491.9767,367.822764176137,33329.1461948042
19-CAAL-1979,1985.5,TIME,1317.6067,333.855265808604,30259.081683144
19-CAAL-1979,1985.75,TIME,1166.4245,300.080459096861,27199.3338180512
19-CAAL-1979,1986,TIME,1880.1837,390.457205544879,35529.3217940358
19-CAAL-1979,1986.25,TIME,1638.6812,353.928547042166,32214.1463034896
19-CAAL-1979,1986.5,TIME,1441.2577,321.419420962912,29262.1096788014
19-CAAL-1979,1986.75,TIME,1274.4689,290.336144734941,26435.6924770366
19-CAAL-1979,1987,TIME,2122.0929,376.510794747809,34314.7079135032
19-CAAL-1979,1987.25,TIME,1846.6793,341.669755256313,31147.5750099992
19-CAAL-1979,1987.5,TIME,1621.4023,310.438200081661,28307.9775037628
19-CAAL-1979,1987.75,TIME,1431.5698,280.230350262489,25557.0536123566
19-CAAL-1979,1988,TIME,2056.9445,373.837694650905,33825.5918686334
19-CAAL-1979,1988.25,TIME,1797.8329,338.782433194044,30665.6220173742
19-CAAL-1979,1988.5,TIME,1583.6734,306.782193813647,27775.9551976758
19-CAAL-1979,1988.75,TIME,1401.1734,276.213615529884,25011.7109522014
19-CAAL-1979,1989,TIME,2002.6223,392.517534658359,34996.885481678
19-CAAL-1979,1989.25,TIME,1753.8032,355.949470552576,31747.0028514978
19-CAAL-1979,1989.5,TIME,1544.8928,321.212054377646,28652.8039209498
19-CAAL-1979,1989.75,TIME,1362.9928,286.772281759205,25580.0413486902
19-CAAL-1979,1990,TIME,1980.927,412.604626620744,36622.3236798708
19-CAAL-1979,1990.25,TIME,1734.7442,374.330756754398,33232.6232360142
