id,type,yr,Value,StdDev
19-CAAL-1979,ssb,1979,36022.8,0
19-CAAL-1979,ssb,1980,36868,0
19-CAAL-1979,ssb,1981,38049,0
19-CAAL-1979,ssb,1982,38081.4,0
19-CAAL-1979,ssb,1983,37560.8,0
19-CAAL-1979,ssb,1984,37308,0
19-CAAL-1979,ssb,1985,36724.1,0
19-CAAL-1979,ssb,1986,35529.3,0
19-CAAL-1979,ssb,1987,34314.7,0
19-CAAL-1979,ssb,1988,33825.6,0
19-CAAL-1979,ssb,1989,34996.9,0
19-CAAL-1979,ssb,1990,36622.3,0
19-CAAL-1979,ssb,1991,37661.9,0
19-CAAL-1979,ssb,1992,38040.2,0
19-CAAL-1979,ssb,1993,38357,0
19-CAAL-1979,ssb,1994,38507.6,0
19-CAAL-1979,ssb,1995,37947.6,0
19-CAAL-1979,ssb,1996,37738.9,0
19-CAAL-1979,ssb,1997,38057.1,0
19-CAAL-1979,ssb,1998,40390.7,0
19-CAAL-1979,ssb,1999,44024.3,0
19-CAAL-1979,ssb,2000,44768.6,0
19-CAAL-1979,ssb,2001,44444.5,0
19-CAAL-1979,ssb,2002,41317,0
19-CAAL-1979,ssb,2003,37420.9,0
19-CAAL-1979,ssb,2004,35677.7,0
19-CAAL-1979,ssb,2005,34914,0
19-CAAL-1979,ssb,2006,35651,0
19-CAAL-1979,ssb,2007,36779,0
19-CAAL-1979,ssb,2008,37194.4,0
19-CAAL-1979,ssb,2009,37385.4,0
19-CAAL-1979,ssb,2010,36952.6,0
19-CAAL-1979,ssb,2011,35634.8,0
19-CAAL-1979,ssb,2012,33921.4,0
19-CAAL-1979,ssb,2013,32546,0
19-CAAL-1979,ssb,2014,32064.1,0
19-CAAL-1979,ssb,2015,32092.1,0
19-CAAL-1979,ssb,2016,32650.1,0
19-CAAL-1979,ssb,2017,33073.7,0
19-CAAL-1979,ssb,2018,33754.1,0
19-CAAL-1979,ssb,2019,33795.3,0
19-CAAL-1979,ssb,2020,33429.9,0
19-CAAL-1979,ssb,2021,33977.6,0
19-CAAL-1979,ssb,2022,37618.9,0
