id,Label,Value,Parm_StDev,Phase,Min,Max,Init,Status,Afterbound
20-CAAL-1979-estInitF,L_at_Amin_Fem_GP_1,77.3123,0,7,5,100,77.3123,OK,OK
20-CAAL-1979-estInitF,L_at_Amax_Fem_GP_1,203.094,0,6,50,600,203.094,OK,OK
20-CAAL-1979-estInitF,VonBert_K_Fem_GP_1,0.575502,0,8,0.01,0.99,0.575502,OK,OK
20-CAAL-1979-estInitF,SR_LN(R0),14.9986,0,1,2,15,14.9986,HI,OK
20-CAAL-1979-estInitF,InitF_seas_1_flt_2F02_LL.JP.2,1.24098e-05,0,5,0,5,1.24098e-05,LO,CHECK
20-CAAL-1979-estInitF,InitF_seas_2_flt_2F02_LL.JP.2,1.24169e-05,0,5,0,5,1.24169e-05,LO,CHECK
20-CAAL-1979-estInitF,InitF_seas_3_flt_2F02_LL.JP.2,1.24305e-05,0,5,0,5,1.24305e-05,LO,CHECK
20-CAAL-1979-estInitF,InitF_seas_4_flt_2F02_LL.JP.2,1.24231e-05,0,5,0,5,1.24231e-05,LO,CHECK
20-CAAL-1979-estInitF,Size_DblN_peak_F01_LL.JP.1(1),175.814,0,2,45,325,175.814,OK,OK
20-CAAL-1979-estInitF,Size_DblN_ascend_se_F01_LL.JP.1(1),7.55758,0,4,-10,10,7.55758,OK,OK
20-CAAL-1979-estInitF,Size_DblN_descend_se_F01_LL.JP.1(1),4.32555,0,5,-10,10,4.32555,OK,OK
20-CAAL-1979-estInitF,Size_DblN_end_logit_F01_LL.JP.1(1),-1.2368,0,3,-999,9,-1.2368,OK,OK
20-CAAL-1979-estInitF,Size_DblN_peak_F02_LL.JP.2(2),191.547,0,2,45,325,191.547,OK,OK
20-CAAL-1979-estInitF,Size_DblN_top_logit_F02_LL.JP.2(2),0.0494094,0,3,-10,10,0.0494094,OK,OK
20-CAAL-1979-estInitF,Size_DblN_ascend_se_F02_LL.JP.2(2),5.58257,0,4,-10,10,5.58257,OK,OK
20-CAAL-1979-estInitF,Size_DblN_descend_se_F02_LL.JP.2(2),0.000478767,0,5,-10,10,0.000478767,OK,OK
20-CAAL-1979-estInitF,Size_DblN_peak_F03_LL.JP.3(3),197.303,0,2,45,325,197.303,OK,OK
20-CAAL-1979-estInitF,Size_DblN_ascend_se_F03_LL.JP.3(3),6.48821,0,4,-10,10,6.48821,OK,OK
20-CAAL-1979-estInitF,Size_DblN_descend_se_F03_LL.JP.3(3),-5.23094,0,5,-10,10,-5.23094,OK,OK
20-CAAL-1979-estInitF,Size_DblN_end_logit_F03_LL.JP.3(3),2.46906,0,3,-999,9,2.46906,HI,OK
20-CAAL-1979-estInitF,Size_DblN_peak_F04_LL.JP.4(4),187.26,0,2,45,325,187.26,OK,OK
20-CAAL-1979-estInitF,Size_DblN_ascend_se_F04_LL.JP.4(4),7.37306,0,4,-10,10,7.37306,OK,OK
20-CAAL-1979-estInitF,Size_DblN_descend_se_F04_LL.JP.4(4),-4.95457,0,5,-10,10,-4.95457,OK,OK
20-CAAL-1979-estInitF,Size_DblN_end_logit_F04_LL.JP.4(4),-0.445182,0,3,-999,9,-0.445182,HI,OK
20-CAAL-1979-estInitF,Size_DblN_peak_F06_LL.AU.2(6),183.016,0,2,45,325,183.016,OK,OK
20-CAAL-1979-estInitF,Size_DblN_ascend_se_F06_LL.AU.2(6),5.53494,0,4,-10,10,5.53494,OK,OK
20-CAAL-1979-estInitF,Size_DblN_descend_se_F06_LL.AU.2(6),5.01466,0,5,-10,10,5.01466,OK,OK
20-CAAL-1979-estInitF,Size_DblN_end_logit_F06_LL.AU.2(6),-0.848085,0,3,-999,9,-0.848085,HI,OK
20-CAAL-1979-estInitF,Size_DblN_peak_F07_LL.AU.3(7),187.924,0,2,45,325,187.924,OK,OK
20-CAAL-1979-estInitF,Size_DblN_ascend_se_F07_LL.AU.3(7),6.08694,0,4,-10,10,6.08694,OK,OK
20-CAAL-1979-estInitF,Size_DblN_descend_se_F07_LL.AU.3(7),4.83833,0,5,-10,10,4.83833,OK,OK
20-CAAL-1979-estInitF,Size_DblN_end_logit_F07_LL.AU.3(7),-0.333268,0,3,-999,9,-0.333268,HI,OK
20-CAAL-1979-estInitF,Size_DblN_peak_F09.REC.AU.3(9),194.854,0,2,45,325,194.854,OK,OK
20-CAAL-1979-estInitF,Size_DblN_top_logit_F09.REC.AU.3(9),-0.752785,0,3,-10,10,-0.752785,OK,OK
20-CAAL-1979-estInitF,Size_DblN_ascend_se_F09.REC.AU.3(9),5.49723,0,4,-10,10,5.49723,OK,OK
20-CAAL-1979-estInitF,Size_DblN_descend_se_F09.REC.AU.3(9),-0.449681,0,5,-10,10,-0.449681,OK,OK
20-CAAL-1979-estInitF,Size_inflection_F10_REC.NZ.3(10),218.972,0,2,45,325,218.972,OK,OK
20-CAAL-1979-estInitF,Size_95%width_F10_REC.NZ.3(10),33.389,0,3,0,500,33.389,OK,OK
20-CAAL-1979-estInitF,Size_DblN_peak_S01_INDEX.1-4(15),295.44,0,2,45,325,295.44,OK,OK
20-CAAL-1979-estInitF,Size_DblN_top_logit_S01_INDEX.1-4(15),1.07331e-09,0,3,-10,10,1.07331e-09,OK,OK
20-CAAL-1979-estInitF,Size_DblN_ascend_se_S01_INDEX.1-4(15),8.51289,0,4,-10,10,8.51289,OK,OK
20-CAAL-1979-estInitF,Size_DblN_descend_se_S01_INDEX.1-4(15),-7.26599e-09,0,5,-10,10,-7.26599e-09,OK,OK
