"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SSB_Virgin" "SSB_Virgin" 178119000 801409000 NA NA
"SSB_Initial" "SSB_Initial" 178112000 801409000 NA NA
"SSB_1979" "SSB_1979" 181551000 816978000 NA NA
"SSB_1980" "SSB_1980" 183180000 824297000 NA NA
"SSB_1981" "SSB_1981" 185543000 834925000 NA NA
"SSB_1982" "SSB_1982" 187612000 844238000 NA NA
"SSB_1983" "SSB_1983" 187484000 843661000 NA NA
"SSB_1984" "SSB_1984" 184409000 829817000 NA NA
"SSB_1985" "SSB_1985" 180730000 813258000 NA NA
"SSB_1986" "SSB_1986" 174871000 786896000 NA NA
"SSB_1987" "SSB_1987" 168496000 758204000 NA NA
"SSB_1988" "SSB_1988" 165443000 744463000 NA NA
"SSB_1989" "SSB_1989" 170891000 768981000 NA NA
"SSB_1990" "SSB_1990" 180746000 813342000 NA NA
"SSB_1991" "SSB_1991" 185016000 832559000 NA NA
"SSB_1992" "SSB_1992" 184999000 832473000 NA NA
"SSB_1993" "SSB_1993" 184188000 828816000 NA NA
"SSB_1994" "SSB_1994" 184066000 828264000 NA NA
"SSB_1995" "SSB_1995" 184212000 828923000 NA NA
"SSB_1996" "SSB_1996" 183969000 827829000 NA NA
"SSB_1997" "SSB_1997" 185088000 832856000 NA NA
"SSB_1998" "SSB_1998" 194589000 875608000 NA NA
"SSB_1999" "SSB_1999" 212500000 956221000 NA NA
"SSB_2000" "SSB_2000" 216997000 976447000 NA NA
"SSB_2001" "SSB_2001" 215468000 969567000 NA NA
"SSB_2002" "SSB_2002" 201630000 907293000 NA NA
"SSB_2003" "SSB_2003" 184895000 831985000 NA NA
"SSB_2004" "SSB_2004" 180109000 810451000 NA NA
"SSB_2005" "SSB_2005" 177555000 798958000 NA NA
"SSB_2006" "SSB_2006" 179687000 808550000 NA NA
"SSB_2007" "SSB_2007" 182702000 822126000 NA NA
"SSB_2008" "SSB_2008" 182760000 822384000 NA NA
"SSB_2009" "SSB_2009" 182947000 823226000 NA NA
"SSB_2010" "SSB_2010" 180094000 810383000 NA NA
"SSB_2011" "SSB_2011" 173991000 782922000 NA NA
"SSB_2012" "SSB_2012" 167116000 751985000 NA NA
"SSB_2013" "SSB_2013" 161526000 726826000 NA NA
"SSB_2014" "SSB_2014" 158418000 712839000 NA NA
"SSB_2015" "SSB_2015" 158914000 715071000 NA NA
"SSB_2016" "SSB_2016" 161498000 726698000 NA NA
"SSB_2017" "SSB_2017" 162428000 730881000 NA NA
"SSB_2018" "SSB_2018" 164309000 739345000 NA NA
"SSB_2019" "SSB_2019" 164046000 738158000 NA NA
"SSB_2020" "SSB_2020" 161994000 728927000 NA NA
"SSB_2021" "SSB_2021" 163882000 737419000 NA NA
"SSB_2022" "SSB_2022" 179476000 807595000 NA NA
"SSB_2023" "SSB_2023" 196725000 885231000 NA NA
"Recr_Virgin" "Recr_Virgin" 3264470 14686700 NA NA
"Recr_Initial" "Recr_Initial" 3264460 14686700 NA NA
"Recr_1979" "Recr_1979" 3571890 16083500 NA NA
"Recr_1980" "Recr_1980" 3439360 15486300 NA NA
"Recr_1981" "Recr_1981" 3039650 13686300 NA NA
"Recr_1982" "Recr_1982" 3224450 14518500 NA NA
"Recr_1983" "Recr_1983" 2787300 12549700 NA NA
"Recr_1984" "Recr_1984" 2706910 12187500 NA NA
"Recr_1985" "Recr_1985" 2773980 12489700 NA NA
"Recr_1986" "Recr_1986" 3650930 16440900 NA NA
"Recr_1987" "Recr_1987" 4223730 19021300 NA NA
"Recr_1988" "Recr_1988" 3369380 15172600 NA NA
