id,factor,fleet,value
20-CAAL-1979-estInitF,4,1,0.1
20-CAAL-1979-estInitF,7,1,0.1
20-CAAL-1979-estInitF,4,2,0.0833333
20-CAAL-1979-estInitF,7,2,0.1
20-CAAL-1979-estInitF,4,3,0.1
20-CAAL-1979-estInitF,7,3,0.1
20-CAAL-1979-estInitF,4,4,0.1
20-CAAL-1979-estInitF,7,4,0.1
20-CAAL-1979-estInitF,4,5,0.1
20-CAAL-1979-estInitF,7,5,0.1
20-CAAL-1979-estInitF,4,6,0.0555556
20-CAAL-1979-estInitF,7,6,0.1
20-CAAL-1979-estInitF,4,7,0.1
20-CAAL-1979-estInitF,7,7,0.1
20-CAAL-1979-estInitF,4,8,0.1
20-CAAL-1979-estInitF,7,8,0.1
20-CAAL-1979-estInitF,4,9,0.1
20-CAAL-1979-estInitF,7,9,0.0833333
20-CAAL-1979-estInitF,4,10,0.1
20-CAAL-1979-estInitF,7,10,0.0434783
20-CAAL-1979-estInitF,4,11,0.0625
20-CAAL-1979-estInitF,7,11,0.1
20-CAAL-1979-estInitF,4,12,0.0294118
20-CAAL-1979-estInitF,7,12,0.1
20-CAAL-1979-estInitF,4,13,0.1
20-CAAL-1979-estInitF,7,13,0.1
20-CAAL-1979-estInitF,4,14,0.1
20-CAAL-1979-estInitF,7,14,0.1
20-CAAL-1979-estInitF,1,15,0.190777
20-CAAL-1979-estInitF,4,15,0.0666667
20-CAAL-1979-estInitF,7,15,0.0666667
