id,type,yr,Value,StdDev
21-CAAL-NZrecwtQtr,rec,1952,183.526,37.3839
21-CAAL-NZrecwtQtr,rec,1953,179.519,35.8719
21-CAAL-NZrecwtQtr,rec,1954,173.142,34.2082
21-CAAL-NZrecwtQtr,rec,1955,159.588,31.4598
21-CAAL-NZrecwtQtr,rec,1956,157.367,31.0912
21-CAAL-NZrecwtQtr,rec,1957,161.478,32.0703
21-CAAL-NZrecwtQtr,rec,1958,164.029,32.3026
21-CAAL-NZrecwtQtr,rec,1959,155.51,30.7735
21-CAAL-NZrecwtQtr,rec,1960,156.233,30.3381
21-CAAL-NZrecwtQtr,rec,1961,150.104,28.5215
21-CAAL-NZrecwtQtr,rec,1962,131.179,26.0334
21-CAAL-NZrecwtQtr,rec,1963,125.413,25.2258
21-CAAL-NZrecwtQtr,rec,1964,117.353,24.234
21-CAAL-NZrecwtQtr,rec,1965,123.217,24.5059
21-CAAL-NZrecwtQtr,rec,1966,121.91,24.4199
21-CAAL-NZrecwtQtr,rec,1967,117.195,24.4939
21-CAAL-NZrecwtQtr,rec,1968,128.038,24.5628
21-CAAL-NZrecwtQtr,rec,1969,132.417,23.9091
21-CAAL-NZrecwtQtr,rec,1970,130.058,23.0142
21-CAAL-NZrecwtQtr,rec,1971,124.117,22.5151
21-CAAL-NZrecwtQtr,rec,1972,115.755,22.1507
21-CAAL-NZrecwtQtr,rec,1973,115.571,21.2372
21-CAAL-NZrecwtQtr,rec,1974,104.597,19.4316
21-CAAL-NZrecwtQtr,rec,1975,104.22,19.2983
21-CAAL-NZrecwtQtr,rec,1976,115.671,20.1415
21-CAAL-NZrecwtQtr,rec,1977,120.393,21.2276
21-CAAL-NZrecwtQtr,rec,1978,147.971,21.9627
21-CAAL-NZrecwtQtr,rec,1979,140.611,21.6634
21-CAAL-NZrecwtQtr,rec,1980,147.962,18.4688
21-CAAL-NZrecwtQtr,rec,1981,103.29,15.8302
21-CAAL-NZrecwtQtr,rec,1982,119.644,16.847
21-CAAL-NZrecwtQtr,rec,1983,96.1315,14.3106
21-CAAL-NZrecwtQtr,rec,1984,97.2157,12.915
21-CAAL-NZrecwtQtr,rec,1985,75.1505,11.988
21-CAAL-NZrecwtQtr,rec,1986,99.7405,18.9188
21-CAAL-NZrecwtQtr,rec,1987,163.464,22.1918
21-CAAL-NZrecwtQtr,rec,1988,113.572,18.4296
21-CAAL-NZrecwtQtr,rec,1989,98.1594,16.6698
21-CAAL-NZrecwtQtr,rec,1990,95.5077,17.8486
21-CAAL-NZrecwtQtr,rec,1991,114.775,22.1794
21-CAAL-NZrecwtQtr,rec,1992,142.479,25.0954
21-CAAL-NZrecwtQtr,rec,1993,145.026,24.5077
21-CAAL-NZrecwtQtr,rec,1994,125.258,20.8856
21-CAAL-NZrecwtQtr,rec,1995,115.624,20.5487
21-CAAL-NZrecwtQtr,rec,1996,237.707,24.6874
21-CAAL-NZrecwtQtr,rec,1997,136.075,16.926
21-CAAL-NZrecwtQtr,rec,1998,190.044,21.5447
21-CAAL-NZrecwtQtr,rec,1999,169.579,15.0057
21-CAAL-NZrecwtQtr,rec,2000,86.3102,11.0786
21-CAAL-NZrecwtQtr,rec,2001,178.542,17.6609
21-CAAL-NZrecwtQtr,rec,2002,112.477,15.5447
21-CAAL-NZrecwtQtr,rec,2003,123.565,18.1708
21-CAAL-NZrecwtQtr,rec,2004,119.576,17.9325
21-CAAL-NZrecwtQtr,rec,2005,93.8857,15.2518
21-CAAL-NZrecwtQtr,rec,2006,116.338,18.7977
21-CAAL-NZrecwtQtr,rec,2007,114.775,17.8773
21-CAAL-NZrecwtQtr,rec,2008,105.592,15.3027
21-CAAL-NZrecwtQtr,rec,2009,96.1184,14.0926
21-CAAL-NZrecwtQtr,rec,2010,93.7228,12.7244
21-CAAL-NZrecwtQtr,rec,2011,89.9633,11.9312
21-CAAL-NZrecwtQtr,rec,2012,83.156,10.6354
21-CAAL-NZrecwtQtr,rec,2013,98.1726,10.0091
21-CAAL-NZrecwtQtr,rec,2014,78.1073,8.53367
21-CAAL-NZrecwtQtr,rec,2015,81.4784,9.60068
21-CAAL-NZrecwtQtr,rec,2016,82.1106,9.574
21-CAAL-NZrecwtQtr,rec,2017,80.4409,8.63384
21-CAAL-NZrecwtQtr,rec,2018,66.8546,8.7305
21-CAAL-NZrecwtQtr,rec,2019,91.6261,14.7862
21-CAAL-NZrecwtQtr,rec,2020,129.01,25.874
21-CAAL-NZrecwtQtr,rec,2021,97.2992,21.5625
21-CAAL-NZrecwtQtr,rec,2022,104.302,25.1821
