id,Fleet,Fleet_name,Yr.S,Used,Kind,Sex,Exp_Mean
22-1979-estInitF-v2,2,F02_LL.JP.2,1979.125,yes,SIZE,1,87.5507467672179
22-1979-estInitF-v2,10,F10_REC.NZ.3,1979.125,yes,SIZE,1,96.7846231825249
22-1979-estInitF-v2,1,F01_LL.JP.1,1979.25,yes,SIZE,1,63.0567144970209
22-1979-estInitF-v2,2,F02_LL.JP.2,1979.25,yes,SIZE,1,87.483260307508
22-1979-estInitF-v2,3,F03_LL.JP.3,1979.25,yes,SIZE,1,83.1268123943372
22-1979-estInitF-v2,2,F02_LL.JP.2,1979.375,yes,SIZE,1,87.4910487859693
22-1979-estInitF-v2,3,F03_LL.JP.3,1979.375,yes,SIZE,1,83.681355134444
22-1979-estInitF-v2,2,F02_LL.JP.2,1979.5,yes,SIZE,1,88.6298999025853
22-1979-estInitF-v2,15,S01_INDEX.1-4,1979.5,yes,SIZE,1,72.0594259642951
22-1979-estInitF-v2,10,F10_REC.NZ.3,1980.125,yes,SIZE,1,98.8678565030678
22-1979-estInitF-v2,2,F02_LL.JP.2,1980.25,yes,SIZE,1,88.646745519745
22-1979-estInitF-v2,2,F02_LL.JP.2,1980.375,yes,SIZE,1,88.1691369719102
22-1979-estInitF-v2,2,F02_LL.JP.2,1980.5,yes,SIZE,1,89.0989150541761
22-1979-estInitF-v2,15,S01_INDEX.1-4,1980.5,yes,SIZE,1,73.1010807352206
22-1979-estInitF-v2,10,F10_REC.NZ.3,1981.125,yes,SIZE,1,99.5451827818402
22-1979-estInitF-v2,2,F02_LL.JP.2,1981.375,yes,SIZE,1,89.1900076629894
22-1979-estInitF-v2,3,F03_LL.JP.3,1981.375,yes,SIZE,1,85.1592868705474
22-1979-estInitF-v2,2,F02_LL.JP.2,1981.5,yes,SIZE,1,90.0439191538919
22-1979-estInitF-v2,15,S01_INDEX.1-4,1981.5,yes,SIZE,1,74.6300596941968
22-1979-estInitF-v2,2,F02_LL.JP.2,1982.125,yes,SIZE,1,90.8973382855399
22-1979-estInitF-v2,3,F03_LL.JP.3,1982.125,yes,SIZE,1,86.5571828535753
22-1979-estInitF-v2,10,F10_REC.NZ.3,1982.125,yes,SIZE,1,100.381323587654
22-1979-estInitF-v2,2,F02_LL.JP.2,1982.25,yes,SIZE,1,90.264305356812
22-1979-estInitF-v2,3,F03_LL.JP.3,1982.25,yes,SIZE,1,85.5829076576507
22-1979-estInitF-v2,2,F02_LL.JP.2,1982.375,yes,SIZE,1,89.6563384303492
22-1979-estInitF-v2,2,F02_LL.JP.2,1982.5,yes,SIZE,1,90.1835809789282
22-1979-estInitF-v2,15,S01_INDEX.1-4,1982.5,yes,SIZE,1,75.1915308569694
22-1979-estInitF-v2,3,F03_LL.JP.3,1983.125,yes,SIZE,1,86.7390153426924
22-1979-estInitF-v2,10,F10_REC.NZ.3,1983.125,yes,SIZE,1,100.463981031695
22-1979-estInitF-v2,3,F03_LL.JP.3,1983.25,yes,SIZE,1,86.1196942164643
22-1979-estInitF-v2,2,F02_LL.JP.2,1983.375,yes,SIZE,1,90.3701883019328
22-1979-estInitF-v2,3,F03_LL.JP.3,1983.375,yes,SIZE,1,86.3396749534102
22-1979-estInitF-v2,2,F02_LL.JP.2,1983.5,yes,SIZE,1,91.1972890342123
22-1979-estInitF-v2,15,S01_INDEX.1-4,1983.5,yes,SIZE,1,75.5538834238952
22-1979-estInitF-v2,2,F02_LL.JP.2,1984.125,yes,SIZE,1,91.9640271991941
22-1979-estInitF-v2,10,F10_REC.NZ.3,1984.125,yes,SIZE,1,101.414095346361
22-1979-estInitF-v2,3,F03_LL.JP.3,1984.25,yes,SIZE,1,86.3813414329721
22-1979-estInitF-v2,2,F02_LL.JP.2,1984.375,yes,SIZE,1,90.3735218016216
22-1979-estInitF-v2,2,F02_LL.JP.2,1984.5,yes,SIZE,1,90.962583826228
22-1979-estInitF-v2,15,S01_INDEX.1-4,1984.5,yes,SIZE,1,76.378828346287
22-1979-estInitF-v2,3,F03_LL.JP.3,1985.25,yes,SIZE,1,87.9061196849952
22-1979-estInitF-v2,2,F02_LL.JP.2,1985.375,yes,SIZE,1,92.1405818576655
