id,Fleet,Fleet_name,Time,Obs,Exp,SE,Dev,Use
22-1979-estInitF-v2,15,S01_INDEX.1-4,1979.83,1.86281,0.879018,0.333202,0.751036,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1980.83,1.31391,1.06622,0.33254,0.208885,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1981.83,1.2559,1.05845,0.332625,0.171051,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1982.83,1.50646,0.938877,0.326376,0.472833,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1983.83,0.922278,0.932995,0.330303,-0.011553,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1984.83,1.32673,0.94737,0.323343,0.336783,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1985.83,0.877509,0.879384,0.321945,-0.00213402,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1986.83,0.855618,0.877763,0.335276,-0.0255527,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1987.83,0.835362,0.84024,0.345836,-0.00582247,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1988.83,0.736157,0.916085,0.35762,-0.218666,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1989.83,1.65752,0.980443,0.320639,0.525074,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1990.83,1.13159,0.984412,0.336645,0.139334,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1991.83,1.02708,1.01381,0.345696,0.013007,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1992.83,0.558306,1.08722,0.384414,-0.666475,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1993.83,0.81207,1.13367,0.34892,-0.333627,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1994.83,1.12053,1.10042,0.341153,0.0181086,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1995.83,1.11373,1.09825,0.358465,0.0139997,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1996.83,1.1907,1.07266,0.34189,0.104396,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1997.83,1.31626,1.31405,0.348221,0.00168105,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1998.83,1.99334,1.62052,0.32869,0.207065,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,1999.83,1.18608,1.55116,0.36947,-0.268352,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2000.83,0.788006,1.57966,0.384061,-0.695459,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2001.83,0.727835,1.36482,0.380242,-0.628706,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2002.83,0.803887,1.21813,0.361598,-0.415617,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2003.83,1.3191,1.11319,0.345035,0.169721,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2004.83,1.26325,1.09578,0.348968,0.142225,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2005.83,1.04284,1.18863,0.364489,-0.130857,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2006.83,0.740614,1.17277,0.374613,-0.459644,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2007.83,0.829133,1.17284,0.363606,-0.346804,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2008.83,1.047,1.08016,0.36146,-0.0311837,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2009.83,0.645173,1.00387,0.380014,-0.442099,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2010.83,0.790723,0.862243,0.376337,-0.0865897,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2011.83,0.722675,0.711906,0.38025,0.0150131,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2012.83,0.69595,0.600344,0.384556,0.147775,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2013.83,0.717588,0.621228,0.38891,0.144198,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2014.83,0.790042,0.602067,0.384902,0.271718,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2015.83,0.78514,0.578308,0.386274,0.305755,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2016.83,0.687733,0.613543,0.380715,0.114151,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2017.83,0.591417,0.654031,0.367136,-0.100633,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2018.83,0.724244,0.712598,0.376776,0.0162115,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2019.83,0.794833,0.700675,0.361991,0.126088,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2020.83,0.742562,0.81505,0.372401,-0.0931437,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2021.83,1.23811,1.14036,0.357539,0.0822458,1
22-1979-estInitF-v2,15,S01_INDEX.1-4,2022.83,0.912191,1.34801,0.383859,-0.390535,1
