id,type,yr,Value,StdDev
22-1979-estInitF-v2,ssb,1979,2804.75,0
22-1979-estInitF-v2,ssb,1980,3206.89,0
22-1979-estInitF-v2,ssb,1981,4111.68,0
22-1979-estInitF-v2,ssb,1982,4045.92,0
22-1979-estInitF-v2,ssb,1983,3637.05,0
22-1979-estInitF-v2,ssb,1984,3867.67,0
22-1979-estInitF-v2,ssb,1985,4051.61,0
22-1979-estInitF-v2,ssb,1986,3882.01,0
22-1979-estInitF-v2,ssb,1987,3878.95,0
22-1979-estInitF-v2,ssb,1988,3720.44,0
22-1979-estInitF-v2,ssb,1989,3618.57,0
22-1979-estInitF-v2,ssb,1990,3675.38,0
22-1979-estInitF-v2,ssb,1991,4045.69,0
22-1979-estInitF-v2,ssb,1992,4407.34,0
22-1979-estInitF-v2,ssb,1993,4788.47,0
22-1979-estInitF-v2,ssb,1994,4976.74,0
22-1979-estInitF-v2,ssb,1995,4651.68,0
22-1979-estInitF-v2,ssb,1996,4737.14,0
22-1979-estInitF-v2,ssb,1997,4652.26,0
22-1979-estInitF-v2,ssb,1998,5126.07,0
22-1979-estInitF-v2,ssb,1999,6195.68,0
22-1979-estInitF-v2,ssb,2000,6635.89,0
22-1979-estInitF-v2,ssb,2001,7067.96,0
22-1979-estInitF-v2,ssb,2002,6605.69,0
22-1979-estInitF-v2,ssb,2003,5717.84,0
22-1979-estInitF-v2,ssb,2004,4856.4,0
22-1979-estInitF-v2,ssb,2005,4628.64,0
22-1979-estInitF-v2,ssb,2006,5095.08,0
22-1979-estInitF-v2,ssb,2007,5370.17,0
22-1979-estInitF-v2,ssb,2008,5474.53,0
22-1979-estInitF-v2,ssb,2009,5116.68,0
22-1979-estInitF-v2,ssb,2010,4741.51,0
22-1979-estInitF-v2,ssb,2011,4151.04,0
22-1979-estInitF-v2,ssb,2012,3316.68,0
22-1979-estInitF-v2,ssb,2013,2638.32,0
22-1979-estInitF-v2,ssb,2014,2593.12,0
22-1979-estInitF-v2,ssb,2015,2404.51,0
22-1979-estInitF-v2,ssb,2016,2295.48,0
22-1979-estInitF-v2,ssb,2017,2482.26,0
22-1979-estInitF-v2,ssb,2018,2715.02,0
22-1979-estInitF-v2,ssb,2019,2905.61,0
22-1979-estInitF-v2,ssb,2020,3012.69,0
22-1979-estInitF-v2,ssb,2021,3270.75,0
22-1979-estInitF-v2,ssb,2022,4432.24,0
