id,type,yr,Value,StdDev
23-CAAL-2sex,rec,1952,179.618,0
23-CAAL-2sex,rec,1953,176.853,0
23-CAAL-2sex,rec,1954,171.478,0
23-CAAL-2sex,rec,1955,157.709,0
23-CAAL-2sex,rec,1956,153.508,0
23-CAAL-2sex,rec,1957,156.687,0
23-CAAL-2sex,rec,1958,159.955,0
23-CAAL-2sex,rec,1959,150.663,0
23-CAAL-2sex,rec,1960,150.352,0
23-CAAL-2sex,rec,1961,146.25,0
23-CAAL-2sex,rec,1962,125.34,0
23-CAAL-2sex,rec,1963,118.018,0
23-CAAL-2sex,rec,1964,108.08,0
23-CAAL-2sex,rec,1965,116.109,0
23-CAAL-2sex,rec,1966,115.069,0
23-CAAL-2sex,rec,1967,107.313,0
23-CAAL-2sex,rec,1968,120.391,0
23-CAAL-2sex,rec,1969,127.891,0
23-CAAL-2sex,rec,1970,126.377,0
23-CAAL-2sex,rec,1971,118.246,0
23-CAAL-2sex,rec,1972,107.121,0
23-CAAL-2sex,rec,1973,107.86,0
23-CAAL-2sex,rec,1974,99.3632,0
23-CAAL-2sex,rec,1975,97.2877,0
23-CAAL-2sex,rec,1976,108.968,0
23-CAAL-2sex,rec,1977,111.119,0
23-CAAL-2sex,rec,1978,137.147,0
23-CAAL-2sex,rec,1979,130.821,0
23-CAAL-2sex,rec,1980,145.052,0
23-CAAL-2sex,rec,1981,98.0909,0
23-CAAL-2sex,rec,1982,111.745,0
23-CAAL-2sex,rec,1983,88.9957,0
23-CAAL-2sex,rec,1984,97.1549,0
23-CAAL-2sex,rec,1985,71.6234,0
23-CAAL-2sex,rec,1986,88.056,0
23-CAAL-2sex,rec,1987,153.245,0
23-CAAL-2sex,rec,1988,110.791,0
23-CAAL-2sex,rec,1989,94.5862,0
23-CAAL-2sex,rec,1990,86.3871,0
23-CAAL-2sex,rec,1991,101.847,0
23-CAAL-2sex,rec,1992,134.265,0
23-CAAL-2sex,rec,1993,140.308,0
23-CAAL-2sex,rec,1994,121.115,0
23-CAAL-2sex,rec,1995,101.513,0
23-CAAL-2sex,rec,1996,219.002,0
23-CAAL-2sex,rec,1997,132.159,0
23-CAAL-2sex,rec,1998,171.705,0
23-CAAL-2sex,rec,1999,166.484,0
23-CAAL-2sex,rec,2000,86.1333,0
23-CAAL-2sex,rec,2001,170.412,0
23-CAAL-2sex,rec,2002,111.52,0
23-CAAL-2sex,rec,2003,116.298,0
23-CAAL-2sex,rec,2004,111.267,0
23-CAAL-2sex,rec,2005,89.2534,0
23-CAAL-2sex,rec,2006,105.694,0
23-CAAL-2sex,rec,2007,107.393,0
23-CAAL-2sex,rec,2008,103.344,0
23-CAAL-2sex,rec,2009,93.3197,0
23-CAAL-2sex,rec,2010,90.7444,0
23-CAAL-2sex,rec,2011,86.7848,0
23-CAAL-2sex,rec,2012,79.6874,0
23-CAAL-2sex,rec,2013,93.3955,0
23-CAAL-2sex,rec,2014,75.5923,0
23-CAAL-2sex,rec,2015,74.9008,0
23-CAAL-2sex,rec,2016,76.6818,0
23-CAAL-2sex,rec,2017,78.3147,0
23-CAAL-2sex,rec,2018,63.2785,0
23-CAAL-2sex,rec,2019,80.4533,0
23-CAAL-2sex,rec,2020,105.218,0
23-CAAL-2sex,rec,2021,85.8045,0
23-CAAL-2sex,rec,2022,88.8604,0
