id,Yr,SpawnBio,bias_adjusted,pred_recr
23-CAAL-2sex,1942,6858.98,164.336,162.26
23-CAAL-2sex,1943,6858.98,164.336,163.487
23-CAAL-2sex,1944,6858.98,164.336,163.295
23-CAAL-2sex,1945,6858.98,164.336,163.288
23-CAAL-2sex,1946,6858.98,164.336,163.897
23-CAAL-2sex,1947,6858.98,164.336,166.027
23-CAAL-2sex,1948,6858.98,164.336,170.377
23-CAAL-2sex,1949,6858.98,164.336,172.938
23-CAAL-2sex,1950,6858.98,164.336,172.537
23-CAAL-2sex,1951,6858.98,164.336,174.84
23-CAAL-2sex,1952,6984.23,164.521,179.618
23-CAAL-2sex,1953,7016.68,164.568,176.853
23-CAAL-2sex,1954,6425.07,163.646,171.478
23-CAAL-2sex,1955,3190.32,153.318,157.709
23-CAAL-2sex,1956,2608.57,149.148,153.508
23-CAAL-2sex,1957,2511.52,148.294,156.687
23-CAAL-2sex,1958,2496.42,148.156,159.955
23-CAAL-2sex,1959,1946.31,141.945,150.663
23-CAAL-2sex,1960,1813.66,139.997,150.352
23-CAAL-2sex,1961,1733.86,138.712,146.25
23-CAAL-2sex,1962,1165.01,125.886,125.34
23-CAAL-2sex,1963,956.894,118.589,118.018
23-CAAL-2sex,1964,744.18,108.533,108.08
23-CAAL-2sex,1965,963.943,118.816,116.109
23-CAAL-2sex,1966,970.389,119.043,115.069
23-CAAL-2sex,1967,786.974,110.75,107.313
23-CAAL-2sex,1968,1037.79,121.516,120.391
23-CAAL-2sex,1969,1325.86,130.135,127.891
23-CAAL-2sex,1970,1563,135.372,126.377
23-CAAL-2sex,1971,1172.43,125.853,118.246
23-CAAL-2sex,1972,804.546,111.52,107.121
23-CAAL-2sex,1973,715.917,106.708,107.86
23-CAAL-2sex,1974,674.542,104.193,99.3632
23-CAAL-2sex,1975,714.133,106.556,97.2877
23-CAAL-2sex,1976,819.043,112.137,108.968
23-CAAL-2sex,1977,863.03,114.197,111.119
23-CAAL-2sex,1978,1140.44,124.672,137.147
23-CAAL-2sex,1979,1014.03,120.351,130.821
23-CAAL-2sex,1980,950.768,117.886,145.052
23-CAAL-2sex,1981,1253.98,127.901,98.0909
23-CAAL-2sex,1982,1032.67,120.947,111.745
23-CAAL-2sex,1983,750.507,108.413,88.9957
23-CAAL-2sex,1984,842.72,113.072,97.1549
23-CAAL-2sex,1985,842.773,113.048,71.6234
23-CAAL-2sex,1986,757.688,108.729,88.056
23-CAAL-2sex,1987,738.228,107.637,153.245
23-CAAL-2sex,1988,679.156,104.148,110.791
23-CAAL-2sex,1989,690.919,104.843,94.5862
23-CAAL-2sex,1990,581.245,97.4944,86.3871
23-CAAL-2sex,1991,616.478,99.9877,101.847
23-CAAL-2sex,1992,697.258,105.152,134.265
23-CAAL-2sex,1993,829.039,112.189,140.308
23-CAAL-2sex,1994,905.502,115.634,121.115
23-CAAL-2sex,1995,761.846,108.73,101.513
23-CAAL-2sex,1996,823.143,111.828,219.002
23-CAAL-2sex,1997,857.362,113.419,132.159
23-CAAL-2sex,1998,1049.31,121.097,171.705
23-CAAL-2sex,1999,1065.44,121.628,166.484
23-CAAL-2sex,2000,973.763,118.258,86.1333
23-CAAL-2sex,2001,1106.5,122.943,170.412
23-CAAL-2sex,2002,1149.24,124.266,111.52
23-CAAL-2sex,2003,1034.36,120.432,116.298
23-CAAL-2sex,2004,788.71,109.912,111.267
23-CAAL-2sex,2005,606.049,98.9452,89.2534
23-CAAL-2sex,2006,618.205,99.7661,105.694
23-CAAL-2sex,2007,677.969,103.65,107.393
23-CAAL-2sex,2008,716.845,105.964,103.344
23-CAAL-2sex,2009,697.153,104.811,93.3197
23-CAAL-2sex,2010,758.24,108.266,90.7444
23-CAAL-2sex,2011,737.744,107.146,86.7848
23-CAAL-2sex,2012,596.882,98.2738,79.6874
23-CAAL-2sex,2013,483.297,89.1845,93.3955
23-CAAL-2sex,2014,532.438,93.3729,75.5923
23-CAAL-2sex,2015,451.298,86.2136,74.9008
23-CAAL-2sex,2016,382.691,79.081,76.6818
23-CAAL-2sex,2017,399.444,80.9282,78.3147
23-CAAL-2sex,2018,455.539,86.6193,63.2785
23-CAAL-2sex,2019,449.137,86.0054,80.4533
23-CAAL-2sex,2020,402.121,81.2167,105.218
23-CAAL-2sex,2021,372.548,77.9265,85.8045
23-CAAL-2sex,2022,437.179,85.6878,88.8604
23-CAAL-2sex,2023,602.9,99.6931,99.6931
