id,Fleet,Time,Obs,Exp,sel_bio,sel_num,F,Like,Mult
24-CAAL-Richards,1,1952.37,0.002,0.00199999,0.145854,0.00199999,5.39843e-05,3.47101e-08,1
24-CAAL-Richards,1,1952.62,0.002,0.00199999,0.145883,0.00199999,5.38202e-05,3.45014e-08,1
24-CAAL-Richards,1,1953.12,0.068,0.0679998,4.94547,0.0679998,0.00181505,3.38987e-08,1
24-CAAL-Richards,1,1953.37,0.014,0.014,1.01754,0.014,0.000372259,3.38752e-08,1
24-CAAL-Richards,1,1953.62,0.023,0.0229999,1.67328,0.0229999,0.000609763,6.55707e-08,1
24-CAAL-Richards,1,1953.87,0.024,0.0239973,1.73392,0.0239973,0.000653663,5.13103e-05,1
24-CAAL-Richards,1,1954.12,0.175,0.174999,12.4667,0.174999,0.00486376,5.2652e-08,1
24-CAAL-Richards,1,1954.37,0.328,0.327999,23.372,0.327999,0.00908603,3.77237e-08,1
24-CAAL-Richards,1,1954.62,0.257,0.256996,18.1402,0.256996,0.00734199,8.56784e-07,1
24-CAAL-Richards,1,1954.87,0.34,0.340111,22.4784,0.340111,0.0115656,0.00043967,1
24-CAAL-Richards,1,1955.12,0.216,0.215999,13.3601,0.215999,0.00812689,8.90591e-08,1
24-CAAL-Richards,1,1955.37,0.228,0.227999,14.2034,0.227999,0.00829866,6.80871e-08,1
24-CAAL-Richards,1,1955.62,0.184,0.183999,11.4709,0.183999,0.0067047,7.66365e-08,1
24-CAAL-Richards,1,1955.87,0.412,0.412005,25.1511,0.412005,0.0160387,6.11463e-07,1
24-CAAL-Richards,1,1956.12,0.14,0.139999,8.40956,0.139999,0.00555421,9.02263e-08,1
24-CAAL-Richards,1,1956.37,0.201,0.200999,12.2532,0.200999,0.00771188,7.81433e-08,1
24-CAAL-Richards,1,1956.62,0.112,0.111999,6.89332,0.111999,0.00426444,9.28856e-08,1
24-CAAL-Richards,1,1956.87,0.255,0.255003,15.516,0.255003,0.0102723,4.33685e-07,1
24-CAAL-Richards,1,1957.12,0.125,0.124999,7.50113,0.124999,0.00512173,8.42761e-08,1
24-CAAL-Richards,1,1957.37,0.098,0.0979995,5.96337,0.0979995,0.00387527,8.72827e-08,1
24-CAAL-Richards,1,1957.62,0.234,0.233999,14.3809,0.233999,0.00908968,1.50118e-07,1
24-CAAL-Richards,1,1957.87,0.645,0.645007,39.1838,0.645007,0.0262202,4.66329e-07,1
24-CAAL-Richards,1,1958.12,0.27,0.269999,16.1354,0.269999,0.0111307,8.1359e-08,1
24-CAAL-Richards,1,1958.37,0.241,0.240999,14.5846,0.240999,0.00957126,7.84554e-08,1
24-CAAL-Richards,1,1958.62,0.61,0.609997,37.0402,0.609997,0.0241494,8.0117e-08,1
24-CAAL-Richards,1,1958.87,1.446,1.44609,85.0636,1.44609,0.0628744,1.76689e-05,1
24-CAAL-Richards,1,1959.12,0.22,0.219999,12.5601,0.219999,0.00991705,1.01402e-07,1
24-CAAL-Richards,1,1959.37,0.264,0.263999,15.3019,0.263999,0.0113587,1.20254e-07,1
