id,type,yr,Value,StdDev
24-CAAL-Richards,ssb,1952,11806.9,982.974
24-CAAL-Richards,ssb,1953,11899.1,971.899
24-CAAL-Richards,ssb,1954,10873.1,962.115
24-CAAL-Richards,ssb,1955,5449.67,1047.65
24-CAAL-Richards,ssb,1956,4529.64,909.128
24-CAAL-Richards,ssb,1957,4400.62,827.808
24-CAAL-Richards,ssb,1958,4385.1,798.125
24-CAAL-Richards,ssb,1959,3453.32,743.363
24-CAAL-Richards,ssb,1960,3236.38,708.711
24-CAAL-Richards,ssb,1961,3120.02,681.736
24-CAAL-Richards,ssb,1962,2186.22,608.675
24-CAAL-Richards,ssb,1963,1858.93,535.211
24-CAAL-Richards,ssb,1964,1515.32,473.747
24-CAAL-Richards,ssb,1965,1920.06,520.385
24-CAAL-Richards,ssb,1966,1954.52,554.005
24-CAAL-Richards,ssb,1967,1638.4,567.107
24-CAAL-Richards,ssb,1968,2079.94,596.401
24-CAAL-Richards,ssb,1969,2600.77,641.835
24-CAAL-Richards,ssb,1970,3014.24,677.91
24-CAAL-Richards,ssb,1971,2296.48,599.364
24-CAAL-Richards,ssb,1972,1641.99,474.083
24-CAAL-Richards,ssb,1973,1458.13,395.491
24-CAAL-Richards,ssb,1974,1383.97,383.702
24-CAAL-Richards,ssb,1975,1478.28,403.165
24-CAAL-Richards,ssb,1976,1683.6,412.787
24-CAAL-Richards,ssb,1977,1765.13,419.598
24-CAAL-Richards,ssb,1978,2229.65,434.476
24-CAAL-Richards,ssb,1979,2007.97,395.927
24-CAAL-Richards,ssb,1980,1895.92,393.372
24-CAAL-Richards,ssb,1981,2457.57,385.054
24-CAAL-Richards,ssb,1982,2076.94,346.165
24-CAAL-Richards,ssb,1983,1599.7,308.075
24-CAAL-Richards,ssb,1984,1730.5,313.648
24-CAAL-Richards,ssb,1985,1741.7,310.41
24-CAAL-Richards,ssb,1986,1570.07,298.76
24-CAAL-Richards,ssb,1987,1503.7,269.745
24-CAAL-Richards,ssb,1988,1376.1,288.791
24-CAAL-Richards,ssb,1989,1354.25,311.015
24-CAAL-Richards,ssb,1990,1263.6,287.763
24-CAAL-Richards,ssb,1991,1325.13,292.871
24-CAAL-Richards,ssb,1992,1451.74,316.337
24-CAAL-Richards,ssb,1993,1699.41,357.384
24-CAAL-Richards,ssb,1994,1845.75,399.613
24-CAAL-Richards,ssb,1995,1596.12,369.692
24-CAAL-Richards,ssb,1996,1710.42,339.04
24-CAAL-Richards,ssb,1997,1789.98,339.414
24-CAAL-Richards,ssb,1998,2032.13,365.992
24-CAAL-Richards,ssb,1999,2239.45,384.415
24-CAAL-Richards,ssb,2000,2080.16,404.176
24-CAAL-Richards,ssb,2001,2326.81,424.788
24-CAAL-Richards,ssb,2002,2452.47,389.449
24-CAAL-Richards,ssb,2003,2072.97,336.482
24-CAAL-Richards,ssb,2004,1640.06,289.683
24-CAAL-Richards,ssb,2005,1289.08,263.795
24-CAAL-Richards,ssb,2006,1307.33,267.891
24-CAAL-Richards,ssb,2007,1450.97,290.283
24-CAAL-Richards,ssb,2008,1498.73,312.76
24-CAAL-Richards,ssb,2009,1480.31,316.793
24-CAAL-Richards,ssb,2010,1596.55,304.31
24-CAAL-Richards,ssb,2011,1536.46,275.736
24-CAAL-Richards,ssb,2012,1247.08,238.176
24-CAAL-Richards,ssb,2013,1021.28,206.388
24-CAAL-Richards,ssb,2014,1103.92,190.468
24-CAAL-Richards,ssb,2015,937.169,172.494
24-CAAL-Richards,ssb,2016,832.891,167.273
24-CAAL-Richards,ssb,2017,861.512,174.168
24-CAAL-Richards,ssb,2018,971.103,192.74
24-CAAL-Richards,ssb,2019,953.583,196.105
24-CAAL-Richards,ssb,2020,875.647,198.017
24-CAAL-Richards,ssb,2021,821.981,225.001
24-CAAL-Richards,ssb,2022,995.117,320.215
