id,sex,age,m,len,len_sd,wt,mat,mat_fec,sr
27-CAAL-NZdblnorm,1,0,0.707867,77.641,9.9314,3.45043,9.00876e-09,0,
27-CAAL-NZdblnorm,1,1,0.4718,130.222,10.3443,21.0593,0.00033683,0.0119778,
27-CAAL-NZdblnorm,1,2,0.4007,163.629,10.6067,47.2846,0.102582,6.4265,
27-CAAL-NZdblnorm,1,3,0.3766,184.855,10.7734,72.9383,0.603807,48.4841,
27-CAAL-NZdblnorm,1,4,0.3669,198.34,10.8793,93.7085,0.888286,85.7007,
27-CAAL-NZdblnorm,1,5,0.3629,206.908,10.9466,108.94,0.963918,106.091,
27-CAAL-NZdblnorm,1,6,0.3612,212.352,10.9893,119.499,0.9843,118.175,
27-CAAL-NZdblnorm,1,7,0.3605,215.811,11.0165,126.581,0.991096,125.796,
27-CAAL-NZdblnorm,1,8,0.3602,218.008,11.0338,131.234,0.993873,130.678,
27-CAAL-NZdblnorm,1,9,0.36,219.405,11.0447,134.254,0.995191,133.81,
27-CAAL-NZdblnorm,1,10,0.36,220.778,11.0517,137.273,0.996227,136.917,
27-CAAL-NZdblnorm,1,0.25,0.64885,93.099,10.0528,6.47926,1.99896e-07,0,
27-CAAL-NZdblnorm,1,1.25,0.454025,140.043,10.4215,27.233,0.00226954,0.0119778,
27-CAAL-NZdblnorm,1,2.25,0.394675,169.869,10.6557,54.0059,0.206114,6.4265,
27-CAAL-NZdblnorm,1,3.25,0.374175,188.819,10.8045,78.6576,0.707938,48.4841,
27-CAAL-NZdblnorm,1,4.25,0.3659,200.859,10.8991,98.0151,0.917852,85.7007,
27-CAAL-NZdblnorm,1,5.25,0.362475,208.509,10.9592,111.971,0.97151,106.091,
27-CAAL-NZdblnorm,1,6.25,0.361025,213.369,10.9973,121.551,0.986673,118.175,
27-CAAL-NZdblnorm,1,7.25,0.360425,216.457,11.0216,127.936,0.992015,125.796,
27-CAAL-NZdblnorm,1,8.25,0.36015,218.419,11.037,132.117,0.994292,130.678,
27-CAAL-NZdblnorm,1,9.25,0.36,219.665,11.0468,134.824,0.995405,133.81,
27-CAAL-NZdblnorm,1,10.25,0.36,220.891,11.0517,137.524,0.996304,136.917,
27-CAAL-NZdblnorm,1,0.5,0.589834,106.9,10.1612,10.51,3.18256e-06,0,
27-CAAL-NZdblnorm,1,1.5,0.43625,148.812,10.4903,33.7674,0.0111574,0.0119778,
27-CAAL-NZdblnorm,1,2.5,0.38865,175.44,10.6995,60.5675,0.338244,6.4265,
27-CAAL-NZdblnorm,1,3.5,0.37175,192.359,10.8323,84.0314,0.787816,48.4841,
27-CAAL-NZdblnorm,1,4.5,0.3649,203.108,10.9168,101.979,0.938675,85.7007,
27-CAAL-NZdblnorm,1,5.5,0.36205,209.938,10.9704,114.728,0.977067,106.091,
27-CAAL-NZdblnorm,1,6.5,0.36085,214.277,11.0045,123.403,0.988511,118.175,
27-CAAL-NZdblnorm,1,7.5,0.36035,217.034,11.0261,129.155,0.99276,125.796,
27-CAAL-NZdblnorm,1,8.5,0.3601,218.785,11.0399,132.909,0.994643,130.678,
27-CAAL-NZdblnorm,1,9.5,0.36,219.898,11.0486,135.334,0.995589,133.81,
27-CAAL-NZdblnorm,1,10.5,0.36,220.993,11.0517,137.749,0.99637,136.917,
27-CAAL-NZdblnorm,1,0.75,0.530817,119.221,10.2579,15.4247,3.76078e-05,0,
27-CAAL-NZdblnorm,1,1.75,0.418475,156.64,10.5518,40.4988,0.0394403,0.0119778,
27-CAAL-NZdblnorm,1,2.75,0.382625,180.414,10.7385,66.8961,0.477202,6.4265,
27-CAAL-NZdblnorm,1,3.75,0.369325,195.519,10.8571,89.049,0.846408,48.4841,
27-CAAL-NZdblnorm,1,4.75,0.3639,205.116,10.9325,105.615,0.953405,85.7007,
27-CAAL-NZdblnorm,1,5.75,0.361625,211.213,10.9804,117.231,0.981192,106.091,
27-CAAL-NZdblnorm,1,6.75,0.360675,215.087,11.0108,125.075,0.989952,118.175,
27-CAAL-NZdblnorm,1,7.75,0.360275,217.549,11.0302,130.251,0.993369,125.796,
27-CAAL-NZdblnorm,1,8.75,0.36005,219.112,11.0424,133.618,0.994939,130.678,
27-CAAL-NZdblnorm,1,9.75,0.36,220.106,11.0502,135.791,0.995747,133.81,
27-CAAL-NZdblnorm,1,10.75,0.36,221.083,11.0517,137.95,0.996429,136.917,
