id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,150,0.2619736733,0.07152961,0.1904440633,293.28831,235.0157,23.50157
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,155,0.1016467435,0.12915445,-0.0275077065,323.71651,246.6102,24.66102
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,160,0.4021734015,0.2572578,0.1449156015,344.98611,279.0613,27.90613
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,165,0.6382521629,0.4976283,0.1406238629,368.79951,285.37399,28.537399
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,170,1.1300885506,1.0412758,0.0888127506,388.20059,291.19186,29.119186
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,175,1.0708283504,1.5460307,-0.4752023496,396.69782,293.554,29.3554
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,180,2.0293335107,2.8890004,-0.8596668893,417.34432,306.64002,30.664002
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,185,2.6420956001,3.161223,-0.519127399900001,423.70999,309.90665,30.990665
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,190,3.2405472002,3.545111,-0.304563799800001,426.09489,313.42835,31.342835
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,195,2.8063412403,3.002968,-0.1966267597,426.09489,313.42835,31.342835
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,200,2.3776542108,2.7392417,-0.3615874892,426.09489,313.42835,31.342835
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,205,1.6340529807,1.9537768,-0.3197238193,420.24902,307.85817,30.785817
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,120,0.0215308525,0.000428718,0.0211021345,127.0497,114.13841,11.413841
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,125,0.0374469832,0.00064392,0.0368030632,142.6825,121.59494,12.159494
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,130,0.0004986438,0.000918868,-0.0004202242,142.6825,121.59494,12.159494
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,135,0.0077949227,0.001912082,0.0058828407,142.6825,121.59494,12.159494
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,140,0.0778866021,0.005765086,0.0721215161,161.7522,127.41939,12.741939
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,145,0.1213681231,0.02141477,0.0999533531,184.02514,146.52692,14.652692
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,210,1.7057103708,1.1720117,0.5336986708,377.17872,281.00757,28.100757
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,215,1.1277379622,0.5955148,0.5322231622,338.91209,267.92269,26.792269
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,220,0.8523702404,0.2789829,0.5733873404,300.71162,229.50192,22.950192
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,225,0.229254363,0.06250979,0.166744573,210.72835,163.74584,16.374584
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,230,0.1896826004,0.01719216,0.1724904404,151.2363,134.71558,13.471558
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,235,0.1025047606,0.004649365,0.0978553956,98.73,109.73118,10.973118
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,240,0.0590636904,0.001108928,0.0579547624,79.6603,103.90673,10.390673
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,245,0.0074715704,0.000316091,0.0071554794,64.0275,96.4502,9.64502
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,250,0.0559987,0.000228382,0.055770318,64.0275,96.4502,9.64502
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,80,0.0176889711,0.0001993627,0.0174896084,66.3253,60.3899,6.03899
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,85,0.0001993621,0.0001993636,-1.49999999999651e-09,66.3253,60.3899,6.03899
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,90,0.0001993621,0.0001993671,-4.99999999999741e-09,66.3253,60.3899,6.03899
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,95,0.0001993621,0.0001993854,-2.32999999999766e-08,66.3253,60.3899,6.03899
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,100,0.0001993621,0.0001994817,-1.19600000000018e-07,66.3253,60.3899,6.03899
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,105,0.0001993621,0.0001998981,-5.35999999999983e-07,66.3253,60.3899,6.03899
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,110,0.0347096621,0.000301447,0.0344082151,86.4269,64.18821,6.418821
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,115,0.0002991525,0.000306446,-7.29349999999997e-06,86.4269,64.18821,6.418821
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,60,0.0146922,9.96711e-05,0.0145925289,44.2472,47,4.7
27-CAAL-NZdblnorm,3,F03_LL.JP.3,yes,LEN,1,65,9.96711e-05,9.96711e-05,0,44.2472,47,4.7
