Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27-CAAL-NZdblnorm
Catch_like,0.744701,0.000774196,0.000492163,0.00203214,0.00132309,0.000209498,0.000224056,0.000284344,0.000225005,0.000232372,0.00212631,0.000102917,0.000867126,0.00040258,0.000106139,0.735299,0,27-CAAL-NZdblnorm
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27-CAAL-NZdblnorm
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27-CAAL-NZdblnorm
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27-CAAL-NZdblnorm
Surv_like,-28.1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.1002,27-CAAL-NZdblnorm
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,27-CAAL-NZdblnorm
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27-CAAL-NZdblnorm
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,27-CAAL-NZdblnorm
Length_like,108.664,0,0,13.9864,0,6.25004,0,0,0,0,20.9939,39.9447,0,0,27.4889,0,0,27-CAAL-NZdblnorm
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,27-CAAL-NZdblnorm
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27-CAAL-NZdblnorm
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,27-CAAL-NZdblnorm
Age_like,0.109492,0,0,0,0,0,0,0,0,0.0345686,0.0485705,0,0.0263526,0,0,0,0,27-CAAL-NZdblnorm
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,27-CAAL-NZdblnorm
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27-CAAL-NZdblnorm
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,27-CAAL-NZdblnorm
SizeFreq_like:_1,756.843,,85.5445,32.9371,,,333.648,186.78,,54.8884,55.418,,,,,,7.62725,27-CAAL-NZdblnorm
