id,Fleet,Time,Obs,Exp,sel_bio,sel_num,F,Like,Mult
28-CAAL-noNZrec-ASPM,1,1952.37,0.002,0.00199999,0.15985,0.00199999,4.97829e-05,2.9741e-08,1
28-CAAL-noNZrec-ASPM,1,1952.62,0.002,0.00199999,0.159948,0.00199999,4.97961e-05,2.97602e-08,1
28-CAAL-noNZrec-ASPM,1,1953.12,0.068,0.0679998,5.42771,0.0679998,0.0016931,2.99805e-08,1
28-CAAL-noNZrec-ASPM,1,1953.37,0.014,0.014,1.11645,0.014,0.000348609,2.99424e-08,1
28-CAAL-noNZrec-ASPM,1,1953.62,0.023,0.0229999,1.83521,0.0229999,0.000572822,6.12399e-08,1
28-CAAL-noNZrec-ASPM,1,1953.87,0.024,0.0239972,1.89972,0.0239972,0.000617023,5.69148e-05,1
28-CAAL-noNZrec-ASPM,1,1954.12,0.175,0.174999,13.6139,0.174999,0.0046086,4.93388e-08,1
28-CAAL-noNZrec-ASPM,1,1954.37,0.328,0.327999,25.4616,0.327999,0.00862159,3.42683e-08,1
28-CAAL-noNZrec-ASPM,1,1954.62,0.257,0.256996,19.6813,0.256996,0.00698551,8.9612e-07,1
28-CAAL-noNZrec-ASPM,1,1954.87,0.34,0.340271,23.7546,0.340271,0.0114704,0.00261984,1
28-CAAL-noNZrec-ASPM,1,1955.12,0.216,0.215999,13.6479,0.215999,0.00825759,9.42311e-08,1
28-CAAL-noNZrec-ASPM,1,1955.37,0.228,0.227999,14.4796,0.227999,0.00836031,6.96986e-08,1
28-CAAL-noNZrec-ASPM,1,1955.62,0.184,0.183999,11.66,0.183999,0.00671922,5.84029e-08,1
28-CAAL-noNZrec-ASPM,1,1955.87,0.412,0.412011,25.3444,0.412011,0.0161522,3.17558e-06,1
28-CAAL-noNZrec-ASPM,1,1956.12,0.14,0.139999,8.4231,0.139999,0.00558778,9.30542e-08,1
28-CAAL-noNZrec-ASPM,1,1956.37,0.201,0.200999,12.3124,0.200999,0.00770137,7.87833e-08,1
28-CAAL-noNZrec-ASPM,1,1956.62,0.112,0.111999,6.94757,0.111999,0.00423776,9.21873e-08,1
28-CAAL-noNZrec-ASPM,1,1956.87,0.255,0.255006,15.6236,0.255006,0.0102524,1.96788e-06,1
28-CAAL-noNZrec-ASPM,1,1957.12,0.125,0.124999,7.54513,0.124999,0.00511885,8.52173e-08,1
28-CAAL-noNZrec-ASPM,1,1957.37,0.098,0.0979995,6.02636,0.0979995,0.00385843,8.78225e-08,1
28-CAAL-noNZrec-ASPM,1,1957.62,0.234,0.233999,14.5974,0.233999,0.00903159,1.55472e-07,1
28-CAAL-noNZrec-ASPM,1,1957.87,0.645,0.645014,39.7974,0.645014,0.0262324,1.97932e-06,1
28-CAAL-noNZrec-ASPM,1,1958.12,0.27,0.269999,16.3753,0.269999,0.0111877,8.28008e-08,1
28-CAAL-noNZrec-ASPM,1,1958.37,0.241,0.240999,14.8615,0.240999,0.00961005,7.96721e-08,1
28-CAAL-noNZrec-ASPM,1,1958.62,0.61,0.609997,37.8388,0.609997,0.0242863,7.06283e-08,1
28-CAAL-noNZrec-ASPM,1,1958.87,1.446,1.44617,86.4148,1.44617,0.0642684,5.99378e-05,1
28-CAAL-noNZrec-ASPM,1,1959.12,0.22,0.219999,12.6781,0.219999,0.0102324,1.08609e-07,1
28-CAAL-noNZrec-ASPM,1,1959.37,0.264,0.263999,15.491,0.263999,0.0116988,1.30332e-07,1
28-CAAL-noNZrec-ASPM,1,1959.62,0.534,0.534,31.3515,0.534,0.0237282,9.26555e-10,1
28-CAAL-noNZrec-ASPM,1,1959.87,0.9,0.900007,51.6899,0.900007,0.0424958,2.28974e-07,1
28-CAAL-noNZrec-ASPM,1,1960.12,0.211,0.210999,12.0142,0.210999,0.00990613,1.13369e-07,1
28-CAAL-noNZrec-ASPM,1,1960.37,0.495,0.494997,28.842,0.494997,0.0221731,1.12989e-07,1
28-CAAL-noNZrec-ASPM,1,1960.62,0.654,0.654006,38.0375,0.654006,0.0299727,3.13104e-07,1
28-CAAL-noNZrec-ASPM,1,1960.87,0.978,0.978002,55.5682,0.978002,0.0481737,1.25925e-08,1
28-CAAL-noNZrec-ASPM,1,1961.12,0.589,0.588997,33.246,0.588997,0.0288142,1.13488e-07,1
28-CAAL-noNZrec-ASPM,1,1961.37,0.423,0.422998,24.448,0.422998,0.0196984,1.28142e-07,1
28-CAAL-noNZrec-ASPM,1,1961.62,7.602,7.60212,434.701,7.60212,0.37633,1.06498e-06,1
28-CAAL-noNZrec-ASPM,1,1961.87,0.933,0.93317,50.1382,0.93317,0.0543501,0.000137702,1
28-CAAL-noNZrec-ASPM,1,1962.12,1.645,1.64499,85.7095,1.64499,0.0983265,1.76605e-07,1
28-CAAL-noNZrec-ASPM,1,1962.37,0.47,0.469997,25.2035,0.469997,0.0264241,1.78934e-07,1
28-CAAL-noNZrec-ASPM,1,1962.62,1.061,1.061,57.3606,1.061,0.0602665,2.68324e-08,1
28-CAAL-noNZrec-ASPM,1,1962.87,1.322,1.32223,68.8251,1.32223,0.0852266,0.00012733,1
28-CAAL-noNZrec-ASPM,1,1963.12,1.526,1.52599,78.0442,1.52599,0.101101,2.04867e-07,1
28-CAAL-noNZrec-ASPM,1,1963.37,0.767,0.766995,40.3839,0.766995,0.048877,1.77981e-07,1
28-CAAL-noNZrec-ASPM,1,1963.62,1.105,1.10499,59.0617,1.10499,0.0710194,1.6288e-07,1
28-CAAL-noNZrec-ASPM,1,1963.87,1.758,1.75908,90.3795,1.75908,0.131715,0.00155587,1
28-CAAL-noNZrec-ASPM,1,1964.12,0.843,0.842993,41.9104,0.842993,0.0668873,3.11236e-07,1
28-CAAL-noNZrec-ASPM,1,1964.37,0.588,0.587995,30.2509,0.587995,0.043895,2.6827e-07,1
28-CAAL-noNZrec-ASPM,1,1964.62,0.4,0.399998,21,0.399998,0.0295197,1.0516e-07,1
28-CAAL-noNZrec-ASPM,1,1964.87,0.468,0.468001,24.6803,0.468001,0.0358873,1.86289e-08,1
28-CAAL-noNZrec-ASPM,1,1965.12,2.134,2.13398,113.085,2.13398,0.162032,2.64e-07,1
28-CAAL-noNZrec-ASPM,1,1965.37,1.537,1.53699,83.1849,1.53699,0.113556,2.4275e-07,1
28-CAAL-noNZrec-ASPM,1,1965.62,0.718,0.718001,38.8109,0.718001,0.0542503,4.69402e-09,1
28-CAAL-noNZrec-ASPM,1,1965.87,0.641,0.641009,33.8653,0.641009,0.0517446,7.58194e-07,1
28-CAAL-noNZrec-ASPM,1,1966.12,0.623,0.622995,32.3856,0.622995,0.0496399,3.11257e-07,1
28-CAAL-noNZrec-ASPM,1,1966.37,1.634,1.63399,85.7638,1.63399,0.125139,2.63359e-07,1
28-CAAL-noNZrec-ASPM,1,1966.62,0.55,0.550023,28.3,0.550023,0.0436497,7.43625e-06,1
28-CAAL-noNZrec-ASPM,1,1966.87,0.582,0.582032,28.8779,0.582032,0.0494341,1.23537e-05,1
28-CAAL-noNZrec-ASPM,1,1967.12,0.637,0.636994,31.4987,0.636994,0.0524326,3.19294e-07,1
28-CAAL-noNZrec-ASPM,1,1967.37,0.479,0.478996,24.4657,0.478996,0.0371717,2.69196e-07,1
28-CAAL-noNZrec-ASPM,1,1967.62,0.625,0.624997,32.4396,0.624997,0.0484234,1.00063e-07,1
28-CAAL-noNZrec-ASPM,1,1967.87,0.399,0.398997,20.984,0.398997,0.0314759,2.83371e-07,1
28-CAAL-noNZrec-ASPM,1,1968.12,1.094,1.09399,58.2929,1.09399,0.0839466,2.80537e-07,1
28-CAAL-noNZrec-ASPM,1,1968.37,0.608,0.607995,33.0122,0.607995,0.045406,2.45563e-07,1
28-CAAL-noNZrec-ASPM,1,1968.62,0.194,0.193998,10.6192,0.193998,0.0143519,2.53176e-07,1
28-CAAL-noNZrec-ASPM,1,1968.87,0.265,0.264998,14.6202,0.264998,0.0194432,3.20767e-07,1
28-CAAL-noNZrec-ASPM,1,1969.12,0.721,0.720995,39.563,0.720995,0.0514012,2.14937e-07,1
28-CAAL-noNZrec-ASPM,1,1969.37,0.366,0.365997,20.2086,0.365997,0.0250762,2.24964e-07,1
28-CAAL-noNZrec-ASPM,1,1969.62,0.151,0.150999,8.41336,0.150999,0.00992194,2.20265e-07,1
28-CAAL-noNZrec-ASPM,1,1969.87,0.531,0.530996,29.6824,0.530996,0.0343477,2.27042e-07,1
28-CAAL-noNZrec-ASPM,1,1970.12,1.161,1.16099,64.3169,1.16099,0.0731763,1.8149e-07,1
28-CAAL-noNZrec-ASPM,1,1970.37,0.53,0.529997,29.5023,0.529997,0.0323197,1.69805e-07,1
28-CAAL-noNZrec-ASPM,1,1970.62,0.988,0.987997,54.5764,0.987997,0.0607372,2.92155e-08,1
28-CAAL-noNZrec-ASPM,1,1970.87,1.946,1.94607,103.357,1.94607,0.13021,5.31266e-06,1
28-CAAL-noNZrec-ASPM,1,1971.12,9.127,9.12695,460.9,9.12695,0.667111,1.17509e-07,1
28-CAAL-noNZrec-ASPM,1,1971.37,0.616,0.615995,30.9539,0.615995,0.0453817,2.44966e-07,1
28-CAAL-noNZrec-ASPM,1,1971.62,0.314,0.314001,15.8632,0.314001,0.0226422,3.83191e-08,1
28-CAAL-noNZrec-ASPM,1,1971.87,0.503,0.503024,25.0713,0.503024,0.0376703,9.06636e-06,1
28-CAAL-noNZrec-ASPM,1,1972.12,1.186,1.18599,57.8267,1.18599,0.0922888,1.55111e-07,1
28-CAAL-noNZrec-ASPM,1,1972.37,0.299,0.298998,14.7792,0.298998,0.0229182,2.58726e-07,1
28-CAAL-noNZrec-ASPM,1,1972.62,0.641,0.640995,32.5675,0.640995,0.047686,2.23134e-07,1
28-CAAL-noNZrec-ASPM,1,1972.87,0.166,0.166012,8.45554,0.166012,0.0129609,2.22769e-05,1
28-CAAL-noNZrec-ASPM,1,1973.12,0.316,0.315998,15.8305,0.315998,0.0257835,2.07435e-07,1
28-CAAL-noNZrec-ASPM,1,1973.37,0.432,0.431996,21.9368,0.431996,0.0348227,2.82147e-07,1
28-CAAL-noNZrec-ASPM,1,1973.62,0.379,0.378997,19.6996,0.378997,0.0296685,2.68456e-07,1
28-CAAL-noNZrec-ASPM,1,1973.87,0.384,0.384091,19.7751,0.384091,0.0319708,0.000230897,1
28-CAAL-noNZrec-ASPM,1,1974.12,0.855,0.854994,42.438,0.854994,0.07596,2.09507e-07,1
28-CAAL-noNZrec-ASPM,1,1974.37,0.888,0.887992,44.2963,0.887992,0.0780126,3.40826e-07,1
28-CAAL-noNZrec-ASPM,1,1974.62,1.437,1.43699,72.7623,1.43699,0.124084,2.60458e-07,1
28-CAAL-noNZrec-ASPM,1,1974.87,0.419,0.419,21.2747,0.419,0.0369342,1.45553e-09,1
28-CAAL-noNZrec-ASPM,1,1975.12,0.502,0.501996,25.2056,0.501996,0.0445715,2.57278e-07,1
28-CAAL-noNZrec-ASPM,1,1975.37,0.64,0.639994,32.4673,0.639994,0.0557452,3.30659e-07,1
28-CAAL-noNZrec-ASPM,1,1975.62,1.018,1.01799,52.6126,1.01799,0.0861007,3.1537e-07,1
28-CAAL-noNZrec-ASPM,1,1975.87,0.391,0.390997,20.3526,0.390997,0.0335913,2.33194e-07,1
28-CAAL-noNZrec-ASPM,1,1976.12,0.666,0.665995,33.9879,0.665995,0.0585085,2.37299e-07,1
28-CAAL-noNZrec-ASPM,1,1976.37,0.667,0.666994,34.1873,0.666994,0.0571898,3.34938e-07,1
28-CAAL-noNZrec-ASPM,1,1976.62,1.149,1.14899,59.6149,1.14899,0.0961473,2.87196e-07,1
28-CAAL-noNZrec-ASPM,1,1976.87,0.676,0.675994,35.3219,0.675994,0.0568805,3.14128e-07,1
28-CAAL-noNZrec-ASPM,1,1977.12,0.48,0.479996,25.1104,0.479996,0.0391842,2.80894e-07,1
28-CAAL-noNZrec-ASPM,1,1977.37,0.417,0.416997,22.1651,0.416997,0.0324437,2.78484e-07,1
28-CAAL-noNZrec-ASPM,1,1977.62,0.88,0.879993,47.6963,0.879993,0.0654854,2.50952e-07,1
28-CAAL-noNZrec-ASPM,1,1977.87,0.434,0.433997,23.8882,0.433997,0.0316607,2.6192e-07,1
28-CAAL-noNZrec-ASPM,1,1978.12,0.652,0.651995,35.6566,0.651995,0.0466408,2.21078e-07,1
28-CAAL-noNZrec-ASPM,1,1978.37,0.324,0.323998,17.7634,0.323998,0.0226445,2.20438e-07,1
28-CAAL-noNZrec-ASPM,1,1978.62,0.611,0.610996,33.4546,0.610996,0.0425459,2.02691e-07,1
28-CAAL-noNZrec-ASPM,1,1978.87,0.851,0.850994,45.7148,0.850994,0.062455,1.99906e-07,1
28-CAAL-noNZrec-ASPM,1,1979.12,0.671,0.670995,34.996,0.670995,0.0492176,2.16788e-07,1
28-CAAL-noNZrec-ASPM,1,1979.37,0.343,0.342998,17.8697,0.342998,0.0240692,2.10715e-07,1
28-CAAL-noNZrec-ASPM,1,1979.62,0.366,0.365998,19.0493,0.365998,0.0249549,1.84367e-07,1
28-CAAL-noNZrec-ASPM,1,1979.87,1.246,1.24599,64.4073,1.24599,0.0854614,1.51587e-07,1
28-CAAL-noNZrec-ASPM,1,1980.12,1.124,1.12399,57.6042,1.12399,0.0746379,1.77725e-07,1
28-CAAL-noNZrec-ASPM,1,1980.37,0.65,0.649996,33.9422,0.649996,0.0405734,1.7889e-07,1
28-CAAL-noNZrec-ASPM,1,1980.62,1.268,1.26799,67.3602,1.26799,0.0756551,1.55364e-07,1
28-CAAL-noNZrec-ASPM,1,1980.87,1.017,1.01699,54.3213,1.01699,0.0600427,1.34677e-07,1
28-CAAL-noNZrec-ASPM,1,1981.12,1.141,1.14099,60.6629,1.14099,0.0668857,1.32281e-07,1
28-CAAL-noNZrec-ASPM,1,1981.37,0.67,0.669996,36.0668,0.669996,0.0389133,1.46378e-07,1
28-CAAL-noNZrec-ASPM,1,1981.62,0.374,0.373998,20.3274,0.373998,0.0222115,1.34377e-07,1
28-CAAL-noNZrec-ASPM,1,1981.87,1.013,1.01299,54.7617,1.01299,0.0651729,1.2621e-07,1
28-CAAL-noNZrec-ASPM,1,1982.12,0.389,0.388998,20.7323,0.388998,0.0266297,1.63518e-07,1
28-CAAL-noNZrec-ASPM,1,1982.37,0.296,0.295998,15.9112,0.295998,0.0207141,2.03978e-07,1
28-CAAL-noNZrec-ASPM,1,1982.62,0.513,0.512997,27.6403,0.512997,0.037312,1.79538e-07,1
28-CAAL-noNZrec-ASPM,1,1982.87,0.204,0.203999,10.763,0.203999,0.0160464,1.06971e-07,1
28-CAAL-noNZrec-ASPM,1,1983.12,0.219,0.218998,11.2793,0.218998,0.0177336,2.16746e-07,1
28-CAAL-noNZrec-ASPM,1,1983.37,0.071,0.0709994,3.69914,0.0709994,0.00561126,2.7827e-07,1
28-CAAL-noNZrec-ASPM,1,1983.62,0.156,0.155999,8.28133,0.155999,0.0120894,2.40158e-07,1
28-CAAL-noNZrec-ASPM,1,1983.87,0.768,0.767994,41.3499,0.767994,0.0604654,2.44515e-07,1
28-CAAL-noNZrec-ASPM,1,1984.12,0.877,0.876993,47.4019,0.876993,0.0697078,2.40171e-07,1
28-CAAL-noNZrec-ASPM,1,1984.37,0.654,0.653995,35.7354,0.653995,0.052386,2.67903e-07,1
28-CAAL-noNZrec-ASPM,1,1984.62,0.263,0.262998,14.3253,0.262998,0.0218515,2.45021e-07,1
28-CAAL-noNZrec-ASPM,1,1984.87,0.66,0.659994,35.7953,0.659994,0.0565832,3.05076e-07,1
28-CAAL-noNZrec-ASPM,1,1985.12,0.397,0.396997,21.6047,0.396997,0.0336146,3.00746e-07,1
28-CAAL-noNZrec-ASPM,1,1985.37,0.316,0.315997,17.4218,0.315997,0.0264922,3.03306e-07,1
28-CAAL-noNZrec-ASPM,1,1985.62,0.431,0.430997,23.6984,0.430997,0.0376671,2.63325e-07,1
28-CAAL-noNZrec-ASPM,1,1985.87,0.537,0.536995,29.3814,0.536995,0.0499551,3.3868e-07,1
28-CAAL-noNZrec-ASPM,1,1986.12,0.364,0.363997,19.9172,0.363997,0.0343871,3.55366e-07,1
28-CAAL-noNZrec-ASPM,1,1986.37,0.377,0.376996,20.8433,0.376996,0.0355672,3.82266e-07,1
28-CAAL-noNZrec-ASPM,1,1986.62,0.386,0.385996,21.3015,0.385996,0.0371138,3.51224e-07,1
28-CAAL-noNZrec-ASPM,1,1986.87,0.714,0.713993,39.0075,0.713993,0.0714388,3.9951e-07,1
28-CAAL-noNZrec-ASPM,1,1987.12,0.197,0.196998,10.4434,0.196998,0.0192361,3.92035e-07,1
28-CAAL-noNZrec-ASPM,1,1987.37,0.056,0.0559995,2.92011,0.0559995,0.0051849,3.72326e-07,1
28-CAAL-noNZrec-ASPM,1,1987.62,0.602,0.601995,30.4109,0.601995,0.0536351,3.0605e-07,1
28-CAAL-noNZrec-ASPM,1,1987.87,0.605,0.604995,29.6684,0.604995,0.0519791,3.01324e-07,1
28-CAAL-noNZrec-ASPM,1,1988.12,1.462,1.46199,70.4586,1.46199,0.116963,2.61699e-07,1
28-CAAL-noNZrec-ASPM,1,1988.37,0.823,0.822994,39.769,0.822994,0.0619247,2.18986e-07,1
28-CAAL-noNZrec-ASPM,1,1988.62,1.193,1.19299,57.7088,1.19299,0.0875052,1.80682e-07,1
28-CAAL-noNZrec-ASPM,1,1988.87,2.403,2.40298,118.31,2.40298,0.175197,2.14136e-07,1
28-CAAL-noNZrec-ASPM,1,1989.12,1.443,1.44299,72.9921,1.44299,0.102095,1.90663e-07,1
28-CAAL-noNZrec-ASPM,1,1989.37,0.436,0.435997,22.6226,0.435997,0.0306793,1.73312e-07,1
28-CAAL-noNZrec-ASPM,1,1989.62,1.023,1.02299,53.0174,1.02299,0.0780094,9.94009e-08,1
28-CAAL-noNZrec-ASPM,1,1989.87,1.475,1.47499,75.6322,1.47499,0.124826,1.91303e-07,1
28-CAAL-noNZrec-ASPM,1,1990.12,0.516,0.515996,26.5307,0.515996,0.0442279,2.74427e-07,1
28-CAAL-noNZrec-ASPM,1,1990.37,0.352,0.351997,18.5535,0.351997,0.0294018,3.03178e-07,1
28-CAAL-noNZrec-ASPM,1,1990.62,0.499,0.498996,26.4953,0.498996,0.0429194,2.47761e-07,1
28-CAAL-noNZrec-ASPM,1,1990.87,1.067,1.06699,56.1503,1.06699,0.098431,2.95895e-07,1
28-CAAL-noNZrec-ASPM,1,1991.12,0.583,0.582995,30.4099,0.582995,0.0538675,3.28108e-07,1
28-CAAL-noNZrec-ASPM,1,1991.37,0.236,0.235998,12.4568,0.235998,0.0211384,3.46099e-07,1
28-CAAL-noNZrec-ASPM,1,1991.62,0.476,0.475996,25.0918,0.475996,0.042783,3.01253e-07,1
28-CAAL-noNZrec-ASPM,1,1991.87,0.464,0.463996,24.2524,0.463996,0.0424626,3.27761e-07,1
28-CAAL-noNZrec-ASPM,1,1992.12,0.101,0.100999,5.20925,0.100999,0.00879963,3.12747e-07,1
28-CAAL-noNZrec-ASPM,1,1992.37,0.089,0.0889992,4.61192,0.0889992,0.00726604,2.95895e-07,1
28-CAAL-noNZrec-ASPM,1,1992.62,0.59,0.589995,30.4969,0.589995,0.0461788,2.46625e-07,1
28-CAAL-noNZrec-ASPM,1,1992.87,2.708,2.70798,139.66,2.70798,0.209671,2.50088e-07,1
28-CAAL-noNZrec-ASPM,1,1993.12,1.745,1.74499,88.7016,1.74499,0.130668,2.195e-07,1
28-CAAL-noNZrec-ASPM,1,1993.37,0.406,0.405997,20.4757,0.405997,0.0292453,1.9953e-07,1
28-CAAL-noNZrec-ASPM,1,1993.62,1.261,1.26099,63.2734,1.26099,0.087722,1.91156e-07,1
28-CAAL-noNZrec-ASPM,1,1993.87,1.651,1.65099,83.8688,1.65099,0.110864,1.97708e-07,1
28-CAAL-noNZrec-ASPM,1,1994.12,1.045,1.04499,53.0808,1.04499,0.0684665,1.54925e-07,1
28-CAAL-noNZrec-ASPM,1,1994.37,0.761,0.760995,38.513,0.760995,0.0502276,1.57741e-07,1
28-CAAL-noNZrec-ASPM,1,1994.62,1.169,1.16899,59.0446,1.16899,0.078988,1.71042e-07,1
28-CAAL-noNZrec-ASPM,1,1994.87,1.758,1.75799,89.3772,1.75799,0.122146,1.77576e-07,1
28-CAAL-noNZrec-ASPM,1,1995.12,0.514,0.513997,26.2417,0.513997,0.0355448,1.55427e-07,1
28-CAAL-noNZrec-ASPM,1,1995.37,0.382,0.381998,19.6832,0.381998,0.026481,1.655e-07,1
28-CAAL-noNZrec-ASPM,1,1995.62,0.573,0.572996,29.7392,0.572996,0.0406879,1.88413e-07,1
28-CAAL-noNZrec-ASPM,1,1995.87,0.689,0.688995,36.2708,0.688995,0.0499932,2.12898e-07,1
28-CAAL-noNZrec-ASPM,1,1996.12,0.267,0.266998,13.8192,0.266998,0.0190381,1.73037e-07,1
28-CAAL-noNZrec-ASPM,1,1996.37,0.315,0.314998,16.0095,0.314998,0.0219302,1.90362e-07,1
28-CAAL-noNZrec-ASPM,1,1996.62,1.017,1.01699,50.2997,1.01699,0.0684925,1.7567e-07,1
28-CAAL-noNZrec-ASPM,1,1996.87,0.837,0.836995,40.5723,0.836995,0.0533868,1.71551e-07,1
28-CAAL-noNZrec-ASPM,1,1997.12,0.547,0.546997,26.1602,0.546997,0.0319279,1.2995e-07,1
28-CAAL-noNZrec-ASPM,1,1997.37,0.408,0.407998,19.679,0.407998,0.0220579,1.20957e-07,1
28-CAAL-noNZrec-ASPM,1,1997.62,1.24,1.23999,60.7081,1.23999,0.0646764,1.07348e-07,1
28-CAAL-noNZrec-ASPM,1,1997.87,0.501,0.500997,25.2619,0.500997,0.025707,1.11411e-07,1
28-CAAL-noNZrec-ASPM,1,1998.12,0.084,0.0839996,4.31991,0.0839996,0.00421165,8.6493e-08,1
28-CAAL-noNZrec-ASPM,1,1998.37,0.259,0.258999,13.5268,0.258999,0.0130839,9.52698e-08,1
28-CAAL-noNZrec-ASPM,1,1998.62,1.757,1.75699,92.3407,1.75699,0.0918951,1.03432e-07,1
28-CAAL-noNZrec-ASPM,1,1998.87,0.443,0.442998,23.1422,0.442998,0.024381,1.11458e-07,1
28-CAAL-noNZrec-ASPM,1,1999.12,0.158,0.157999,8.0736,0.157999,0.0087661,1.09663e-07,1
