"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SSB_Virgin" "SSB_Virgin" 13500.5 807.129 NA NA
"SSB_Initial" "SSB_Initial" 13500.5 807.129 NA NA
"SSB_1952" "SSB_1952" 13524.4 1253.57 NA NA
"SSB_1953" "SSB_1953" 13469.7 1223.71 NA NA
"SSB_1954" "SSB_1954" 12123.2 1209.07 NA NA
"SSB_1955" "SSB_1955" 5046.8 1450.3 NA NA
"SSB_1956" "SSB_1956" 4016.46 1188.2 NA NA
"SSB_1957" "SSB_1957" 3987.6 1025.48 NA NA
"SSB_1958" "SSB_1958" 4071.41 964.164 NA NA
"SSB_1959" "SSB_1959" 3101.28 861.462 NA NA
"SSB_1960" "SSB_1960" 2844.31 774.929 NA NA
"SSB_1961" "SSB_1961" 2659.19 682.992 NA NA
"SSB_1962" "SSB_1962" 1625.47 522.61 NA NA
"SSB_1963" "SSB_1963" 1261.98 397.436 NA NA
"SSB_1964" "SSB_1964" 943.813 307.17 NA NA
"SSB_1965" "SSB_1965" 1313.61 344.889 NA NA
"SSB_1966" "SSB_1966" 1278.93 374.098 NA NA
"SSB_1967" "SSB_1967" 906.159 349.653 NA NA
"SSB_1968" "SSB_1968" 1333.37 381.241 NA NA
"SSB_1969" "SSB_1969" 1824.61 460.374 NA NA
"SSB_1970" "SSB_1970" 2142.18 544.71 NA NA
"SSB_1971" "SSB_1971" 1468 453.995 NA NA
"SSB_1972" "SSB_1972" 1038.17 313.617 NA NA
"SSB_1973" "SSB_1973" 1050.86 269.862 NA NA
"SSB_1974" "SSB_1974" 1010.04 266.465 NA NA
"SSB_1975" "SSB_1975" 1021.04 268.119 NA NA
"SSB_1976" "SSB_1976" 1165.06 277.064 NA NA
"SSB_1977" "SSB_1977" 1287.89 293.481 NA NA
"SSB_1978" "SSB_1978" 1794.15 323.485 NA NA
"SSB_1979" "SSB_1979" 1578.86 262.065 NA NA
"SSB_1980" "SSB_1980" 1431.96 232.701 NA NA
"SSB_1981" "SSB_1981" 1954.32 243.393 NA NA
"SSB_1982" "SSB_1982" 1614.99 215.364 NA NA
"SSB_1983" "SSB_1983" 1266.8 188.087 NA NA
"SSB_1984" "SSB_1984" 1440.91 190.167 NA NA
"SSB_1985" "SSB_1985" 1436.07 186.916 NA NA
"SSB_1986" "SSB_1986" 1265.44 175.534 NA NA
"SSB_1987" "SSB_1987" 1251.11 156.305 NA NA
"SSB_1988" "SSB_1988" 1144.46 172.811 NA NA
"SSB_1989" "SSB_1989" 1104.65 183.635 NA NA
"SSB_1990" "SSB_1990" 1025.32 170.907 NA NA
"SSB_1991" "SSB_1991" 1088.56 174.109 NA NA
"SSB_1992" "SSB_1992" 1195.77 188.237 NA NA
"SSB_1993" "SSB_1993" 1408.17 216.523 NA NA
"SSB_1994" "SSB_1994" 1527.91 254.784 NA NA
"SSB_1995" "SSB_1995" 1311.09 236.482 NA NA
"SSB_1996" "SSB_1996" 1466.6 222.925 NA NA
"SSB_1997" "SSB_1997" 1537.96 220.727 NA NA
"SSB_1998" "SSB_1998" 1725.38 216.013 NA NA
"SSB_1999" "SSB_1999" 1871.41 212.055 NA NA
"SSB_2000" "SSB_2000" 1698.58 215.078 NA NA
"SSB_2001" "SSB_2001" 1904.66 230.581 NA NA
"SSB_2002" "SSB_2002" 2081.13 237.181 NA NA
"SSB_2003" "SSB_2003" 1791.9 207.146 NA NA
"SSB_2004" "SSB_2004" 1414.53 187.641 NA NA
