id,Fleet,Fleet_name,Time,Obs,Exp,SE,Dev,Use
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1979.83,1.86281,1.03842,0.333202,0.584387,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1980.83,1.31391,1.04162,0.33254,0.232227,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1981.83,1.2559,1.03904,0.332625,0.189552,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1982.83,1.50646,1.03197,0.326376,0.378291,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1983.83,0.922278,1.02198,0.330303,-0.102652,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1984.83,1.32673,1.01095,0.323343,0.27183,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1985.83,0.877509,1.00051,0.321945,-0.131182,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1986.83,0.855618,0.992919,0.335276,-0.148825,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1987.83,0.835362,0.989955,0.345836,-0.169794,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1988.83,0.736157,0.991267,0.35762,-0.297541,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1989.83,1.65752,0.993368,0.320639,0.511977,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1990.83,1.13159,0.992168,0.336645,0.131487,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1991.83,1.02708,0.988196,0.345696,0.0385936,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1992.83,0.558306,0.985866,0.384414,-0.568613,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1993.83,0.81207,0.988999,0.34892,-0.197107,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1994.83,1.12053,0.997234,0.341153,0.116571,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1995.83,1.11373,1.00737,0.358465,0.100368,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1996.83,1.1907,1.01641,0.34189,0.15826,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1997.83,1.31626,1.02153,0.348221,0.253495,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1998.83,1.99334,1.01977,0.32869,0.670239,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,1999.83,1.18608,1.01088,0.36947,0.159836,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2000.83,0.788006,0.999291,0.384061,-0.237541,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2001.83,0.727835,0.990347,0.380242,-0.307981,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2002.83,0.803887,0.985915,0.361598,-0.204111,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2003.83,1.3191,0.983466,0.345035,0.293621,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2004.83,1.26325,0.978933,0.348968,0.25498,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2005.83,1.04284,0.970978,0.364489,0.0713989,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2006.83,0.740614,0.961422,0.374613,-0.260934,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2007.83,0.829133,0.952328,0.363606,-0.138529,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2008.83,1.047,0.94399,0.36146,0.103568,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2009.83,0.645173,0.936246,0.380014,-0.37236,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2010.83,0.790723,0.929727,0.376337,-0.161943,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2011.83,0.722675,0.924817,0.38025,-0.246636,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2012.83,0.69595,0.921518,0.384556,-0.280744,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2013.83,0.717588,0.919606,0.38891,-0.24805,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2014.83,0.790042,0.918486,0.384902,-0.150641,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2015.83,0.78514,0.917662,0.386274,-0.155967,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2016.83,0.687733,0.91758,0.380715,-0.288339,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2017.83,0.591417,0.919638,0.367136,-0.441458,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2018.83,0.724244,0.924869,0.376776,-0.244524,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2019.83,0.794833,0.932891,0.361991,-0.160156,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2020.83,0.742562,0.942409,0.372401,-0.238333,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2021.83,1.23811,0.951491,0.357539,0.263311,1
29-CAAL-ASPM-all,16,S01_INDEX.1-4,2022.83,0.912191,0.958345,0.383859,-0.0493586,1
