id,Fleet,Fleet_name,Time,Obs,Exp,SE,Dev,Use
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1979.83,1.86281,1.32113,0.333202,0.343601,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1980.83,1.31391,1.55211,0.33254,-0.166605,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1981.83,1.2559,1.44237,0.332625,-0.138438,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1982.83,1.50646,1.13403,0.326376,0.283985,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1983.83,0.922278,1.1207,0.330303,-0.194863,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1984.83,1.32673,1.09778,0.323343,0.189429,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1985.83,0.877509,1.04505,0.321945,-0.174731,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1986.83,0.855618,0.982912,0.335276,-0.138695,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1987.83,0.835362,0.913982,0.345836,-0.0899455,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1988.83,0.736157,0.886377,0.35762,-0.185698,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1989.83,1.65752,0.866148,0.320639,0.649022,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1990.83,1.13159,0.908597,0.336645,0.219477,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1991.83,1.02708,0.953887,0.345696,0.0739295,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1992.83,0.558306,1.10424,0.384414,-0.68201,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1993.83,0.81207,1.15336,0.34892,-0.350852,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1994.83,1.12053,1.0546,0.341153,0.060643,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1995.83,1.11373,1.05723,0.358465,0.0520591,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1996.83,1.1907,1.09928,0.34189,0.0798904,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1997.83,1.31626,1.24836,0.348221,0.0529661,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1998.83,1.99334,1.43617,0.32869,0.327834,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,1999.83,1.18608,1.38902,0.36947,-0.157943,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2000.83,0.788006,1.53606,0.384061,-0.667471,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2001.83,0.727835,1.57062,0.380242,-0.769148,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2002.83,0.803887,1.37058,0.361598,-0.53353,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2003.83,1.3191,1.06294,0.345035,0.215915,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2004.83,1.26325,0.880414,0.348968,0.361051,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2005.83,1.04284,0.869088,0.364489,0.182259,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2006.83,0.740614,0.931546,0.374613,-0.229366,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2007.83,0.829133,1.01154,0.363606,-0.198845,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2008.83,1.047,0.985753,0.36146,0.0602784,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2009.83,0.645173,1.03779,0.380014,-0.475335,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2010.83,0.790723,0.998589,0.376337,-0.233395,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2011.83,0.722675,0.836485,0.38025,-0.146249,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2012.83,0.69595,0.688917,0.384556,0.0101572,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2013.83,0.717588,0.692076,0.38891,0.0362005,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2014.83,0.790042,0.640848,0.384902,0.209293,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2015.83,0.78514,0.578761,0.386274,0.304973,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2016.83,0.687733,0.576139,0.380715,0.177051,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2017.83,0.591417,0.630427,0.367136,-0.0638768,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2018.83,0.724244,0.672226,0.376776,0.0745335,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2019.83,0.794833,0.605529,0.361991,0.272029,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2020.83,0.742562,0.575752,0.372401,0.254429,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2021.83,1.23811,0.680208,0.357539,0.598942,1
30-CAAL-cUnc-cv2,16,S01_INDEX.1-4,2022.83,0.912191,0.971897,0.383859,-0.0634001,1
