id,type,yr,Value,StdDev
31-CAAL-revASPM-01,ssb,1952,231426000,0
31-CAAL-revASPM-01,ssb,1953,231427000,0
31-CAAL-revASPM-01,ssb,1954,231428000,0
31-CAAL-revASPM-01,ssb,1955,231424000,0
31-CAAL-revASPM-01,ssb,1956,231428000,0
31-CAAL-revASPM-01,ssb,1957,231434000,0
31-CAAL-revASPM-01,ssb,1958,231441000,0
31-CAAL-revASPM-01,ssb,1959,231448000,0
31-CAAL-revASPM-01,ssb,1960,231459000,0
31-CAAL-revASPM-01,ssb,1961,231473000,0
31-CAAL-revASPM-01,ssb,1962,231490000,0
31-CAAL-revASPM-01,ssb,1963,231515000,0
31-CAAL-revASPM-01,ssb,1964,231548000,0
31-CAAL-revASPM-01,ssb,1965,231593000,0
31-CAAL-revASPM-01,ssb,1966,231644000,0
31-CAAL-revASPM-01,ssb,1967,231705000,0
31-CAAL-revASPM-01,ssb,1968,231787000,0
31-CAAL-revASPM-01,ssb,1969,231901000,0
31-CAAL-revASPM-01,ssb,1970,232060000,0
31-CAAL-revASPM-01,ssb,1971,232284000,0
31-CAAL-revASPM-01,ssb,1972,232600000,0
31-CAAL-revASPM-01,ssb,1973,233044000,0
31-CAAL-revASPM-01,ssb,1974,233664000,0
31-CAAL-revASPM-01,ssb,1975,234530000,0
31-CAAL-revASPM-01,ssb,1976,235738000,0
31-CAAL-revASPM-01,ssb,1977,237407000,0
31-CAAL-revASPM-01,ssb,1978,239600000,0
31-CAAL-revASPM-01,ssb,1979,242045000,0
31-CAAL-revASPM-01,ssb,1980,243887000,0
31-CAAL-revASPM-01,ssb,1981,244366000,0
31-CAAL-revASPM-01,ssb,1982,243594000,0
31-CAAL-revASPM-01,ssb,1983,241856000,0
31-CAAL-revASPM-01,ssb,1984,239499000,0
31-CAAL-revASPM-01,ssb,1985,236964000,0
31-CAAL-revASPM-01,ssb,1986,234602000,0
31-CAAL-revASPM-01,ssb,1987,232988000,0
31-CAAL-revASPM-01,ssb,1988,232481000,0
31-CAAL-revASPM-01,ssb,1989,232889000,0
31-CAAL-revASPM-01,ssb,1990,233269000,0
31-CAAL-revASPM-01,ssb,1991,232745000,0
31-CAAL-revASPM-01,ssb,1992,231755000,0
31-CAAL-revASPM-01,ssb,1993,231401000,0
31-CAAL-revASPM-01,ssb,1994,232420000,0
31-CAAL-revASPM-01,ssb,1995,234479000,0
31-CAAL-revASPM-01,ssb,1996,236800000,0
31-CAAL-revASPM-01,ssb,1997,238781000,0
31-CAAL-revASPM-01,ssb,1998,239758000,0
31-CAAL-revASPM-01,ssb,1999,239044000,0
31-CAAL-revASPM-01,ssb,2000,236762000,0
31-CAAL-revASPM-01,ssb,2001,234142000,0
31-CAAL-revASPM-01,ssb,2002,232314000,0
31-CAAL-revASPM-01,ssb,2003,231475000,0
31-CAAL-revASPM-01,ssb,2004,230873000,0
31-CAAL-revASPM-01,ssb,2005,229609000,0
31-CAAL-revASPM-01,ssb,2006,227598000,0
31-CAAL-revASPM-01,ssb,2007,225367000,0
31-CAAL-revASPM-01,ssb,2008,223315000,0
31-CAAL-revASPM-01,ssb,2009,221394000,0
31-CAAL-revASPM-01,ssb,2010,219597000,0
31-CAAL-revASPM-01,ssb,2011,218125000,0
31-CAAL-revASPM-01,ssb,2012,217024000,0
31-CAAL-revASPM-01,ssb,2013,216292000,0
31-CAAL-revASPM-01,ssb,2014,215869000,0
31-CAAL-revASPM-01,ssb,2015,215602000,0
31-CAAL-revASPM-01,ssb,2016,215395000,0
31-CAAL-revASPM-01,ssb,2017,215409000,0
31-CAAL-revASPM-01,ssb,2018,215997000,0
31-CAAL-revASPM-01,ssb,2019,217344000,0
31-CAAL-revASPM-01,ssb,2020,219285000,0
31-CAAL-revASPM-01,ssb,2021,221511000,0
31-CAAL-revASPM-01,ssb,2022,223554000,0
