id,type,yr,Value,StdDev
32-CAAL-revASPM-02,f,1952,0.0153,0.00125525
32-CAAL-revASPM-02,f,1953,0.188721,0.0417686
32-CAAL-revASPM-02,f,1954,1.5965,0.44509
32-CAAL-revASPM-02,f,1955,1.03059,0.290735
32-CAAL-revASPM-02,f,1956,0.827112,0.217927
32-CAAL-revASPM-02,f,1957,0.736017,0.193735
32-CAAL-revASPM-02,f,1958,1.29101,0.336442
32-CAAL-revASPM-02,f,1959,1.18286,0.316633
32-CAAL-revASPM-02,f,1960,1.2897,0.332982
32-CAAL-revASPM-02,f,1961,2.34202,0.627223
32-CAAL-revASPM-02,f,1962,2.42929,0.679019
32-CAAL-revASPM-02,f,1963,3.01283,0.832862
32-CAAL-revASPM-02,f,1964,1.64751,0.446048
32-CAAL-revASPM-02,f,1965,1.83037,0.480159
32-CAAL-revASPM-02,f,1966,2.64237,0.886731
32-CAAL-revASPM-02,f,1967,1.30752,0.398518
32-CAAL-revASPM-02,f,1968,0.922073,0.245338
32-CAAL-revASPM-02,f,1969,0.830509,0.215799
32-CAAL-revASPM-02,f,1970,1.85519,0.483328
32-CAAL-revASPM-02,f,1971,2.77066,0.797695
32-CAAL-revASPM-02,f,1972,2.85286,0.789311
32-CAAL-revASPM-02,f,1973,2.58655,0.667
32-CAAL-revASPM-02,f,1974,2.30529,0.626738
32-CAAL-revASPM-02,f,1975,1.68871,0.425944
32-CAAL-revASPM-02,f,1976,1.50369,0.353747
32-CAAL-revASPM-02,f,1977,0.707346,0.13942
32-CAAL-revASPM-02,f,1978,1.22794,0.164605
32-CAAL-revASPM-02,f,1979,1.32223,0.173365
32-CAAL-revASPM-02,f,1980,0.897519,0.100032
32-CAAL-revASPM-02,f,1981,1.655,0.154162
32-CAAL-revASPM-02,f,1982,2.09889,0.231355
32-CAAL-revASPM-02,f,1983,1.33912,0.162919
32-CAAL-revASPM-02,f,1984,1.35912,0.144044
32-CAAL-revASPM-02,f,1985,1.30044,0.142415
32-CAAL-revASPM-02,f,1986,1.18797,0.144032
32-CAAL-revASPM-02,f,1987,1.11281,0.148405
32-CAAL-revASPM-02,f,1988,1.4471,0.197754
32-CAAL-revASPM-02,f,1989,2.40073,0.354561
32-CAAL-revASPM-02,f,1990,1.68363,0.282805
32-CAAL-revASPM-02,f,1991,1.23048,0.208972
32-CAAL-revASPM-02,f,1992,0.89113,0.134597
32-CAAL-revASPM-02,f,1993,1.1259,0.173611
32-CAAL-revASPM-02,f,1994,1.88077,0.302552
32-CAAL-revASPM-02,f,1995,1.74912,0.312554
32-CAAL-revASPM-02,f,1996,1.39943,0.230487
32-CAAL-revASPM-02,f,1997,1.19889,0.172241
32-CAAL-revASPM-02,f,1998,2.02916,0.303522
32-CAAL-revASPM-02,f,1999,2.05427,0.308903
32-CAAL-revASPM-02,f,2000,1.8996,0.286905
32-CAAL-revASPM-02,f,2001,1.71992,0.267501
32-CAAL-revASPM-02,f,2002,1.55604,0.225279
32-CAAL-revASPM-02,f,2003,2.26564,0.33958
32-CAAL-revASPM-02,f,2004,2.10502,0.313087
32-CAAL-revASPM-02,f,2005,1.92976,0.309237
32-CAAL-revASPM-02,f,2006,1.66996,0.271504
32-CAAL-revASPM-02,f,2007,1.50852,0.238101
32-CAAL-revASPM-02,f,2008,1.81819,0.28444
32-CAAL-revASPM-02,f,2009,1.67653,0.260333
32-CAAL-revASPM-02,f,2010,1.69632,0.257342
32-CAAL-revASPM-02,f,2011,1.99051,0.299519
32-CAAL-revASPM-02,f,2012,2.07507,0.32752
32-CAAL-revASPM-02,f,2013,1.54408,0.2568
32-CAAL-revASPM-02,f,2014,1.76202,0.242638
32-CAAL-revASPM-02,f,2015,1.91988,0.317142
32-CAAL-revASPM-02,f,2016,1.70082,0.32986
32-CAAL-revASPM-02,f,2017,1.28085,0.222281
32-CAAL-revASPM-02,f,2018,1.36888,0.238161
32-CAAL-revASPM-02,f,2019,1.20698,0.225439
32-CAAL-revASPM-02,f,2020,1.01894,0.182795
32-CAAL-revASPM-02,f,2021,1.11771,0.219128
32-CAAL-revASPM-02,f,2022,0.868475,0.182954
