"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SSB_Virgin" "SSB_Virgin" 11825.1 250.169 NA NA
"SSB_Initial" "SSB_Initial" 11825.1 250.169 NA NA
"SSB_1952" "SSB_1952" 11871.5 885.261 NA NA
"SSB_1953" "SSB_1953" 11832.9 858.5 NA NA
"SSB_1954" "SSB_1954" 10638.5 877.189 NA NA
"SSB_1955" "SSB_1955" 4411.68 1222.35 NA NA
"SSB_1956" "SSB_1956" 3551.22 1012.58 NA NA
"SSB_1957" "SSB_1957" 3560.8 884.427 NA NA
"SSB_1958" "SSB_1958" 3651.48 840.016 NA NA
"SSB_1959" "SSB_1959" 2803.35 761.112 NA NA
"SSB_1960" "SSB_1960" 2588.12 691.521 NA NA
"SSB_1961" "SSB_1961" 2441.62 618.068 NA NA
"SSB_1962" "SSB_1962" 1521.42 490.013 NA NA
"SSB_1963" "SSB_1963" 1198.56 386.212 NA NA
"SSB_1964" "SSB_1964" 908.049 313.484 NA NA
"SSB_1965" "SSB_1965" 1260.59 356.299 NA NA
"SSB_1966" "SSB_1966" 1247.57 394.231 NA NA
"SSB_1967" "SSB_1967" 920.471 386.982 NA NA
"SSB_1968" "SSB_1968" 1340.7 426.881 NA NA
"SSB_1969" "SSB_1969" 1821.32 509.346 NA NA
"SSB_1970" "SSB_1970" 2156.51 597.187 NA NA
"SSB_1971" "SSB_1971" 1554.48 518.558 NA NA
"SSB_1972" "SSB_1972" 1122.97 386.167 NA NA
"SSB_1973" "SSB_1973" 1129.85 334.851 NA NA
"SSB_1974" "SSB_1974" 1124.23 337.778 NA NA
"SSB_1975" "SSB_1975" 1181.09 358.631 NA NA
"SSB_1976" "SSB_1976" 1366.96 378.464 NA NA
"SSB_1977" "SSB_1977" 1542.92 395.048 NA NA
"SSB_1978" "SSB_1978" 2087.63 422.127 NA NA
"SSB_1979" "SSB_1979" 1932.86 348.718 NA NA
"SSB_1980" "SSB_1980" 1858.55 295.769 NA NA
"SSB_1981" "SSB_1981" 2380.42 292.528 NA NA
"SSB_1982" "SSB_1982" 1992.69 258.407 NA NA
"SSB_1983" "SSB_1983" 1621.17 246.012 NA NA
"SSB_1984" "SSB_1984" 1821.77 249.577 NA NA
"SSB_1985" "SSB_1985" 1832.8 246.11 NA NA
"SSB_1986" "SSB_1986" 1662.58 248.224 NA NA
"SSB_1987" "SSB_1987" 1643.07 265.784 NA NA
"SSB_1988" "SSB_1988" 1621.73 290.947 NA NA
"SSB_1989" "SSB_1989" 1590.67 288.951 NA NA
"SSB_1990" "SSB_1990" 1316.86 268.493 NA NA
"SSB_1991" "SSB_1991" 1441.26 307.312 NA NA
"SSB_1992" "SSB_1992" 1667.88 343.954 NA NA
"SSB_1993" "SSB_1993" 1954.18 378.852 NA NA
"SSB_1994" "SSB_1994" 2056.04 401.462 NA NA
"SSB_1995" "SSB_1995" 1711.21 373.606 NA NA
"SSB_1996" "SSB_1996" 1865.83 379.822 NA NA
"SSB_1997" "SSB_1997" 2200.87 417.854 NA NA
"SSB_1998" "SSB_1998" 2449.2 443.54 NA NA
"SSB_1999" "SSB_1999" 1876.78 391.527 NA NA
"SSB_2000" "SSB_2000" 1599.75 330.228 NA NA
"SSB_2001" "SSB_2001" 1456.58 306.035 NA NA
"SSB_2002" "SSB_2002" 1497.94 314.766 NA NA
"SSB_2003" "SSB_2003" 1625.1 325.609 NA NA
"SSB_2004" "SSB_2004" 1285.59 287.567 NA NA
"SSB_2005" "SSB_2005" 1178.92 251.764 NA NA
"SSB_2006" "SSB_2006" 1175.22 249.874 NA NA
"SSB_2007" "SSB_2007" 1214.89 259.962 NA NA
"SSB_2008" "SSB_2008" 1276.02 265.222 NA NA
"SSB_2009" "SSB_2009" 1135.12 252.399 NA NA
"SSB_2010" "SSB_2010" 1150.51 245.19 NA NA
"SSB_2011" "SSB_2011" 1135.03 240.443 NA NA
"SSB_2012" "SSB_2012" 994.088 223.815 NA NA
"SSB_2013" "SSB_2013" 914.849 211.417 NA NA
"SSB_2014" "SSB_2014" 1105.15 229.947 NA NA
"SSB_2015" "SSB_2015" 991.16 225.38 NA NA
"SSB_2016" "SSB_2016" 867.797 219.013 NA NA
"SSB_2017" "SSB_2017" 991.775 233.421 NA NA
"SSB_2018" "SSB_2018" 1153.24 266.239 NA NA
"SSB_2019" "SSB_2019" 1184.4 294.691 NA NA
"SSB_2020" "SSB_2020" 1285.35 326.441 NA NA
"SSB_2021" "SSB_2021" 1480.75 364.274 NA NA
"SSB_2022" "SSB_2022" 1615.19 417.382 NA NA
"SSB_2023" "SSB_2023" 1879.39 500.742 NA NA
"Recr_Virgin" "Recr_Virgin" 166.834 3.52952 NA NA
"Recr_Initial" "Recr_Initial" 166.834 3.52952 NA NA
"Recr_1952" "Recr_1952" 170.746 34.0894 NA NA
"Recr_1953" "Recr_1953" 171.33 34.0076 NA NA
"Recr_1954" "Recr_1954" 170.499 33.7118 NA NA
"Recr_1955" "Recr_1955" 155.478 30.8587 NA NA
"Recr_1956" "Recr_1956" 150.39 29.7282 NA NA
"Recr_1957" "Recr_1957" 150.891 29.3214 NA NA
"Recr_1958" "Recr_1958" 151.891 29.1548 NA NA
"Recr_1959" "Recr_1959" 144.276 27.4903 NA NA
"Recr_1960" "Recr_1960" 141.724 26.6639 NA NA
"Recr_1961" "Recr_1961" 139.606 25.9783 NA NA
"Recr_1962" "Recr_1962" 120.614 23.9198 NA NA
"Recr_1963" "Recr_1963" 109.726 22.6015 NA NA
"Recr_1964" "Recr_1964" 97.0558 21.211 NA NA
"Recr_1965" "Recr_1965" 111.45 21.8011 NA NA
"Recr_1966" "Recr_1966" 110.709 22.4741 NA NA
"Recr_1967" "Recr_1967" 97.0812 23.4497 NA NA
"Recr_1968" "Recr_1968" 113.651 22.2761 NA NA
"Recr_1969" "Recr_1969" 126.1 23.1246 NA NA
"Recr_1970" "Recr_1970" 132.343 24.0441 NA NA
"Recr_1971" "Recr_1971" 119.589 22.5916 NA NA
"Recr_1972" "Recr_1972" 105.444 21.3071 NA NA
"Recr_1973" "Recr_1973" 105.757 20.7145 NA NA
"Recr_1974" "Recr_1974" 105.865 20.6646 NA NA
"Recr_1975" "Recr_1975" 107.121 20.4802 NA NA
"Recr_1976" "Recr_1976" 111.679 19.8092 NA NA
"Recr_1977" "Recr_1977" 120.578 20.4892 NA NA
"Recr_1978" "Recr_1978" 143.861 21.5754 NA NA
"Recr_1979" "Recr_1979" 132.242 20.3258 NA NA
"Recr_1980" "Recr_1980" 154.993 20.0829 NA NA
"Recr_1981" "Recr_1981" 107.944 16.2603 NA NA
"Recr_1982" "Recr_1982" 118.664 16.4371 NA NA
"Recr_1983" "Recr_1983" 95.4343 14.257 NA NA
"Recr_1984" "Recr_1984" 100.603 14.5618 NA NA
"Recr_1985" "Recr_1985" 84.8223 13.6727 NA NA
"Recr_1986" "Recr_1986" 106.786 18.097 NA NA
"Recr_1987" "Recr_1987" 146.71 21.2756 NA NA
"Recr_1988" "Recr_1988" 120.727 20.3231 NA NA
"Recr_1989" "Recr_1989" 106.684 18.6447 NA NA
"Recr_1990" "Recr_1990" 99.8834 18.6438 NA NA
"Recr_1991" "Recr_1991" 114.295 21.5398 NA NA
"Recr_1992" "Recr_1992" 137.23 24.8886 NA NA
"Recr_1993" "Recr_1993" 145.747 26.667 NA NA
"Recr_1994" "Recr_1994" 146.038 27.9637 NA NA
"Recr_1995" "Recr_1995" 144.679 28.871 NA NA
"Recr_1996" "Recr_1996" 155.866 29.2126 NA NA
"Recr_1997" "Recr_1997" 148.077 26.8509 NA NA
"Recr_1998" "Recr_1998" 142.069 24.9202 NA NA
"Recr_1999" "Recr_1999" 131.34 24.106 NA NA
"Recr_2000" "Recr_2000" 134.188 25.8768 NA NA
"Recr_2001" "Recr_2001" 144.707 26.7562 NA NA
"Recr_2002" "Recr_2002" 135.051 24.1457 NA NA
"Recr_2003" "Recr_2003" 118.292 20.3385 NA NA
"Recr_2004" "Recr_2004" 100.578 17.8553 NA NA
"Recr_2005" "Recr_2005" 98.5545 17.2297 NA NA
"Recr_2006" "Recr_2006" 99.0206 16.8503 NA NA
"Recr_2007" "Recr_2007" 96.6457 16.6392 NA NA
"Recr_2008" "Recr_2008" 99.7091 16.8651 NA NA
"Recr_2009" "Recr_2009" 96.7194 16.4261 NA NA
"Recr_2010" "Recr_2010" 96.4348 16.1451 NA NA
"Recr_2011" "Recr_2011" 94.9456 16.2026 NA NA
"Recr_2012" "Recr_2012" 90.9744 15.8579 NA NA
"Recr_2013" "Recr_2013" 87.0474 14.9142 NA NA
"Recr_2014" "Recr_2014" 90.1523 14.9962 NA NA
"Recr_2015" "Recr_2015" 85.6798 15.089 NA NA
"Recr_2016" "Recr_2016" 83.9368 15.6941 NA NA
"Recr_2017" "Recr_2017" 91.4547 16.8005 NA NA
"Recr_2018" "Recr_2018" 99.7504 18.4115 NA NA
"Recr_2019" "Recr_2019" 103.565 19.9097 NA NA
"Recr_2020" "Recr_2020" 106.173 21.8437 NA NA
"Recr_2021" "Recr_2021" 114.165 24.5278 NA NA
"Recr_2022" "Recr_2022" 119.533 25.9232 NA NA
"Recr_2023" "Recr_2023" 125.371 26.9898 NA NA
"SPRratio_1952" "SPRratio_1952" 0.0222039 0.00162107 -603.179 0
"SPRratio_1953" "SPRratio_1953" 0.424592 0.0701138 -8.20677 1.14876e-16
"SPRratio_1954" "SPRratio_1954" 1.12887 0.06356 2.02753 0.978696
"SPRratio_1955" "SPRratio_1955" 1.00944 0.0822452 0.114765 0.545685
"SPRratio_1956" "SPRratio_1956" 0.948553 0.0842784 -0.610445 0.270783
"SPRratio_1957" "SPRratio_1957" 0.904048 0.0890981 -1.07692 0.140757
