id,Fleet,Fleet_name,Yr.S,Used,Kind,Sex,Exp_Mean
35-CAAL-revASPM-05,3,F03_LL.JP.3,1991.125,yes,LEN,1,196.988979845041
35-CAAL-revASPM-05,3,F03_LL.JP.3,1991.25,yes,LEN,1,201.547426386162
35-CAAL-revASPM-05,3,F03_LL.JP.3,1991.375,yes,LEN,1,201.344160239784
35-CAAL-revASPM-05,3,F03_LL.JP.3,1992.25,yes,LEN,1,200.476877047688
35-CAAL-revASPM-05,3,F03_LL.JP.3,1992.375,yes,LEN,1,201.546437893963
35-CAAL-revASPM-05,3,F03_LL.JP.3,1993.125,yes,LEN,1,194.490636703633
35-CAAL-revASPM-05,3,F03_LL.JP.3,1993.25,yes,LEN,1,201.202777627833
35-CAAL-revASPM-05,3,F03_LL.JP.3,1993.375,yes,LEN,1,201.50342808165
35-CAAL-revASPM-05,3,F03_LL.JP.3,1994.125,yes,LEN,1,196.851166060885
35-CAAL-revASPM-05,3,F03_LL.JP.3,1994.25,yes,LEN,1,200.45853184689
35-CAAL-revASPM-05,3,F03_LL.JP.3,1994.375,yes,LEN,1,201.972126302787
35-CAAL-revASPM-05,3,F03_LL.JP.3,1995.375,yes,LEN,1,198.738082126192
35-CAAL-revASPM-05,3,F03_LL.JP.3,1996.25,yes,LEN,1,200.541415716566
35-CAAL-revASPM-05,3,F03_LL.JP.3,1996.375,yes,LEN,1,201.058063898322
35-CAAL-revASPM-05,3,F03_LL.JP.3,2011.375,yes,LEN,1,203.115935246374
35-CAAL-revASPM-05,3,F03_LL.JP.3,2012.25,yes,LEN,1,200.122420759794
35-CAAL-revASPM-05,3,F03_LL.JP.3,2014.125,yes,LEN,1,200.155818015582
35-CAAL-revASPM-05,3,F03_LL.JP.3,2014.375,yes,LEN,1,201.618019597886
35-CAAL-revASPM-05,3,F03_LL.JP.3,2015.25,yes,LEN,1,201.129592516633
35-CAAL-revASPM-05,3,F03_LL.JP.3,2016.125,yes,LEN,1,198.828319446629
35-CAAL-revASPM-05,3,F03_LL.JP.3,2016.25,yes,LEN,1,201.661999161999
35-CAAL-revASPM-05,3,F03_LL.JP.3,2016.375,yes,LEN,1,202.0984265
35-CAAL-revASPM-05,3,F03_LL.JP.3,2020.375,yes,LEN,1,199.357539243016
35-CAAL-revASPM-05,5,F05_LL.TW.4,2006.375,yes,LEN,1,186.907558880642
35-CAAL-revASPM-05,5,F05_LL.TW.4,2007.25,yes,LEN,1,190.966944516528
35-CAAL-revASPM-05,5,F05_LL.TW.4,2007.375,yes,LEN,1,186.884787819363
35-CAAL-revASPM-05,5,F05_LL.TW.4,2008.375,yes,LEN,1,187.528906747109
35-CAAL-revASPM-05,5,F05_LL.TW.4,2009.125,yes,LEN,1,176.613294969396
35-CAAL-revASPM-05,5,F05_LL.TW.4,2010.25,yes,LEN,1,186.725594288528
35-CAAL-revASPM-05,5,F05_LL.TW.4,2010.375,yes,LEN,1,183.4573325372
35-CAAL-revASPM-05,5,F05_LL.TW.4,2011.375,yes,LEN,1,187.740886085547
35-CAAL-revASPM-05,5,F05_LL.TW.4,2014.375,yes,LEN,1,183.494288349429
35-CAAL-revASPM-05,5,F05_LL.TW.4,2017.375,yes,LEN,1,176.632822460236
35-CAAL-revASPM-05,5,F05_LL.TW.4,2018.375,yes,LEN,1,186.319210378503
35-CAAL-revASPM-05,5,F05_LL.TW.4,2019.375,yes,LEN,1,184.633709218135
35-CAAL-revASPM-05,5,F05_LL.TW.4,2020.375,yes,LEN,1,183.840675153561
35-CAAL-revASPM-05,5,F05_LL.TW.4,2020.5,yes,LEN,1,176.478832007382
35-CAAL-revASPM-05,5,F05_LL.TW.4,2021.25,yes,LEN,1,186.219449701222
35-CAAL-revASPM-05,5,F05_LL.TW.4,2021.375,yes,LEN,1,187.20545155891
35-CAAL-revASPM-05,5,F05_LL.TW.4,2022.25,yes,LEN,1,182.111272577746
35-CAAL-revASPM-05,10,F10_REC.NZ.3,1985.125,yes,LEN,1,209.550642230385
35-CAAL-revASPM-05,10,F10_REC.NZ.3,1986.125,yes,LEN,1,208.101063930319
35-CAAL-revASPM-05,10,F10_REC.NZ.3,1987.125,yes,LEN,1,210.822265030645
35-CAAL-revASPM-05,10,F10_REC.NZ.3,1988.125,yes,LEN,1,210.836780747932
35-CAAL-revASPM-05,10,F10_REC.NZ.3,1989.125,yes,LEN,1,210.533558746825
35-CAAL-revASPM-05,10,F10_REC.NZ.3,1991.125,yes,LEN,1,210.533176783347
35-CAAL-revASPM-05,10,F10_REC.NZ.3,1992.125,yes,LEN,1,210.561599082431
35-CAAL-revASPM-05,10,F10_REC.NZ.3,1993.125,yes,LEN,1,210.555360577768
35-CAAL-revASPM-05,10,F10_REC.NZ.3,1994.125,yes,LEN,1,210.677205638603
35-CAAL-revASPM-05,10,F10_REC.NZ.3,2004.125,yes,LEN,1,207.776996572863
35-CAAL-revASPM-05,10,F10_REC.NZ.3,2006.125,yes,LEN,1,210.715472408235
35-CAAL-revASPM-05,10,F10_REC.NZ.3,2007.125,yes,LEN,1,209.337076769661
35-CAAL-revASPM-05,10,F10_REC.NZ.3,2008.125,yes,LEN,1,209.374745993687
35-CAAL-revASPM-05,10,F10_REC.NZ.3,2012.125,yes,LEN,1,210.887130979008
35-CAAL-revASPM-05,10,F10_REC.NZ.3,2013.125,yes,LEN,1,210.66885983443
35-CAAL-revASPM-05,10,F10_REC.NZ.3,2014.125,yes,LEN,1,207.897852148816
35-CAAL-revASPM-05,10,F10_REC.NZ.3,2015.125,yes,LEN,1,210.634704815936
35-CAAL-revASPM-05,10,F10_REC.NZ.3,2016.125,yes,LEN,1,210.80552338668
35-CAAL-revASPM-05,10,F10_REC.NZ.3,2017.125,yes,LEN,1,210.277570138785
35-CAAL-revASPM-05,10,F10_REC.NZ.3,2018.125,yes,LEN,1,210.855314020384
35-CAAL-revASPM-05,11,F11_LL.ALL.1,1998.375,yes,LEN,1,176.968585003141
35-CAAL-revASPM-05,11,F11_LL.ALL.1,1999.125,yes,LEN,1,177.088889023422
35-CAAL-revASPM-05,11,F11_LL.ALL.1,1999.25,yes,LEN,1,175.848623806697
35-CAAL-revASPM-05,11,F11_LL.ALL.1,1999.5,yes,LEN,1,171.459811517388
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2001.375,yes,LEN,1,176.922210903777
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2002.25,yes,LEN,1,171.593095318619
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2002.375,yes,LEN,1,176.164945286391
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2002.5,yes,LEN,1,176.716857086777
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2003.125,yes,LEN,1,175.62586750612
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2003.25,yes,LEN,1,171.950345024827
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2003.5,yes,LEN,1,176.561681843832
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2004.125,yes,LEN,1,176.4353705
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2004.25,yes,LEN,1,174.921115507888
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2004.5,yes,LEN,1,173.487974697595
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2005.125,yes,LEN,1,173.055945113776
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2005.375,yes,LEN,1,176.363986740843
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2005.5,yes,LEN,1,169.029685805937
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2015.125,yes,LEN,1,147.503374624899
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2015.25,yes,LEN,1,176.762405920105
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2015.375,yes,LEN,1,174.020159712822
35-CAAL-revASPM-05,11,F11_LL.ALL.1,2015.5,yes,LEN,1,171.28128184737
