id,Year,B.Bmsy,F.Fmsy
37-CAAL-revASPM-07,1952,4.54347,0.0155481
37-CAAL-revASPM-07,1953,4.53062,0.191274
37-CAAL-revASPM-07,1954,4.07318,1.60307
37-CAAL-revASPM-07,1955,1.69579,1.03827
37-CAAL-revASPM-07,1956,1.36689,0.832156
37-CAAL-revASPM-07,1957,1.3729,0.738666
37-CAAL-revASPM-07,1958,1.41096,1.28906
37-CAAL-revASPM-07,1959,1.0893,1.17792
37-CAAL-revASPM-07,1960,1.00974,1.27884
37-CAAL-revASPM-07,1961,0.957145,2.29604
37-CAAL-revASPM-07,1962,0.606985,2.35593
37-CAAL-revASPM-07,1963,0.484412,2.88883
37-CAAL-revASPM-07,1964,0.373717,1.57169
37-CAAL-revASPM-07,1965,0.51597,1.73999
37-CAAL-revASPM-07,1966,0.517427,2.44963
37-CAAL-revASPM-07,1967,0.395462,1.21369
37-CAAL-revASPM-07,1968,0.564808,0.8616
37-CAAL-revASPM-07,1969,0.761332,0.775031
37-CAAL-revASPM-07,1970,0.904483,1.71601
37-CAAL-revASPM-07,1971,0.670949,2.50197
37-CAAL-revASPM-07,1972,0.495402,2.54984
37-CAAL-revASPM-07,1973,0.496314,2.29922
37-CAAL-revASPM-07,1974,0.503133,2.00309
37-CAAL-revASPM-07,1975,0.539047,1.46211
37-CAAL-revASPM-07,1976,0.622948,1.29901
37-CAAL-revASPM-07,1977,0.703146,0.615422
37-CAAL-revASPM-07,1978,0.937948,1.09095
37-CAAL-revASPM-07,1979,0.883667,1.17991
37-CAAL-revASPM-07,1980,0.818789,0.854007
37-CAAL-revASPM-07,1981,0.944732,1.71951
37-CAAL-revASPM-07,1982,0.722195,2.4203
37-CAAL-revASPM-07,1983,0.510719,1.56253
37-CAAL-revASPM-07,1984,0.631544,1.49314
37-CAAL-revASPM-07,1985,0.645748,1.3882
37-CAAL-revASPM-07,1986,0.601688,1.19733
37-CAAL-revASPM-07,1987,0.646406,1.01026
37-CAAL-revASPM-07,1988,0.732874,1.26371
37-CAAL-revASPM-07,1989,0.732083,2.21318
37-CAAL-revASPM-07,1990,0.54277,1.6245
37-CAAL-revASPM-07,1991,0.579215,1.1858
37-CAAL-revASPM-07,1992,0.679001,0.857413
37-CAAL-revASPM-07,1993,0.796591,1.08188
37-CAAL-revASPM-07,1994,0.836525,1.80569
37-CAAL-revASPM-07,1995,0.700368,1.66718
37-CAAL-revASPM-07,1996,0.762925,1.33475
37-CAAL-revASPM-07,1997,0.89863,1.11416
37-CAAL-revASPM-07,1998,1.05226,1.74437
37-CAAL-revASPM-07,1999,0.908544,1.76786
37-CAAL-revASPM-07,2000,0.737232,1.6946
37-CAAL-revASPM-07,2001,0.651922,1.59826
37-CAAL-revASPM-07,2002,0.627601,1.48136
37-CAAL-revASPM-07,2003,0.669817,2.09456
37-CAAL-revASPM-07,2004,0.562935,1.95829
37-CAAL-revASPM-07,2005,0.498502,1.79927
37-CAAL-revASPM-07,2006,0.494775,1.54538
37-CAAL-revASPM-07,2007,0.519955,1.37648
37-CAAL-revASPM-07,2008,0.553956,1.5938
37-CAAL-revASPM-07,2009,0.532128,1.46699
37-CAAL-revASPM-07,2010,0.526264,1.52985
37-CAAL-revASPM-07,2011,0.490012,1.83049
37-CAAL-revASPM-07,2012,0.429969,1.92568
37-CAAL-revASPM-07,2013,0.389253,1.4824
37-CAAL-revASPM-07,2014,0.435455,1.77296
37-CAAL-revASPM-07,2015,0.374773,1.91868
37-CAAL-revASPM-07,2016,0.344552,1.73151
37-CAAL-revASPM-07,2017,0.370365,1.391
37-CAAL-revASPM-07,2018,0.396813,1.57191
37-CAAL-revASPM-07,2019,0.384688,1.51633
37-CAAL-revASPM-07,2020,0.370369,1.40274
37-CAAL-revASPM-07,2021,0.37121,1.51763
37-CAAL-revASPM-07,2022,0.440527,1.03137
37-CAAL-revASPM-07,2023,0.628261,1.03137
