id,type,yr,Value,StdDev
37-CAAL-revASPM-07,rec,1952,170.152,34.0355
37-CAAL-revASPM-07,rec,1953,170.947,34.0238
37-CAAL-revASPM-07,rec,1954,170.285,33.7884
37-CAAL-revASPM-07,rec,1955,155.455,30.9814
37-CAAL-revASPM-07,rec,1956,150.591,29.9227
37-CAAL-revASPM-07,rec,1957,151.308,29.6009
37-CAAL-revASPM-07,rec,1958,152.504,29.5149
37-CAAL-revASPM-07,rec,1959,145.181,27.9507
37-CAAL-revASPM-07,rec,1960,142.842,27.1995
37-CAAL-revASPM-07,rec,1961,140.844,26.5483
37-CAAL-revASPM-07,rec,1962,122.343,24.6291
37-CAAL-revASPM-07,rec,1963,111.961,23.5113
37-CAAL-revASPM-07,rec,1964,100.139,22.5523
37-CAAL-revASPM-07,rec,1965,114.066,22.9936
37-CAAL-revASPM-07,rec,1966,113.791,23.7774
37-CAAL-revASPM-07,rec,1967,101.88,25.2866
37-CAAL-revASPM-07,rec,1968,117.38,23.8849
37-CAAL-revASPM-07,rec,1969,129.266,24.4512
37-CAAL-revASPM-07,rec,1970,135.28,25.2815
37-CAAL-revASPM-07,rec,1971,124.035,24.3758
37-CAAL-revASPM-07,rec,1972,111.424,23.665
37-CAAL-revASPM-07,rec,1973,111.195,22.9606
37-CAAL-revASPM-07,rec,1974,111.512,23.2294
37-CAAL-revASPM-07,rec,1975,114.768,23.5392
37-CAAL-revASPM-07,rec,1976,121.238,23.054
37-CAAL-revASPM-07,rec,1977,123.62,22.6049
37-CAAL-revASPM-07,rec,1978,129.035,23.3359
37-CAAL-revASPM-07,rec,1979,131.108,23.069
37-CAAL-revASPM-07,rec,1980,128.318,21.751
37-CAAL-revASPM-07,rec,1981,121.889,20.6736
37-CAAL-revASPM-07,rec,1982,111.564,19.0228
37-CAAL-revASPM-07,rec,1983,96.6558,17.3255
37-CAAL-revASPM-07,rec,1984,103.134,17.8652
37-CAAL-revASPM-07,rec,1985,107.55,19.4517
37-CAAL-revASPM-07,rec,1986,116.571,21.7043
37-CAAL-revASPM-07,rec,1987,132.384,22.5717
37-CAAL-revASPM-07,rec,1988,121.476,20.8358
37-CAAL-revASPM-07,rec,1989,110.786,19.4416
37-CAAL-revASPM-07,rec,1990,102.221,19.3712
37-CAAL-revASPM-07,rec,1991,116.055,21.8725
37-CAAL-revASPM-07,rec,1992,138.871,25.1996
37-CAAL-revASPM-07,rec,1993,148.869,27.1392
37-CAAL-revASPM-07,rec,1994,146.533,28.2128
37-CAAL-revASPM-07,rec,1995,153.118,30.2831
37-CAAL-revASPM-07,rec,1996,187.981,31.0215
37-CAAL-revASPM-07,rec,1997,135.111,22.2782
37-CAAL-revASPM-07,rec,1998,148.757,21.9952
37-CAAL-revASPM-07,rec,1999,126.663,21.0891
37-CAAL-revASPM-07,rec,2000,131.625,24.0159
37-CAAL-revASPM-07,rec,2001,159.624,27.8761
37-CAAL-revASPM-07,rec,2002,130.209,23.1555
37-CAAL-revASPM-07,rec,2003,119.344,19.5568
37-CAAL-revASPM-07,rec,2004,106.284,17.9223
37-CAAL-revASPM-07,rec,2005,98.3023,16.6338
37-CAAL-revASPM-07,rec,2006,112.835,17.8449
37-CAAL-revASPM-07,rec,2007,99.7028,15.9956
37-CAAL-revASPM-07,rec,2008,94.7042,15.1958
37-CAAL-revASPM-07,rec,2009,100.684,15.6349
37-CAAL-revASPM-07,rec,2010,99.2075,14.8857
37-CAAL-revASPM-07,rec,2011,91.8912,13.8039
37-CAAL-revASPM-07,rec,2012,81.9,12.5647
37-CAAL-revASPM-07,rec,2013,97.5796,13.0237
37-CAAL-revASPM-07,rec,2014,85.6984,11.6014
37-CAAL-revASPM-07,rec,2015,76.5363,10.986
37-CAAL-revASPM-07,rec,2016,80.348,11.4743
37-CAAL-revASPM-07,rec,2017,82.6314,11.2805
37-CAAL-revASPM-07,rec,2018,73.6604,10.6841
37-CAAL-revASPM-07,rec,2019,91.3172,13.7359
37-CAAL-revASPM-07,rec,2020,127.23,24.0862
37-CAAL-revASPM-07,rec,2021,103.819,22.2133
37-CAAL-revASPM-07,rec,2022,104.68,23.1707
