id,Yr,SpawnBio,bias_adjusted,pred_recr
39-CAAL-revASPM-09,1942,11825.7,166.843,167.202
39-CAAL-revASPM-09,1943,11825.7,166.843,166.998
39-CAAL-revASPM-09,1944,11825.7,166.843,167.065
39-CAAL-revASPM-09,1945,11825.7,166.843,167.16
39-CAAL-revASPM-09,1946,11825.7,166.843,167.294
39-CAAL-revASPM-09,1947,11825.7,166.843,167.483
39-CAAL-revASPM-09,1948,11825.7,166.843,167.745
39-CAAL-revASPM-09,1949,11825.7,166.843,168.096
39-CAAL-revASPM-09,1950,11825.7,166.843,168.557
39-CAAL-revASPM-09,1951,11825.7,166.843,169.195
39-CAAL-revASPM-09,1952,11874,166.886,171.013
39-CAAL-revASPM-09,1953,11836,166.853,171.623
39-CAAL-revASPM-09,1954,10643.2,165.693,170.817
39-CAAL-revASPM-09,1955,4425.75,151.058,155.849
39-CAAL-revASPM-09,1956,3566.81,145.751,150.819
39-CAAL-revASPM-09,1957,3578.05,145.834,151.358
39-CAAL-revASPM-09,1958,3671.15,146.505,152.397
39-CAAL-revASPM-09,1959,2825.47,139.143,144.887
39-CAAL-revASPM-09,1960,2612.31,136.71,142.405
39-CAAL-revASPM-09,1961,2467.95,134.881,140.334
39-CAAL-revASPM-09,1962,1548.87,117.939,121.623
39-CAAL-revASPM-09,1963,1226.68,108.317,110.979
39-CAAL-revASPM-09,1964,937.027,96.61,98.6841
39-CAAL-revASPM-09,1965,1298.63,110.666,112.966
39-CAAL-revASPM-09,1966,1295.08,110.527,112.538
39-CAAL-revASPM-09,1967,973.917,98.2442,99.808
39-CAAL-revASPM-09,1968,1405.33,113.856,115.909
39-CAAL-revASPM-09,1969,1903.22,125.641,128.128
39-CAAL-revASPM-09,1970,2259.5,131.694,134.245
39-CAAL-revASPM-09,1971,1658.07,120.372,122.426
39-CAAL-revASPM-09,1972,1215.84,107.72,109.367
39-CAAL-revASPM-09,1973,1222.13,107.914,109.321
39-CAAL-revASPM-09,1974,1232.59,108.25,109.414
39-CAAL-revASPM-09,1975,1314.5,110.921,112.558
39-CAAL-revASPM-09,1976,1521.56,116.857,119.34
39-CAAL-revASPM-09,1977,1719.55,121.609,121.85
39-CAAL-revASPM-09,1978,2313.7,132.257,127.44
39-CAAL-revASPM-09,1979,2175.97,130.133,129.256
39-CAAL-revASPM-09,1980,2011.13,127.328,126.052
39-CAAL-revASPM-09,1981,2336.5,132.495,119.207
39-CAAL-revASPM-09,1982,1768.02,122.526,108.698
39-CAAL-revASPM-09,1983,1223,107.699,92.5281
39-CAAL-revASPM-09,1984,1519.66,116.595,96.9674
39-CAAL-revASPM-09,1985,1537.14,117.023,102.913
39-CAAL-revASPM-09,1986,1391.6,112.991,113.101
39-CAAL-revASPM-09,1987,1467.15,115.108,135.841
39-CAAL-revASPM-09,1988,1672.23,120.236,117.941
39-CAAL-revASPM-09,1989,1703.54,120.92,107.154
39-CAAL-revASPM-09,1990,1298.08,110.022,101.024
39-CAAL-revASPM-09,1991,1383.03,112.61,114.377
39-CAAL-revASPM-09,1992,1622.17,118.95,135.506
39-CAAL-revASPM-09,1993,1930.21,125.472,144.476
39-CAAL-revASPM-09,1994,2038.67,127.409,147.166
39-CAAL-revASPM-09,1995,1681.18,120.25,149.2
39-CAAL-revASPM-09,1996,1832.62,123.479,157.035
39-CAAL-revASPM-09,1997,2196.9,129.931,151.616
39-CAAL-revASPM-09,1998,2496.87,134.158,150.487
39-CAAL-revASPM-09,1999,1948.52,125.643,134.691
39-CAAL-revASPM-09,2000,1715.8,120.892,134.745
39-CAAL-revASPM-09,2001,1633.87,118.986,155.887
39-CAAL-revASPM-09,2002,1678.41,119.995,129.544
39-CAAL-revASPM-09,2003,1806.51,122.75,114.427
39-CAAL-revASPM-09,2004,1476.74,114.925,101.327
39-CAAL-revASPM-09,2005,1269.44,108.721,97.9416
39-CAAL-revASPM-09,2006,1202.45,106.425,98.0615
39-CAAL-revASPM-09,2007,1228.62,107.33,96.7267
39-CAAL-revASPM-09,2008,1277.25,108.951,99.4651
39-CAAL-revASPM-09,2009,1125.93,103.636,96.2898
39-CAAL-revASPM-09,2010,1141.17,104.209,96.1204
39-CAAL-revASPM-09,2011,1124.57,103.584,94.6384
39-CAAL-revASPM-09,2012,981.728,97.725,90.6078
39-CAAL-revASPM-09,2013,901.787,94.0138,86.6695
39-CAAL-revASPM-09,2014,1090.46,102.266,89.8303
39-CAAL-revASPM-09,2015,975.83,97.4627,85.2316
39-CAAL-revASPM-09,2016,852.151,91.5274,83.3706
39-CAAL-revASPM-09,2017,974.872,97.42,90.9263
39-CAAL-revASPM-09,2018,1133.66,103.928,99.2167
39-CAAL-revASPM-09,2019,1162.35,104.99,102.945
39-CAAL-revASPM-09,2020,1261.17,108.423,105.5
39-CAAL-revASPM-09,2021,1454.45,114.264,113.535
39-CAAL-revASPM-09,2022,1586.36,118.887,118.828
39-CAAL-revASPM-09,2023,1847.36,124.737,124.737
