id,Fleet,Time,Obs,Exp,sel_bio,sel_num,F,Like,Mult
46-CAAL-revASPM-16,1,1952.37,0.002,0.002,0.146335,0.002,2.95146e-05,1.03861e-08,1
46-CAAL-revASPM-16,1,1952.62,0.002,0.002,0.146351,0.002,2.95337e-05,1.03994e-08,1
46-CAAL-revASPM-16,1,1953.12,0.068,0.0679999,4.97135,0.0679999,0.00100427,1.04083e-08,1
46-CAAL-revASPM-16,1,1953.37,0.014,0.014,1.02359,0.014,0.000206845,1.04716e-08,1
46-CAAL-revASPM-16,1,1953.62,0.023,0.0229999,1.68176,0.0229999,0.000340057,2.03114e-08,1
46-CAAL-revASPM-16,1,1953.87,0.024,0.0239985,1.74693,0.0239985,0.000360914,1.69893e-05,1
46-CAAL-revASPM-16,1,1954.12,0.175,0.175,12.6337,0.175,0.00266558,1.5917e-08,1
46-CAAL-revASPM-16,1,1954.37,0.328,0.327999,23.6691,0.327999,0.00499233,1.13995e-08,1
46-CAAL-revASPM-16,1,1954.62,0.257,0.256998,18.4215,0.256998,0.00398211,3.2262e-07,1
46-CAAL-revASPM-16,1,1954.87,0.34,0.340009,23.4409,0.340009,0.00582843,2.80193e-06,1
46-CAAL-revASPM-16,1,1955.12,0.216,0.216,14.3294,0.216,0.00393847,2.14061e-08,1
46-CAAL-revASPM-16,1,1955.37,0.228,0.228,15.1542,0.228,0.00407728,1.64319e-08,1
46-CAAL-revASPM-16,1,1955.62,0.184,0.184,12.2118,0.184,0.00328152,2.85466e-08,1
46-CAAL-revASPM-16,1,1955.87,0.412,0.411999,27.0398,0.411999,0.00755996,1.6985e-08,1
46-CAAL-revASPM-16,1,1956.12,0.14,0.14,9.11072,0.14,0.00258538,1.97695e-08,1
46-CAAL-revASPM-16,1,1956.37,0.201,0.201,13.1656,0.201,0.00364306,1.73919e-08,1
46-CAAL-revASPM-16,1,1956.62,0.112,0.112,7.36418,0.112,0.00201672,2.2096e-08,1
46-CAAL-revASPM-16,1,1956.87,0.255,0.254999,16.6785,0.254999,0.00469828,1.7175e-08,1
46-CAAL-revASPM-16,1,1957.12,0.125,0.125,8.12881,0.125,0.00231648,1.73916e-08,1
46-CAAL-revASPM-16,1,1957.37,0.098,0.0979998,6.4192,0.0979998,0.00178358,1.84096e-08,1
46-CAAL-revASPM-16,1,1957.62,0.234,0.233999,15.4045,0.233999,0.00421763,3.26377e-08,1
46-CAAL-revASPM-16,1,1957.87,0.645,0.644998,42.2884,0.644998,0.0118504,2.99488e-08,1
46-CAAL-revASPM-16,1,1958.12,0.27,0.269999,17.5983,0.269999,0.00499155,1.66007e-08,1
46-CAAL-revASPM-16,1,1958.37,0.241,0.241,15.8169,0.241,0.00438044,1.64565e-08,1
46-CAAL-revASPM-16,1,1958.62,0.61,0.609999,40.127,0.609999,0.0110709,2.32659e-08,1
46-CAAL-revASPM-16,1,1958.87,1.446,1.446,93.995,1.446,0.0273425,1.3388e-10,1
46-CAAL-revASPM-16,1,1959.12,0.22,0.22,14.1356,0.22,0.00423362,1.88061e-08,1
46-CAAL-revASPM-16,1,1959.37,0.264,0.263999,17.0734,0.263999,0.00498042,2.29395e-08,1
46-CAAL-revASPM-16,1,1959.62,0.534,0.533998,34.5369,0.533998,0.0100671,4.95059e-08,1
46-CAAL-revASPM-16,1,1959.87,0.9,0.899997,57.8021,0.899997,0.0173148,4.32802e-08,1
46-CAAL-revASPM-16,1,1960.12,0.211,0.211,13.5114,0.211,0.00404197,1.88604e-08,1
46-CAAL-revASPM-16,1,1960.37,0.495,0.494999,31.9473,0.494999,0.00929861,1.96274e-08,1
46-CAAL-revASPM-16,1,1960.62,0.654,0.653998,42.1715,0.653998,0.0123594,4.28953e-08,1
46-CAAL-revASPM-16,1,1960.87,0.978,0.977997,62.5941,0.977997,0.0189183,4.78811e-08,1
46-CAAL-revASPM-16,1,1961.12,0.589,0.588999,37.6222,0.588999,0.0113348,1.78609e-08,1
46-CAAL-revASPM-16,1,1961.37,0.423,0.422999,27.242,0.422999,0.007979,2.0619e-08,1
46-CAAL-revASPM-16,1,1961.62,7.602,7.60199,488.241,7.60199,0.146187,1.54886e-08,1
46-CAAL-revASPM-16,1,1961.87,0.933,0.932998,58.9508,0.932998,0.0188716,1.41901e-08,1
46-CAAL-revASPM-16,1,1962.12,1.645,1.645,103.016,1.645,0.0334745,2.12069e-08,1
46-CAAL-revASPM-16,1,1962.37,0.47,0.469999,29.6639,0.469999,0.00934893,2.21965e-08,1
46-CAAL-revASPM-16,1,1962.62,1.061,1.061,67.0695,1.061,0.0210824,2.19893e-08,1
46-CAAL-revASPM-16,1,1962.87,1.322,1.322,82.7559,1.322,0.0270891,1.54804e-08,1
46-CAAL-revASPM-16,1,1963.12,1.526,1.526,94.9358,1.526,0.0313537,2.06373e-08,1
46-CAAL-revASPM-16,1,1963.37,0.767,0.766998,48.0656,0.766998,0.0154832,2.00649e-08,1
46-CAAL-revASPM-16,1,1963.62,1.105,1.105,69.4766,1.105,0.0222077,2.0501e-08,1
46-CAAL-revASPM-16,1,1963.87,1.758,1.758,109.655,1.758,0.036358,1.04216e-09,1
46-CAAL-revASPM-16,1,1964.12,0.843,0.842998,52.1436,0.842998,0.017566,2.35183e-08,1
46-CAAL-revASPM-16,1,1964.37,0.588,0.587999,36.6902,0.587999,0.011968,2.08686e-08,1
46-CAAL-revASPM-16,1,1964.62,0.4,0.399999,25.0891,0.399999,0.00804883,2.28182e-08,1
46-CAAL-revASPM-16,1,1964.87,0.468,0.467999,29.4262,0.467999,0.00941938,2.99864e-08,1
46-CAAL-revASPM-16,1,1965.12,2.134,2.134,134.536,2.134,0.0424617,1.93872e-08,1
46-CAAL-revASPM-16,1,1965.37,1.537,1.537,97.6508,1.537,0.0301607,1.87148e-08,1
46-CAAL-revASPM-16,1,1965.62,0.718,0.717998,45.7405,0.717998,0.0140696,2.33431e-08,1
46-CAAL-revASPM-16,1,1965.87,0.641,0.640998,40.8133,0.640998,0.0126751,2.48099e-08,1
46-CAAL-revASPM-16,1,1966.12,0.623,0.622999,39.6664,0.622999,0.012216,2.05286e-08,1
46-CAAL-revASPM-16,1,1966.37,1.634,1.634,104.61,1.634,0.0316336,1.94261e-08,1
46-CAAL-revASPM-16,1,1966.62,0.55,0.549999,35.1888,0.549999,0.0106951,2.34814e-08,1
46-CAAL-revASPM-16,1,1966.87,0.582,0.581998,37.1076,0.581998,0.0114498,3.32105e-08,1
46-CAAL-revASPM-16,1,1967.12,0.637,0.636999,40.5995,0.636999,0.0124015,1.91365e-08,1
46-CAAL-revASPM-16,1,1967.37,0.479,0.478999,30.7372,0.478999,0.00917638,1.7838e-08,1
46-CAAL-revASPM-16,1,1967.62,0.625,0.624999,40.228,0.624999,0.0119224,2.12348e-08,1
46-CAAL-revASPM-16,1,1967.87,0.399,0.398999,25.757,0.398999,0.00760811,1.94246e-08,1
46-CAAL-revASPM-16,1,1968.12,1.094,1.094,70.814,1.094,0.0206104,1.78564e-08,1
46-CAAL-revASPM-16,1,1968.37,0.608,0.607999,39.5636,0.607999,0.0113291,1.69039e-08,1
46-CAAL-revASPM-16,1,1968.62,0.194,0.194,12.6615,0.194,0.00359257,2.00985e-08,1
46-CAAL-revASPM-16,1,1968.87,0.265,0.264999,17.3619,0.264999,0.00488264,2.14917e-08,1
46-CAAL-revASPM-16,1,1969.12,0.721,0.720999,47.2921,0.720999,0.0131561,1.60534e-08,1
46-CAAL-revASPM-16,1,1969.37,0.366,0.365999,24.1078,0.365999,0.0066114,1.59975e-08,1
46-CAAL-revASPM-16,1,1969.62,0.151,0.151,9.98557,0.151,0.00270276,1.75236e-08,1
46-CAAL-revASPM-16,1,1969.87,0.531,0.530999,35.2217,0.530999,0.00948424,2.08101e-08,1
46-CAAL-revASPM-16,1,1970.12,1.161,1.161,76.9909,1.161,0.0206362,1.58762e-08,1
46-CAAL-revASPM-16,1,1970.37,0.53,0.529999,35.2474,0.529999,0.00936781,1.50645e-08,1
46-CAAL-revASPM-16,1,1970.62,0.988,0.987998,65.6746,0.987998,0.0175555,1.66026e-08,1
46-CAAL-revASPM-16,1,1970.87,1.946,1.946,128.558,1.946,0.0354108,1.61708e-08,1
46-CAAL-revASPM-16,1,1971.12,9.127,9.12698,597.119,9.12698,0.170149,1.57732e-08,1
46-CAAL-revASPM-16,1,1971.37,0.616,0.615999,40.2382,0.615999,0.0115391,1.72179e-08,1
46-CAAL-revASPM-16,1,1971.62,0.314,0.313999,20.492,0.313999,0.00585005,1.93447e-08,1
46-CAAL-revASPM-16,1,1971.87,0.503,0.502999,32.6889,0.502999,0.00943668,2.37902e-08,1
46-CAAL-revASPM-16,1,1972.12,1.186,1.186,76.4797,1.186,0.0223546,1.71957e-08,1
46-CAAL-revASPM-16,1,1972.37,0.299,0.298999,19.2746,0.298999,0.00560181,1.71627e-08,1
46-CAAL-revASPM-16,1,1972.62,0.641,0.640999,41.4324,0.640999,0.0118854,1.71197e-08,1
46-CAAL-revASPM-16,1,1972.87,0.166,0.166,10.7185,0.166,0.00309265,2.49627e-08,1
46-CAAL-revASPM-16,1,1973.12,0.316,0.315999,20.292,0.315999,0.00589934,1.74247e-08,1
46-CAAL-revASPM-16,1,1973.37,0.432,0.431999,27.7939,0.431999,0.00800036,1.67366e-08,1
46-CAAL-revASPM-16,1,1973.62,0.379,0.378999,24.4837,0.378999,0.0069412,1.6932e-08,1
46-CAAL-revASPM-16,1,1973.87,0.384,0.383999,24.7921,0.383999,0.00707285,2.59816e-08,1
46-CAAL-revASPM-16,1,1974.12,0.855,0.854998,54.8558,0.854998,0.0158396,1.64254e-08,1
46-CAAL-revASPM-16,1,1974.37,0.888,0.887998,57.0906,0.887998,0.0163408,1.67039e-08,1
46-CAAL-revASPM-16,1,1974.62,1.437,1.437,92.7109,1.437,0.0262508,1.79498e-08,1
46-CAAL-revASPM-16,1,1974.87,0.419,0.418999,27.0919,0.418999,0.00765209,2.08029e-08,1
46-CAAL-revASPM-16,1,1975.12,0.502,0.501999,32.4151,0.501999,0.00912481,1.5923e-08,1
46-CAAL-revASPM-16,1,1975.37,0.64,0.639999,41.4511,0.639999,0.0115427,1.56833e-08,1
46-CAAL-revASPM-16,1,1975.62,1.018,1.018,66.1867,1.018,0.0181884,1.58251e-08,1
46-CAAL-revASPM-16,1,1975.87,0.391,0.390999,25.4925,0.390999,0.00697837,1.78281e-08,1
46-CAAL-revASPM-16,1,1976.12,0.666,0.665999,43.309,0.665999,0.0118604,1.51495e-08,1
46-CAAL-revASPM-16,1,1976.37,0.667,0.666999,43.4565,0.666999,0.0117721,1.49768e-08,1
46-CAAL-revASPM-16,1,1976.62,1.149,1.149,75.0644,1.149,0.02011,1.5225e-08,1
46-CAAL-revASPM-16,1,1976.87,0.676,0.675999,44.276,0.675999,0.0118066,1.50324e-08,1
46-CAAL-revASPM-16,1,1977.12,0.48,0.479999,31.4582,0.479999,0.00829447,1.45719e-08,1
