id,type,yr,Value,StdDev
47-CAAL-oneFleet-02,ssb,1952,12095.6,951.51
47-CAAL-oneFleet-02,ssb,1953,12049.3,921.294
47-CAAL-oneFleet-02,ssb,1954,10821.7,928.327
47-CAAL-oneFleet-02,ssb,1955,4411.44,1258.45
47-CAAL-oneFleet-02,ssb,1956,3570.51,1035.21
47-CAAL-oneFleet-02,ssb,1957,3591.12,901.688
47-CAAL-oneFleet-02,ssb,1958,3674.85,854.552
47-CAAL-oneFleet-02,ssb,1959,2795.88,769.837
47-CAAL-oneFleet-02,ssb,1960,2572.94,693.484
47-CAAL-oneFleet-02,ssb,1961,2415.98,613.489
47-CAAL-oneFleet-02,ssb,1962,1473,477.497
47-CAAL-oneFleet-02,ssb,1963,1148.8,367.605
47-CAAL-oneFleet-02,ssb,1964,857.403,291.514
47-CAAL-oneFleet-02,ssb,1965,1201.8,330.106
47-CAAL-oneFleet-02,ssb,1966,1172.47,365.006
47-CAAL-oneFleet-02,ssb,1967,833.44,349.593
47-CAAL-oneFleet-02,ssb,1968,1247.37,385.802
47-CAAL-oneFleet-02,ssb,1969,1707.55,468.876
47-CAAL-oneFleet-02,ssb,1970,2010.86,558.865
47-CAAL-oneFleet-02,ssb,1971,1406.42,477.286
47-CAAL-oneFleet-02,ssb,1972,1004.83,342.623
47-CAAL-oneFleet-02,ssb,1973,1019.7,299.103
47-CAAL-oneFleet-02,ssb,1974,995.114,306.248
47-CAAL-oneFleet-02,ssb,1975,1028.39,325.382
47-CAAL-oneFleet-02,ssb,1976,1188.65,348.991
47-CAAL-oneFleet-02,ssb,1977,1340.47,376.044
47-CAAL-oneFleet-02,ssb,1978,1848.58,420.237
47-CAAL-oneFleet-02,ssb,1979,1676.37,371.479
47-CAAL-oneFleet-02,ssb,1980,1571.8,349.093
47-CAAL-oneFleet-02,ssb,1981,2070.14,365.449
47-CAAL-oneFleet-02,ssb,1982,1701.64,329.58
47-CAAL-oneFleet-02,ssb,1983,1365.15,296.13
47-CAAL-oneFleet-02,ssb,1984,1564.23,300.448
47-CAAL-oneFleet-02,ssb,1985,1570.83,299.968
47-CAAL-oneFleet-02,ssb,1986,1404.2,295.706
47-CAAL-oneFleet-02,ssb,1987,1401.26,294.057
47-CAAL-oneFleet-02,ssb,1988,1389.36,308.617
47-CAAL-oneFleet-02,ssb,1989,1356.27,309.723
47-CAAL-oneFleet-02,ssb,1990,1099.42,278.038
47-CAAL-oneFleet-02,ssb,1991,1223.92,304.224
47-CAAL-oneFleet-02,ssb,1992,1434.53,340.046
47-CAAL-oneFleet-02,ssb,1993,1692.08,382.853
47-CAAL-oneFleet-02,ssb,1994,1782.99,407.489
47-CAAL-oneFleet-02,ssb,1995,1469.56,369.321
47-CAAL-oneFleet-02,ssb,1996,1635.07,370.588
47-CAAL-oneFleet-02,ssb,1997,1950.91,414.749
47-CAAL-oneFleet-02,ssb,1998,2178.44,448.757
47-CAAL-oneFleet-02,ssb,1999,1640.96,389.765
47-CAAL-oneFleet-02,ssb,2000,1413.46,319.664
47-CAAL-oneFleet-02,ssb,2001,1290.24,292.785
47-CAAL-oneFleet-02,ssb,2002,1323.17,303.083
47-CAAL-oneFleet-02,ssb,2003,1438.61,317.918
47-CAAL-oneFleet-02,ssb,2004,1118.35,278.117
47-CAAL-oneFleet-02,ssb,2005,1031.06,239.668
47-CAAL-oneFleet-02,ssb,2006,1027.06,237.142
47-CAAL-oneFleet-02,ssb,2007,1056.02,248.707
47-CAAL-oneFleet-02,ssb,2008,1110.87,254.283
47-CAAL-oneFleet-02,ssb,2009,978.661,238.291
47-CAAL-oneFleet-02,ssb,2010,1000.23,230.628
47-CAAL-oneFleet-02,ssb,2011,988.606,226.828
47-CAAL-oneFleet-02,ssb,2012,856.685,208.777
47-CAAL-oneFleet-02,ssb,2013,785.049,194.197
47-CAAL-oneFleet-02,ssb,2014,965.085,213.279
47-CAAL-oneFleet-02,ssb,2015,847.888,209.854
47-CAAL-oneFleet-02,ssb,2016,726.366,199.755
47-CAAL-oneFleet-02,ssb,2017,842.995,212.138
47-CAAL-oneFleet-02,ssb,2018,980.274,247.356
47-CAAL-oneFleet-02,ssb,2019,987.389,277.305
47-CAAL-oneFleet-02,ssb,2020,1069.99,307.568
47-CAAL-oneFleet-02,ssb,2021,1247.1,347.036
47-CAAL-oneFleet-02,ssb,2022,1356.36,404.475
