id,Label,Value,Parm_StDev,Phase,Min,Max,Init,Status,Afterbound
48-CAAL-oneFleet-03,SR_LN(R0),13.6529,0,1,2,15,5.07803,OK,OK
48-CAAL-oneFleet-03,F_fleet_15_YR_1952_s_4,1.90976e-07,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1953_s_1,4.40551e-08,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1953_s_3,8.88152e-07,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1953_s_4,9.36961e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1954_s_1,1.13296e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1954_s_2,4.10911e-07,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1954_s_3,0.000113825,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1954_s_4,0.000447794,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1955_s_1,1.24909e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1955_s_2,8.2189e-07,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1955_s_3,6.5494e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1955_s_4,0.000130529,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1956_s_1,5.221e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1956_s_2,9.53967e-07,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1956_s_3,3.43319e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1956_s_4,0.000115284,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1957_s_1,1.57874e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1957_s_2,7.04447e-07,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1957_s_3,2.54343e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1957_s_4,0.000120135,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1958_s_1,9.25182e-07,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1958_s_2,4.25588e-07,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1958_s_3,5.2335e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1958_s_4,0.000165959,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1959_s_1,3.73736e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1959_s_2,4.58597e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1959_s_3,7.79427e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1959_s_4,9.43688e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1960_s_1,1.60794e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1960_s_2,5.78902e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1960_s_3,9.65295e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1960_s_4,8.74888e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1961_s_1,5.21263e-07,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1961_s_2,4.03516e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1961_s_3,0.000114731,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1961_s_4,0.000142351,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1962_s_1,6.73194e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1962_s_2,5.39207e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1962_s_3,6.19141e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1962_s_4,0.000126622,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1963_s_1,2.51044e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1963_s_2,7.83409e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1963_s_3,2.16895e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1963_s_4,0.000142376,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1964_s_1,7.90449e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1964_s_2,3.77706e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1964_s_3,2.8545e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1964_s_4,4.48529e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1965_s_1,3.77162e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1965_s_2,3.82755e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1965_s_3,4.34791e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1965_s_4,5.18152e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1966_s_1,6.90326e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1966_s_2,1.43023e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1966_s_3,6.09572e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1966_s_4,6.02547e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1967_s_1,3.4617e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1967_s_2,2.88015e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1967_s_3,3.27084e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1967_s_4,1.7589e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1968_s_1,5.4032e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1968_s_2,3.64817e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1968_s_3,1.97248e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1968_s_4,1.76392e-05,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1969_s_1,3.56117e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1969_s_2,1.37643e-06,0,5,0,20,0.05,act,CHECK
48-CAAL-oneFleet-03,F_fleet_15_YR_1969_s_3,1.18846e-05,0,5,0,20,0.05,act,CHECK
