id,time,era,n,n_mature,n_pup_produced
48-CAAL-oneFleet-03,1950,VIRG,2247734.3,576141.672798876,60242091.9934856
48-CAAL-oneFleet-03,1950.25,VIRG,1974285.4,525546.993780838,54975756.2642358
48-CAAL-oneFleet-03,1950.5,VIRG,1747478.7,479532.493572333,50180881.0410778
48-CAAL-oneFleet-03,1950.75,VIRG,1557727.9,437670.72294131,45814214.9776582
48-CAAL-oneFleet-03,1951,INIT,2247734.3,576141.672798876,60242091.9934856
48-CAAL-oneFleet-03,1951.25,INIT,1974285.4,525546.993780838,54975756.2642358
48-CAAL-oneFleet-03,1951.5,INIT,1747478.7,479532.493572333,50180881.0410778
48-CAAL-oneFleet-03,1951.75,INIT,1557727.9,437670.72294131,45814214.9776582
48-CAAL-oneFleet-03,1952,TIME,2247867.2,576151.784616048,60243033.4070908
48-CAAL-oneFleet-03,1952.25,TIME,1974397.5,525555.616466004,54976546.8280312
48-CAAL-oneFleet-03,1952.5,TIME,1747575.8,479539.636838486,50181542.0721
48-CAAL-oneFleet-03,1952.75,TIME,1557812.7,437677.366012726,45814827.2459438
48-CAAL-oneFleet-03,1953,TIME,2247918.7,576154.764243909,60243289.1269058
48-CAAL-oneFleet-03,1953.25,TIME,1974444,525557.715813228,54976720.750773
48-CAAL-oneFleet-03,1953.5,TIME,1747616.1,479542.317532304,50181769.153732
48-CAAL-oneFleet-03,1953.75,TIME,1557846.9,437678.467604908,45814911.0736026
48-CAAL-oneFleet-03,1954,TIME,2247963.5,576149.43747568,60242557.5876084
48-CAAL-oneFleet-03,1954.25,TIME,1974479.7,525551.487130345,54975917.7776024
48-CAAL-oneFleet-03,1954.5,TIME,1747648.3,479536.193444596,50180983.0822614
48-CAAL-oneFleet-03,1954.75,TIME,1557860.2,437662.683839455,45813089.7058588
48-CAAL-oneFleet-03,1955,TIME,2247956.2,576097.056390614,60236457.7805842
48-CAAL-oneFleet-03,1955.25,TIME,1974471.9,525504.906714068,54970455.0098416
48-CAAL-oneFleet-03,1955.5,TIME,1747637.6,479492.835795674,50175921.9954274
48-CAAL-oneFleet-03,1955.75,TIME,1557855.8,437626.893138115,45808880.1715248
48-CAAL-oneFleet-03,1956,TIME,2248037.5,576101.866298571,60236443.6552698
48-CAAL-oneFleet-03,1956.25,TIME,1974542.8,525509.705191446,54970495.935654
48-CAAL-oneFleet-03,1956.5,TIME,1747699.4,479497.819904633,50176019.8038032
48-CAAL-oneFleet-03,1956.75,TIME,1557915.2,437635.132546812,45809345.4913274
48-CAAL-oneFleet-03,1957,TIME,2248156.1,576117.468764212,60237747.0179848
48-CAAL-oneFleet-03,1957.25,TIME,1974644.5,525523.736829774,54971681.0584958
48-CAAL-oneFleet-03,1957.5,TIME,1747790,479510.887783821,50177122.5318352
48-CAAL-oneFleet-03,1957.75,TIME,1557997.3,437648.60364063,45810513.1228862
48-CAAL-oneFleet-03,1958,TIME,2248316.6,576138.370698939,60239722.4544658
48-CAAL-oneFleet-03,1958.25,TIME,1974782.9,525541.988917891,54973400.5653938
48-CAAL-oneFleet-03,1958.5,TIME,1747910.6,479527.561041466,50178696.7123234
48-CAAL-oneFleet-03,1958.75,TIME,1558097.4,437659.667544218,45811523.5800646
48-CAAL-oneFleet-03,1959,TIME,2248512.7,576150.084327379,60240701.8563494
48-CAAL-oneFleet-03,1959.25,TIME,1974953.6,525553.109632331,54974327.389231
48-CAAL-oneFleet-03,1959.5,TIME,1748056.8,479536.505416679,50179423.2755776
48-CAAL-oneFleet-03,1959.75,TIME,1558225.3,437666.534759058,45812040.076409
48-CAAL-oneFleet-03,1960,TIME,2248795,576178.060586778,60243296.3249552
48-CAAL-oneFleet-03,1960.25,TIME,1975197.6,525578.997411738,54976735.596744
48-CAAL-oneFleet-03,1960.5,TIME,1748270.8,479560.609525757,50181656.160271
48-CAAL-oneFleet-03,1960.75,TIME,1558411.4,437686.38491011,45813848.9665194
48-CAAL-oneFleet-03,1961,TIME,2249172.4,576214.637634402,60246675.9534296
48-CAAL-oneFleet-03,1961.25,TIME,1975522.9,525612.006565226,54979783.096289
48-CAAL-oneFleet-03,1961.5,TIME,1748554.6,479590.638137245,50184442.8187232
48-CAAL-oneFleet-03,1961.75,TIME,1558652.2,437709.39241568,45815935.2144422
48-CAAL-oneFleet-03,1962,TIME,2249662,576251.473590565,60249916.4506654
48-CAAL-oneFleet-03,1962.25,TIME,1975944.4,525644.56980853,54982636.667749
48-CAAL-oneFleet-03,1962.5,TIME,1748923.4,479620.027171152,50187013.5545172
48-CAAL-oneFleet-03,1962.75,TIME,1558986,437742.408215311,45818942.9239068
48-CAAL-oneFleet-03,1963,TIME,2250148.8,576314.429660683,60255697.4336286
48-CAAL-oneFleet-03,1963.25,TIME,1976370.9,525702.258506525,54987951.9306266
48-CAAL-oneFleet-03,1963.5,TIME,1749295.4,479670.983577385,50191680.5004092
48-CAAL-oneFleet-03,1963.75,TIME,1559321.9,437791.657507231,45823512.7973962
